SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4376.00,4390.85,4272.45,4291.10,4291.10,4379.75,1020,5817,25070250.00,
500003,AEGIS LOGIS ,A ,Q,369.40,373.65,367.80,368.70,367.80,369.15,1039,19279,7129777.00,
500008,AMAR RAJA BA,A ,Q,631.95,631.95,625.00,625.65,625.65,628.40,4665,66959,42019435.00,
500009,A.SARABHAI  ,X ,Q,33.00,33.90,32.00,32.64,32.64,32.61,978,309876,10317093.00,
500012,ANDHRA PETRO,X ,Q,83.02,84.70,82.00,82.49,82.49,82.73,961,196136,16306335.00,
500013,ANSAL INFRAS,T ,Q,9.58,9.58,9.02,9.29,9.30,9.17,66,17023,156644.00,
500014,UTIQUE      ,X ,Q,5.44,5.44,5.30,5.36,5.36,5.33,219,37440,200516.00,
500016,ARUNAHTEL   ,XT,Q,20.21,21.90,20.21,21.10,21.10,21.13,67,32418,690578.00,
500020,BOM DYEING  ,A ,Q,131.05,139.50,131.05,137.15,137.15,131.80,3062,298077,40872204.00,
500027,ATUL LTD.   ,A ,Q,7364.95,7385.50,7326.00,7355.80,7357.05,7327.10,430,962,7072078.00,
500028,ATV PROJECTS,XT,Q,12.99,12.99,12.99,12.99,12.99,13.25,46,26380,342676.00,
500031,BAJAJ ELECT.,A ,Q,1181.00,1195.95,1168.85,1177.95,1174.40,1163.45,1644,13122,15533029.00,
500032,BAJAJHIND   ,A ,Q,24.02,25.44,24.02,25.11,25.11,23.94,5821,2313613,57649417.00,
500033,FORCE MOTR  ,B ,Q,3469.60,3549.00,3437.30,3500.75,3490.00,3428.85,667,3560,12470106.00,
500034,BAJFINANCE  ,A ,Q,7170.00,7327.00,7154.25,7317.00,7317.00,7165.20,6869,48282,350465236.00,
500038,BALRAM.CHINI,A ,Q,393.55,399.95,390.20,395.75,396.90,390.00,1929,80391,31833097.00,
500039,BANCO PROD. ,B ,Q,512.10,522.00,507.25,514.90,514.90,510.60,1322,22896,11806640.00,
500040,CENTURY TEXT,A ,Q,1015.20,1077.00,1015.20,1071.60,1071.60,1028.10,1454,14132,15027972.00,
500041,BANNARI AMAN,B ,Q,2726.45,2733.50,2710.80,2713.75,2710.80,2710.80,40,122,331940.00,
