SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4437.95,4437.95,4325.00,4375.45,4366.00,4404.40,844,3886,16994881.00,
500003,AEGIS LOGIS ,A ,Q,375.05,384.00,375.05,382.45,384.00,380.60,303,7124,2706370.00,
500008,AMAR RAJA BA,A ,Q,630.05,632.60,622.95,624.90,625.65,634.50,1460,23912,14983834.00,
500009,A.SARABHAI  ,X ,Q,30.30,30.70,29.05,29.58,29.58,30.18,419,137110,4088017.00,
500012,ANDHRA PETRO,X ,Q,61.75,61.95,60.76,61.11,61.00,61.00,360,67425,4142959.00,
500013,ANSAL INFRAS,T ,Q,8.39,8.60,8.36,8.41,8.41,8.28,24,2546,21486.00,
500014,UTIQUE      ,X ,Q,5.07,5.29,5.00,5.07,5.05,5.15,141,42179,215363.00,
500016,ARUNAHTEL   ,XT,Q,20.00,20.25,19.60,20.10,20.10,19.53,34,8475,168408.00,
500020,BOM DYEING  ,A ,Q,110.05,111.70,109.75,111.10,111.10,110.30,2242,160078,17729886.00,
500023,ASIANHOTNR  ,T ,Q,151.45,154.90,151.45,154.90,154.90,152.10,2,50,7741.00,
500027,ATUL LTD.   ,A ,Q,7025.05,7107.90,6951.35,7017.20,7016.00,7095.40,955,3940,27737248.00,
500028,ATV PROJECTS,XT,Q,13.95,13.95,13.30,13.95,13.95,13.29,158,79673,1108051.00,
500031,BAJAJ ELECT.,A ,Q,1252.00,1260.00,1241.90,1249.60,1247.90,1252.50,540,2116,2645797.00,
500032,BAJAJHIND   ,A ,Q,16.11,16.57,16.06,16.39,16.39,16.27,3655,2761575,44913100.00,
500033,FORCE MOTR  ,B ,Q,2499.00,2523.10,2478.05,2505.05,2501.55,2462.35,477,2904,7259213.00,
500034,BAJFINANCE  ,A ,Q,7162.05,7223.00,7019.70,7107.95,7107.95,7202.40,5415,38236,272090277.00,
500038,BALRAM.CHINI,A ,Q,399.55,410.70,398.55,409.70,409.70,400.30,1794,69288,28118822.00,
500039,BANCO PROD. ,B ,Q,341.35,345.85,338.80,341.55,342.00,342.15,395,8058,2759092.00,
500040,CENTURY TEXT,A ,Q,1049.95,1049.95,1016.10,1027.00,1027.00,1029.55,1872,19676,20214741.00,
500041,BANNARI AMAN,B ,Q,2740.00,2786.75,2740.00,2776.80,2770.00,2741.10,73,408,1129732.00,
500042,BASF INDIA  ,A ,Q,2687.05,2691.25,2630.00,2643.85,2635.60,2694.95,201,468,1245893.00,
500043,BATA INDIA  ,A ,Q,1740.05,1755.90,1733.00,1748.45,1751.20,1755.45,746,5922,10342318.00,
500048,BEML LTD    ,A ,Q,2059.70,2117.30,2008.05,2046.55,2046.55,2053.70,2818,23008,47539895.00,
500049,BHARAT ELECT,A ,Q,125.40,126.55,123.55,124.75,124.75,125.40,9620,803832,100575277.00,
500052,BHANSALI ENG,B ,Q,86.26,86.60,85.15,85.87,86.05,86.26,898,50479,4333981.00,
500058,BIHAR SPONGE,XT,Q,8.69,9.08,8.69,8.85,8.84,8.84,70,35845,315828.00,
