SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2140.00,2198.65,2133.35,2155.20,2147.25,2158.40,761,4547,9833686.00,
500003,AEGIS LOGIS ,A ,Q,210.00,210.00,203.45,205.00,205.00,210.95,2316,131944,27296715.00,
500008,AMAR RAJA BA,A ,Q,560.00,561.65,548.40,555.50,555.50,560.90,1454,40095,22232506.00,
500009,A.SARABHAI  ,X ,Q,32.50,33.50,31.60,32.05,32.05,33.05,588,112321,3630737.00,
500010,HDFC        ,A ,Q,2255.00,2262.00,2203.30,2219.85,2219.85,2274.85,19421,218623,487791899.00,
500012,ANDHRA PETRO,B ,Q,101.30,101.75,99.00,99.55,99.55,102.40,2080,170046,16968934.00,
500013,ANSAL INFRAS,B ,Q,14.40,15.00,14.20,14.20,14.20,14.85,147,46071,661816.00,
500014,UTIQUE      ,XT,Q,5.95,5.95,5.67,5.95,5.95,5.67,265,49900,294591.00,
500016,ARUNAHTEL   ,X ,Q,10.25,10.25,9.73,10.16,9.94,10.20,26,18674,188573.00,
500020,BOM DYEING  ,A ,Q,100.45,102.30,99.20,99.85,99.85,102.05,2559,363785,36633880.00,
500023,ASIANHOTNR  ,B ,Q,75.10,77.50,74.05,74.55,74.55,77.90,84,2461,186627.00,
500027,ATUL LTD.   ,A ,Q,8800.15,8807.40,8512.00,8574.70,8554.85,8824.75,1055,4394,38025709.00,
500028,ATV PROJECTS,XT,Q,11.00,11.35,10.40,10.96,10.99,10.86,91,24243,261408.00,
500031,BAJAJ ELECT.,A ,Q,1108.00,1108.00,1067.25,1071.85,1074.95,1110.40,987,4191,4547974.00,
500032,BAJAJHIND   ,A ,Q,14.82,14.91,14.15,14.57,14.57,14.51,3101,1923141,28071236.00,
500033,FORCE MOTR  ,A ,Q,1012.60,1036.25,1001.10,1022.90,1022.00,1023.95,455,1897,1927844.00,
500034,BAJFINANCE  ,A ,Q,6700.00,6700.00,6500.00,6539.25,6539.25,6747.85,11506,78723,518431447.00,
