SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4850.00,4850.00,4741.75,4756.35,4742.40,4831.00,741,3379,16128858.00,
500003,AEGIS LOGIS ,A ,Q,337.75,341.00,330.55,337.70,338.70,333.55,2244,61811,20831992.00,
500008,ARE&M       ,A ,Q,839.95,839.95,820.35,826.80,826.80,834.90,1299,17931,14839689.00,
500009,A.SARABHAI  ,XT,Q,41.46,43.95,41.46,42.44,42.44,42.31,456,144316,6193798.00,
500012,ANDHRA PETRO,X ,Q,94.00,95.50,89.05,90.51,90.51,93.68,1521,317971,29294653.00,
500013,ANSAL INFRAS,Z ,Q,10.52,10.52,10.52,10.52,10.52,11.07,23,29128,306426.00,
500014,UTIQUE      ,X ,Q,7.85,9.21,7.31,9.21,9.21,7.68,743,789492,6993239.00,
500016,ARUNAHTEL   ,X ,Q,15.98,15.98,15.11,15.38,15.50,15.84,142,38234,595662.00,
500020,BOM DYEING  ,A ,Q,160.25,162.60,156.95,157.20,157.20,160.30,3124,201724,32082485.00,
500023,ASIANHOTNR  ,T ,Q,222.00,227.90,206.25,206.30,206.50,217.10,19,1100,236982.00,
500027,ATUL LTD.   ,A ,Q,7002.05,7050.00,6833.85,6848.90,6862.80,7031.05,886,2294,15860862.00,
500028,ATV PROJECTS,XT,Q,16.25,16.44,15.25,15.42,15.70,15.99,198,54589,850552.00,
500031,BAJAJ ELECT.,A ,Q,1026.05,1034.05,1023.60,1025.20,1024.05,1026.05,350,3328,3416702.00,
500032,BAJAJHIND   ,A ,Q,28.79,28.86,27.90,28.12,28.12,28.58,6001,1862739,52579357.00,
500033,FORCE MOTR  ,A ,Q,3751.00,3795.60,3663.25,3746.50,3746.50,3603.55,3483,41869,155694975.00,
500034,BAJFINANCE  ,A ,Q,7676.80,7829.80,7632.30,7734.05,7740.00,7710.55,3327,19108,147906817.00,
500038,BALRAM.CHINI,A ,Q,407.75,407.75,395.00,396.05,396.05,403.45,2035,69913,27840012.00,
500039,BANCO PROD. ,B ,Q,648.75,650.00,633.00,638.60,634.75,640.15,1373,23575,15162060.00,
500040,CENTURY TEXT,A ,Q,1420.05,1513.75,1420.05,1501.30,1501.30,1413.20,5535,69377,102872299.00,
500041,BANNARI AMAN,B ,Q,2532.60,2571.00,2515.00,2538.90,2538.90,2526.35,35,166,421986.00,
500042,BASF INDIA  ,A ,Q,3047.40,3078.50,2993.95,3048.15,3038.90,3043.80,517,1746,5286231.00,
500043,BATA INDIA  ,A ,Q,1622.25,1627.35,1581.00,1585.80,1590.00,1621.00,928,10656,17071720.00,
500048,BEML LTD    ,A ,Q,3128.20,3315.75,3114.20,3172.35,3172.35,3090.45,3631,28912,92476703.00,
500049,BHARAT ELECT,A ,Q,186.95,187.45,183.20,183.65,183.65,185.95,11867,908809,168018962.00,
500052,BHANSALI ENG,B ,Q,112.95,115.00,109.75,110.60,110.60,112.15,1733,145379,16212433.00,
500058,BIHAR SPONGE,XT,Q,10.80,10.96,10.55,10.61,10.61,10.64,243,72616,781456.00,
500059,BINANI IND. ,T ,Q,18.40,18.62,18.40,18.62,18.62,17.74,54,33077,615229.00,
500060,BIRLACABLE  ,B ,Q,281.90,283.00,272.55,273.15,273.15,277.55,1072,25749,7073144.00,
500067,BLUE STAR   ,A ,Q,951.95,959.95,945.00,953.35,954.00,943.75,735,6975,6628732.00,
500068,DISA INDIA  ,B ,Q,15759.80,15760.00,15351.55,15517.10,15517.10,15591.90,26,61,950138.00,
500069,QUESTCAP    ,X ,Q,375.00,397.30,375.00,387.90,390.00,390.65,37,1595,619603.00,
500074,BPL LTD.    ,T ,Q,97.90,98.00,91.00,92.14,92.00,94.93,312,47565,4504695.00,
500078,OAL         ,B ,Q,388.95,393.65,384.35,385.40,384.95,385.15,236,2255,877593.00,
500083,CENTURY EXT ,B ,Q,21.28,21.35,20.57,20.78,20.85,20.94,974,146945,3099614.00,
500084,CESC LTD.   ,A ,Q,138.80,139.25,134.95,135.65,135.45,138.55,3155,342797,46803428.00,
500085,CHAMBAL FERT,A ,Q,375.30,385.35,367.75,378.35,378.35,372.80,14952,590607,222401679.00,
500086,EXIDE IND.  ,A ,Q,333.70,333.70,322.65,323.30,323.30,329.45,7018,221617,72212749.00,
500087,CIPLA LTD.  ,A ,Q,1298.30,1298.30,1266.50,1271.05,1271.05,1286.50,1969,16431,20998429.00,
500089,DIC INDIA   ,B ,Q,521.00,526.65,510.05,522.75,517.15,514.95,94,1296,673075.00,
500092,CRISIL LTD  ,A ,Q,4160.00,4190.00,4060.00,4072.35,4060.00,4118.10,409,1214,4974628.00,
500093,CGPOWER     ,A ,Q,471.55,480.75,465.65,469.05,469.05,467.10,2342,88051,41777158.00,
500096,DABUR (I)   ,A ,Q,570.15,571.50,551.25,553.15,553.15,567.85,1879,45573,25480098.00,
500097,DALMIASUG   ,B ,Q,412.35,412.35,399.40,403.00,403.00,407.60,863,12206,4918849.00,
500101,ARVIND Ltd  ,A ,Q,264.65,268.00,255.95,257.00,258.45,260.85,1507,47849,12541929.00,
500103,BHEL        ,A ,Q,196.25,200.00,193.45,195.15,195.15,195.80,21362,2331580,459005308.00,
500104,HIND.PETRO  ,A ,Q,423.55,438.10,422.50,429.05,429.05,419.75,7135,587320,252978319.00,
500106,IFCI LTD    ,A ,Q,29.94,31.50,29.43,30.26,30.26,29.82,14183,11346115,345416537.00,
500108,MAHA.TELE   ,B ,Q,35.49,36.88,34.75,35.49,35.49,35.18,3675,1415674,50750730.00,
500109,MRPL        ,A ,Q,135.65,135.65,132.90,133.90,133.90,134.00,1556,78464,10512046.00,
500110,CHENNAI PET.,A ,Q,721.70,730.50,713.85,715.55,715.55,721.55,2340,40019,28898012.00,
500111,REL.CAP.    ,T ,Q,15.16,15.16,15.16,15.16,15.16,14.44,195,76007,1152266.00,
500112,STATE BANK  ,A ,Q,641.50,645.00,625.15,627.05,627.05,641.85,17797,848666,536094412.00,
500113,STEEL AUTH. ,A ,Q,117.30,117.60,113.95,114.25,114.25,116.95,19822,2602133,299822143.00,
500114,TITAN       ,A ,Q,3784.25,3784.25,3695.60,3705.70,3712.20,3710.05,3664,31070,115895175.00,
500116,IDBI BANK L ,A ,Q,68.88,68.88,67.05,67.29,67.29,68.61,1978,519901,35215542.00,
500117,DCW LTD.    ,B ,Q,56.55,57.65,56.55,57.03,57.20,56.95,1978,389306,22196841.00,
500119,DHAMPUR SUGA,A ,Q,272.00,272.00,266.95,268.20,268.20,270.15,2119,74831,20076076.00,
500120,DIAMINES&CHM,B ,Q,559.90,559.90,537.00,543.75,539.00,545.00,479,3892,2112934.00,
500123,ELANTAS     ,B ,Q,8401.30,8500.00,8306.20,8371.50,8371.50,8537.60,474,1177,9836026.00,
500124,DR.REDDY'S  ,A ,Q,5875.00,5880.00,5732.80,5760.40,5767.00,5846.50,2490,10696,61793938.00,
500125,E.I.D.PAR   ,A ,Q,578.85,578.85,566.80,570.10,570.10,573.15,1096,28201,16165785.00,
500126,PGHL        ,A ,Q,5026.25,5060.60,5000.00,5001.95,5000.00,5028.40,34,108,542306.00,
500128,ELEC.CASTING,A ,Q,132.25,134.20,126.80,130.50,130.50,129.85,6111,544091,71113272.00,
500133,ESAB INDIA  ,A ,Q,5896.35,5944.95,5700.00,5783.25,5848.00,5889.25,208,696,4043843.00,
500135,EPL         ,A ,Q,201.25,202.15,195.85,196.15,196.15,200.90,1730,62546,12347175.00,
500136,ESTER INDUS.,B ,Q,96.62,97.87,95.65,96.60,96.60,96.59,685,29402,2835589.00,
500142,FGP LTD.    ,X ,Q,8.24,8.25,8.24,8.25,8.25,7.86,18,13188,108688.00,
500143,P.H.CAPITAL ,X ,Q,108.00,108.00,100.00,102.00,102.00,103.70,46,2020,209036.00,
500144,FINOL. CABLE,A ,Q,1043.45,1045.00,1026.00,1029.60,1029.05,1043.55,790,9626,9940340.00,
500147,COCKERILL   ,B ,Q,2999.85,2999.90,2910.00,2925.95,2925.95,2976.80,303,3031,8982498.00,
500148,UFLEX LTD   ,A ,Q,483.05,486.25,476.00,478.20,479.10,483.90,930,18769,9008009.00,
500150,FOSECO INDIA,B ,Q,3709.65,3795.80,3709.00,3718.80,3709.00,3785.35,100,333,1247000.00,
