SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4489.95,4501.95,4411.25,4488.10,4486.00,4450.65,1018,4582,20443987.00,
500003,AEGIS LOGIS ,A ,Q,381.45,383.00,365.10,373.70,372.80,379.65,971,22787,8500431.00,
500008,ARE&M       ,A ,Q,880.00,884.00,855.15,869.75,869.75,878.20,1482,21967,19041188.00,
500009,A.SARABHAI  ,X ,Q,66.00,66.00,60.00,62.61,62.61,66.43,1570,422505,26275506.00,
500012,ANDHRA PETRO,X ,Q,110.50,110.50,102.00,104.00,104.70,108.35,1324,247020,25979654.00,
500014,UTIQUE      ,X ,Q,9.70,9.70,8.98,9.24,9.24,9.87,600,178913,1649717.00,
500016,ARUNAHTEL   ,XT,Q,19.45,19.47,18.25,18.93,18.90,18.63,73,22530,420731.00,
500020,BOM DYEING  ,A ,Q,189.85,189.85,169.25,172.00,172.00,185.95,6033,489048,85972043.00,
500023,ASIANHOTNR  ,T ,Q,152.70,160.30,146.50,148.95,148.00,152.70,57,14508,2216710.00,
500027,ATUL LTD.   ,A ,Q,6286.35,6392.25,6150.00,6362.05,6367.55,6233.30,539,1667,10419401.00,
500028,ATV PROJECTS,XT,Q,22.88,23.50,21.90,22.25,22.39,23.05,210,44997,1006116.00,
500031,BAJAJ ELECT.,A ,Q,1014.75,1030.75,1002.00,1016.25,1017.95,1016.65,569,3763,3825255.00,
500032,BAJAJHIND   ,A ,Q,36.30,39.30,33.00,37.93,37.93,36.13,18647,6645376,243166038.00,
500033,FORCE MOTR  ,A ,Q,4031.00,4165.00,3990.10,4138.15,4138.15,4017.80,2910,32869,133952712.00,
500034,BAJFINANCE  ,A ,Q,6597.35,6675.00,6573.50,6654.80,6654.80,6577.90,12039,58126,386190092.00,
500038,BALRAM.CHINI,A ,Q,392.50,393.20,382.05,382.95,383.50,391.90,4985,154357,59623993.00,
500039,BANCO PROD. ,B ,Q,719.95,730.00,691.35,698.70,698.05,705.50,2671,86766,60724847.00,
500040,CENTURY TEXT,A ,Q,1459.00,1467.25,1401.00,1428.45,1422.55,1448.95,1071,9208,13153247.00,
500041,BANNARI AMAN,B ,Q,2380.05,2436.85,2379.10,2424.25,2410.70,2394.30,77,186,448415.00,
500042,BASF INDIA  ,A ,Q,3153.15,3262.00,3127.30,3215.25,3193.00,3169.20,357,2010,6462030.00,
