SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,8133.60,8332.95,8070.35,8099.75,8099.75,8054.60,1830,8179,67210621.00,
500003,AEGIS LOGIS ,A ,Q,760.50,796.75,752.50,772.60,772.60,760.45,2984,38169,29722542.00,
500008,ARE&M       ,A ,Q,1401.30,1420.00,1350.20,1364.70,1364.70,1401.25,22542,580729,796560982.00,
500009,A.SARABHAI  ,X ,Q,45.99,46.50,44.10,44.95,44.95,45.14,396,105101,4773354.00,
500012,ANDHRA PETRO,X ,Q,125.00,126.90,116.00,120.40,120.40,122.55,7223,1136612,136868431.00,
500013,ANSAL INFRAS,Z ,Q,10.28,10.29,9.96,10.01,10.06,9.80,178,231166,2364367.00,
500014,UTIQUE      ,X ,Q,8.15,8.48,8.11,8.30,8.30,8.31,243,42953,355932.00,
500016,ARUNAHTEL   ,XT,Q,11.01,11.38,10.57,11.05,11.05,11.00,67,10972,121562.00,
500020,BOM DYEING  ,A ,Q,165.40,171.35,164.45,167.65,167.65,164.15,1387,94308,15895663.00,
500023,ASIANHOTNR  ,T ,Q,140.50,146.85,140.50,146.85,146.85,147.25,4,12,1718.00,
500027,ATUL LTD.   ,A ,Q,5992.00,6115.00,5973.45,6082.35,6075.00,5974.25,1509,4897,29694922.00,
500028,ATV PROJECTS,XT,Q,23.49,23.60,22.66,23.13,23.10,23.48,97,21690,498011.00,
500031,BAJAJ ELECT.,A ,Q,989.55,991.90,977.30,982.65,983.85,974.70,262,2106,2079427.00,
500032,BAJAJHIND   ,A ,Q,33.50,36.66,32.89,36.26,36.26,33.26,27964,9610368,339714017.00,
500033,FORCE MOTR  ,A ,Q,8485.85,9162.70,8465.00,9025.15,9025.15,8504.95,3442,10873,96756430.00,
500034,BAJFINANCE  ,A ,Q,7099.95,7168.05,7054.40,7135.00,7135.00,7088.05,3753,16650,118655282.00,
500038,BALRAM.CHINI,A ,Q,399.95,407.00,396.20,405.30,405.30,396.60,2467,88061,35468152.00,
500039,BANCO PROD. ,B ,Q,607.15,630.95,604.45,624.65,624.65,607.00,1273,16377,10118492.00,
500040,CENTURY TEXT,A ,Q,2084.95,2138.15,2053.00,2107.35,2116.10,2090.20,841,7312,15402920.00,
500041,BANNARI AMAN,B ,Q,2398.80,2635.65,2398.80,2614.90,2602.15,2393.25,101,200,514674.00,
500042,BASF INDIA  ,A ,Q,4624.55,4849.00,4608.55,4693.25,4693.25,4571.30,4882,16413,77773273.00,
