SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4232.05,4296.70,4227.15,4284.55,4287.00,4232.90,1023,5492,23453931.00,
500003,AEGIS LOGIS ,A ,Q,316.10,319.75,314.95,315.55,315.85,316.05,612,18297,5791878.00,
500008,ARE&M       ,A ,Q,646.75,647.85,637.05,639.10,639.10,641.75,921,12868,8280764.00,
500009,A.SARABHAI  ,XT,Q,44.74,44.74,44.10,44.74,44.74,42.61,647,445302,19910669.00,
500012,ANDHRA PETRO,X ,Q,82.05,82.63,80.00,80.73,80.73,81.97,664,90146,7308154.00,
500014,UTIQUE      ,X ,Q,6.65,6.65,6.36,6.62,6.65,6.47,165,36435,239319.00,
500016,ARUNAHTEL   ,X ,Q,15.95,16.15,15.20,15.78,15.80,15.29,124,45021,712237.00,
500020,BOM DYEING  ,A ,Q,158.75,167.15,157.50,164.95,164.95,157.65,3636,394940,64207880.00,
500023,ASIANHOTNR  ,T ,Q,201.00,201.00,201.00,201.00,201.00,204.80,6,133,26733.00,
500027,ATUL LTD.   ,A ,Q,6704.90,6755.05,6676.60,6693.90,6693.90,6695.30,310,1169,7845210.00,
500028,ATV PROJECTS,XT,Q,15.30,15.98,14.54,15.15,15.00,15.30,292,113953,1723678.00,
500031,BAJAJ ELECT.,A ,Q,1009.95,1009.95,986.25,989.75,989.75,1001.35,1075,5250,5216263.00,
500032,BAJAJHIND   ,A ,Q,32.48,33.50,32.26,32.95,32.95,32.33,2787,2335229,77122268.00,
500033,FORCE MOTR  ,B ,Q,4199.90,4213.00,4071.10,4091.25,4091.25,4174.10,2140,21611,89368007.00,
500034,BAJFINANCE  ,A ,Q,7150.00,7260.55,7122.05,7219.30,7219.30,7365.85,14503,98367,709706439.00,
500038,BALRAM.CHINI,A ,Q,438.95,439.65,432.75,437.45,437.25,434.90,852,22049,9620568.00,
500039,BANCO PROD. ,B ,Q,600.00,608.25,585.55,589.60,589.60,598.95,3075,80055,47923423.00,
500040,CENTURY TEXT,A ,Q,1233.85,1247.70,1224.15,1228.20,1228.20,1233.20,684,7883,9737807.00,
500041,BANNARI AMAN,B ,Q,2565.10,2621.00,2565.10,2588.70,2570.00,2603.50,39,95,247246.00,
500042,BASF INDIA  ,A ,Q,2912.35,2975.00,2909.25,2932.30,2922.05,2932.70,388,1116,3279246.00,
500043,BATA INDIA  ,A ,Q,1604.95,1613.40,1593.25,1595.55,1593.25,1602.50,436,3056,4898560.00,
500048,BEML LTD    ,A ,Q,2250.00,2355.55,2237.35,2306.75,2303.50,2245.35,1278,11265,25845845.00,
500049,BHARAT ELECT,A ,Q,142.85,146.55,141.90,146.10,146.10,142.55,4430,421667,60986811.00,
500052,BHANSALI ENG,B ,Q,92.69,95.44,92.25,93.48,93.48,91.85,2952,164833,15466749.00,
500058,BIHAR SPONGE,XT,Q,11.10,11.17,10.41,10.71,10.75,10.87,184,42158,453524.00,
500059,BINANI IND. ,T ,Q,16.30,16.75,16.30,16.75,16.75,16.60,13,7450,124506.00,
500060,BIRLACABLE  ,B ,Q,277.75,286.00,271.90,279.40,279.40,272.85,1674,32276,9048701.00,
500067,BLUE STAR   ,A ,Q,956.05,987.85,956.05,968.65,974.00,968.60,1645,17142,16746905.00,
500068,DISA INDIA  ,B ,Q,12860.00,13099.90,12860.00,13087.90,13099.90,12910.00,19,67,869084.00,
500069,QUESTCAP    ,X ,Q,279.95,279.95,266.50,278.50,278.50,270.25,34,713,194650.00,
500074,BPL LTD.    ,T ,Q,94.82,94.82,94.82,94.82,94.82,96.75,42,9378,889221.00,
500078,OAL         ,B ,Q,357.30,357.30,343.40,344.50,348.90,350.25,73,383,133589.00,
500083,CENTURY EXT ,T ,Q,16.50,17.12,16.45,16.99,16.99,16.74,286,83559,1404675.00,
500084,CESC LTD.   ,A ,Q,97.20,99.40,95.35,97.11,97.11,96.10,10372,1771111,172947703.00,
500085,CHAMBAL FERT,A ,Q,307.10,311.20,305.65,307.10,306.65,308.85,1606,66379,20435093.00,
500086,EXIDE IND.  ,A ,Q,273.80,282.35,271.90,281.15,281.15,272.15,8329,427126,118544418.00,
500087,CIPLA LTD.  ,A ,Q,1238.95,1256.00,1235.25,1249.35,1249.35,1234.85,4150,37996,47415457.00,
500089,DIC INDIA   ,B ,Q,436.40,436.40,421.75,422.70,422.00,430.70,38,94,39815.00,
500092,CRISIL LTD  ,A ,Q,4255.00,4282.05,4196.00,4234.90,4232.00,4206.15,393,1150,4880392.00,
500093,CGPOWER     ,A ,Q,400.00,401.00,386.00,389.40,389.40,398.30,3877,109818,43019516.00,
500096,DABUR (I)   ,A ,Q,538.95,542.00,522.95,540.95,540.95,535.00,2986,100975,54242461.00,
