SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,4087.55,4094.00,4001.60,4015.70,4012.90,4087.50,730,3140,12656380.00,
500003,AEGIS LOGIS ,A ,Q,317.00,318.15,312.00,313.70,313.50,318.00,790,16301,5127635.00,
500008,AMAR RAJA BA,A ,Q,636.95,637.75,625.00,628.70,628.70,637.65,5701,59709,37744939.00,
500009,A.SARABHAI  ,XT,Q,41.43,41.45,41.43,41.45,41.45,42.27,199,443534,18376966.00,
500012,ANDHRA PETRO,X ,Q,81.99,83.45,80.83,81.21,81.10,82.13,417,116087,9512295.00,
500014,UTIQUE      ,X ,Q,6.54,6.74,6.37,6.45,6.42,6.50,115,17131,111184.00,
500016,ARUNAHTEL   ,X ,Q,16.59,16.99,15.13,16.16,16.16,16.49,120,23171,366497.00,
500020,BOM DYEING  ,A ,Q,156.90,176.95,156.90,164.50,164.50,156.85,18160,2028825,344550338.00,
500023,ASIANHOTNR  ,B ,Q,154.00,161.50,152.00,155.50,152.00,157.60,45,318,49966.00,
500027,ATUL LTD.   ,A ,Q,6789.95,6851.95,6608.75,6674.10,6674.35,6771.60,1664,4305,28817753.00,
500028,ATV PROJECTS,XT,Q,14.24,14.29,14.24,14.24,14.24,14.53,33,8616,122927.00,
500031,BAJAJ ELECT.,A ,Q,1114.85,1114.85,1070.00,1074.25,1070.00,1098.80,494,2975,3250250.00,
500032,BAJAJHIND   ,A ,Q,26.53,27.42,26.10,26.30,26.21,26.53,5975,3411649,91207230.00,
500033,FORCE MOTR  ,B ,Q,3751.55,3819.50,3665.00,3708.75,3708.75,3767.20,567,2143,8035883.00,
500034,BAJFINANCE  ,A ,Q,7815.00,7830.00,7725.00,7766.30,7773.95,7842.60,5354,231708,1815584902.00,
500038,BALRAM.CHINI,A ,Q,417.75,425.95,417.75,422.25,422.50,421.60,1826,41609,17585109.00,
500039,BANCO PROD. ,B ,Q,490.85,490.85,476.00,478.65,478.55,483.05,720,6828,3278097.00,
500040,CENTURY TEXT,A ,Q,1154.55,1156.15,1050.25,1082.10,1082.10,1157.70,4352,74504,81244412.00,
500041,BANNARI AMAN,B ,Q,2619.00,2685.30,2606.00,2621.55,2621.75,2619.90,107,1000,2671020.00,
500042,BASF INDIA  ,A ,Q,2624.95,2624.95,2551.00,2568.65,2565.00,2604.75,105,332,859232.00,
500043,BATA INDIA  ,A ,Q,1627.00,1627.00,1603.50,1608.70,1608.70,1622.95,396,2301,3708684.00,
500048,BEML LTD    ,A ,Q,2359.80,2359.80,2279.50,2288.65,2288.65,2340.25,703,7499,17330795.00,
500049,BHARAT ELECT,A ,Q,136.65,136.80,133.45,134.15,134.15,136.95,3028,351553,47333219.00,
500052,BHANSALI ENG,B ,Q,93.58,96.90,91.84,93.76,93.76,93.29,4234,98352,9278607.00,
500058,BIHAR SPONGE,XT,Q,10.74,10.75,10.00,10.08,10.22,10.52,272,89105,917392.00,
500059,BINANI IND. ,T ,Q,15.00,15.01,15.00,15.01,15.01,15.30,16,6667,100022.00,
500060,BIRLACABLE  ,B ,Q,336.10,336.10,316.25,320.20,322.00,327.20,384,7382,2399820.00,
500067,BLUE STAR   ,A ,Q,942.90,946.40,910.10,917.45,918.90,945.20,1252,9344,8704560.00,
500068,DISA INDIA  ,B ,Q,13399.95,13699.95,13220.00,13326.40,13369.95,13523.65,39,84,1124129.00,
500069,QUESTCAP    ,X ,Q,281.00,285.80,278.10,279.10,278.10,282.10,23,656,183859.00,
500074,BPL LTD.    ,B ,Q,99.29,102.57,93.23,94.04,94.04,102.43,2438,177836,17317180.00,
500078,OAL         ,B ,Q,350.00,370.60,350.00,365.65,365.05,369.30,152,1185,436583.00,
500083,CENTURY EXT ,T ,Q,16.99,16.99,16.55,16.67,16.67,16.71,127,31249,522916.00,
