SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,2269.00,2280.90,2224.20,2234.85,2234.85,2235.15,1150,7219,16269322.00,
500003,AEGIS LOGIS ,A ,Q,218.20,223.90,217.65,221.80,221.80,219.00,1463,49973,11051361.00,
500008,AMAR RAJA BA,A ,Q,626.00,638.35,621.05,636.85,636.85,618.90,6690,149244,94306742.00,
500009,A.SARABHAI  ,X ,Q,31.95,34.40,31.50,33.65,33.65,31.65,1767,367979,12270253.00,
500010,HDFC        ,A ,Q,2555.60,2608.00,2555.60,2586.85,2586.85,2562.60,3678,48669,126378907.00,
500012,ANDHRA PETRO,B ,Q,118.40,123.90,118.40,122.05,122.05,118.35,1502,193822,23509783.00,
500013,ANSAL INFRAS,T ,Q,11.36,12.22,11.26,12.22,12.22,11.64,150,83155,995411.00,
500014,UTIQUE      ,X ,Q,12.58,12.58,12.23,12.58,12.58,11.99,689,242411,3046173.00,
500016,ARUNAHTEL   ,XT,Q,9.20,9.43,8.55,9.43,9.43,8.99,94,71957,657608.00,
500020,BOM DYEING  ,A ,Q,108.55,112.80,107.95,109.70,109.70,107.30,5971,881318,96967355.00,
500023,ASIANHOTNR  ,B ,Q,70.10,70.95,70.05,70.55,70.90,70.05,31,646,45441.00,
500027,ATUL LTD.   ,A ,Q,8950.00,9056.80,8940.00,9023.50,9041.80,8974.85,331,584,5261804.00,
500028,ATV PROJECTS,XT,Q,14.25,14.25,13.05,13.31,13.15,13.67,146,54455,720835.00,
500031,BAJAJ ELECT.,A ,Q,1288.55,1300.00,1263.60,1285.70,1285.70,1268.95,1106,9260,11892005.00,
500032,BAJAJHIND   ,A ,Q,14.65,15.35,14.63,15.18,15.18,14.68,2937,1734691,26167496.00,
500033,FORCE MOTR  ,A ,Q,1248.50,1258.95,1240.85,1252.05,1252.05,1244.60,537,1987,2485263.00,
500034,BAJFINANCE  ,A ,Q,6875.00,6999.80,6875.00,6976.90,6976.90,6868.85,3457,21573,150059723.00,
