SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 30-Apr-2025"," 106.74"," 106.94"," 106.94"," 106.50"," 106.80"," 106.80"," 106.61"," 1409"," 1.50"," 8"," 1309"," 92.90"
20MICRONS," EQ"," 30-Apr-2025"," 222.39"," 222.39"," 222.90"," 209.01"," 210.00"," 210.52"," 213.29"," 113893"," 242.93"," 6573"," 52962"," 46.50"
21STCENMGM," EQ"," 30-Apr-2025"," 74.92"," 73.90"," 76.30"," 73.42"," 73.42"," 73.42"," 73.60"," 3006"," 2.21"," 65"," 2878"," 95.74"
360ONE," EQ"," 30-Apr-2025"," 983.05"," 975.05"," 1019.95"," 975.05"," 980.05"," 986.05"," 995.28"," 2937845"," 29239.90"," 76195"," 2152050"," 73.25"
3IINFOLTD," EQ"," 30-Apr-2025"," 23.77"," 23.54"," 23.78"," 22.81"," 22.95"," 23.13"," 23.16"," 422964"," 97.97"," 1949"," 149585"," 35.37"
3MINDIA," EQ"," 30-Apr-2025"," 30035.00"," 29880.00"," 30470.00"," 29620.00"," 29975.00"," 30110.00"," 30139.55"," 4939"," 1488.59"," 2962"," 2731"," 55.29"
3PLAND," EQ"," 30-Apr-2025"," 43.06"," 44.33"," 44.44"," 41.11"," 41.35"," 41.83"," 42.08"," 3337"," 1.40"," 90"," 2325"," 69.67"
515GS2025," GS"," 30-Apr-2025"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 2"," 0.00"," 2"," 2"," 100.00"
563GS2026," GS"," 30-Apr-2025"," 100.00"," 99.95"," 100.00"," 99.95"," 100.00"," 100.00"," 99.98"," 3"," 0.00"," 3"," 3"," 100.00"
5PAISA," EQ"," 30-Apr-2025"," 378.65"," 381.50"," 381.50"," 370.00"," 370.20"," 371.45"," 373.60"," 23977"," 89.58"," 2932"," 12439"," 51.88"
610GS2031," GS"," 30-Apr-2025"," 101.23"," 101.00"," 101.00"," 101.00"," 101.00"," 101.00"," 101.00"," 1"," 0.00"," 1"," 1"," 100.00"
63MOONS," EQ"," 30-Apr-2025"," 662.55"," 673.95"," 673.95"," 641.00"," 641.00"," 644.90"," 652.86"," 105774"," 690.56"," 3953"," 67889"," 64.18"
654GS2032," GS"," 30-Apr-2025"," 102.40"," 102.35"," 103.00"," 102.35"," 103.00"," 103.00"," 102.68"," 2"," 0.00"," 2"," 1"," 50.00"
664GS2027," GS"," 30-Apr-2025"," 102.41"," 102.41"," 102.41"," 102.41"," 102.41"," 102.41"," 102.41"," 100"," 0.10"," 1"," 100"," 100.00"
667GS2050," GS"," 30-Apr-2025"," 101.50"," 101.50"," 101.50"," 100.00"," 101.50"," 101.50"," 100.38"," 400"," 0.40"," 4"," 400"," 100.00"
675GS2029," GS"," 30-Apr-2025"," 104.75"," 104.75"," 105.08"," 104.75"," 105.08"," 105.08"," 105.08"," 500001"," 525.40"," 27"," 500001"," 100.00"
676GS2061," GS"," 30-Apr-2025"," 99.65"," 101.95"," 102.50"," 101.90"," 102.50"," 102.50"," 101.93"," 57477"," 58.59"," 8"," 57477"," 100.00"
679GS2034," GS"," 30-Apr-2025"," 103.94"," 103.93"," 104.00"," 103.54"," 103.54"," 103.54"," 103.54"," 1003077"," 1038.60"," 53"," 1003077"," 100.00"
695GS2061," GS"," 30-Apr-2025"," 103.50"," 105.00"," 105.00"," 105.00"," 105.00"," 105.00"," 105.00"," 4"," 0.00"," 1"," 4"," 100.00"
699GS2026," GS"," 30-Apr-2025"," 101.00"," 100.98"," 100.98"," 100.98"," 100.98"," 100.98"," 100.98"," 30"," 0.03"," 1"," 30"," 100.00"
699GS2051," GS"," 30-Apr-2025"," 106.55"," 103.99"," 103.99"," 103.99"," 103.99"," 103.99"," 103.99"," 2"," 0.00"," 1"," 2"," 100.00"
702GS2027," GS"," 30-Apr-2025"," 103.76"," 104.50"," 104.50"," 103.65"," 103.75"," 103.72"," 104.21"," 6200"," 6.46"," 4"," 6200"," 100.00"
702GS2031," GS"," 30-Apr-2025"," 105.76"," 105.00"," 105.00"," 105.00"," 105.00"," 105.00"," 105.00"," 100"," 0.11"," 1"," 100"," 100.00"
704GS2029," GS"," 30-Apr-2025"," 105.25"," 105.20"," 105.20"," 105.20"," 105.20"," 105.20"," 105.20"," 100"," 0.11"," 1"," 100"," 100.00"
706GS2028," GS"," 30-Apr-2025"," 102.99"," 102.00"," 102.55"," 102.00"," 102.55"," 102.55"," 102.20"," 8239"," 8.42"," 4"," 8239"," 100.00"
709GS2054," GS"," 30-Apr-2025"," 105.03"," 105.03"," 105.70"," 105.03"," 105.70"," 105.70"," 105.63"," 4965"," 5.24"," 9"," 4865"," 97.99"
709GS2074," GS"," 30-Apr-2025"," 106.90"," 106.70"," 106.70"," 106.70"," 106.70"," 106.70"," 106.70"," 149"," 0.16"," 1"," 149"," 100.00"
710GS2029," GS"," 30-Apr-2025"," 103.88"," 103.50"," 103.99"," 103.45"," 103.90"," 103.90"," 103.75"," 23456"," 24.33"," 14"," 17933"," 76.45"
717GS2030," GS"," 30-Apr-2025"," 104.24"," 104.55"," 104.60"," 104.30"," 104.32"," 104.36"," 104.36"," 158001"," 164.89"," 15"," 157905"," 99.94"
718GS2037," GS"," 30-Apr-2025"," 108.00"," 108.45"," 108.45"," 108.22"," 108.30"," 108.29"," 108.40"," 87005"," 94.32"," 14"," 74020"," 85.08"
71GS2034," GS"," 30-Apr-2025"," 105.80"," 103.00"," 103.00"," 103.00"," 103.00"," 103.00"," 103.00"," 100"," 0.10"," 1"," 100"," 100.00"
725GS2063," GS"," 30-Apr-2025"," 108.60"," 109.20"," 109.45"," 109.20"," 109.45"," 109.32"," 109.33"," 200"," 0.22"," 2"," 200"," 100.00"
726GS2029," GS"," 30-Apr-2025"," 101.96"," 107.05"," 107.05"," 107.05"," 107.05"," 107.05"," 107.05"," 2000"," 2.14"," 1"," 2000"," 100.00"
726GS2032," GS"," 30-Apr-2025"," 106.60"," 108.00"," 108.00"," 107.38"," 107.38"," 107.38"," 107.63"," 3"," 0.00"," 3"," 3"," 100.00"
727GS2026," GS"," 30-Apr-2025"," 104.50"," 104.50"," 104.50"," 104.50"," 104.50"," 104.50"," 104.50"," 1"," 0.00"," 1"," 1"," 100.00"
732GS2030," GS"," 30-Apr-2025"," 107.00"," 107.00"," 107.00"," 106.75"," 106.75"," 106.75"," 106.77"," 1601"," 1.71"," 3"," 1601"," 100.00"
733GS2026," GS"," 30-Apr-2025"," 102.00"," 101.68"," 102.00"," 101.68"," 101.69"," 101.69"," 101.98"," 11680"," 11.91"," 13"," 11680"," 100.00"
734GS2064," GS"," 30-Apr-2025"," 107.90"," 107.90"," 108.00"," 107.45"," 107.45"," 107.66"," 107.75"," 6077"," 6.55"," 17"," 6077"," 100.00"
737GS2028," GS"," 30-Apr-2025"," 104.21"," 103.35"," 103.35"," 103.35"," 103.35"," 103.35"," 103.35"," 400"," 0.41"," 3"," 400"," 100.00"
738GS2027," GS"," 30-Apr-2025"," 105.40"," 105.50"," 106.85"," 105.50"," 106.00"," 106.01"," 105.56"," 247184"," 260.92"," 35"," 247184"," 100.00"
73GS2053," GS"," 30-Apr-2025"," 107.60"," 110.00"," 110.00"," 107.82"," 108.05"," 108.05"," 108.67"," 37338"," 40.58"," 3"," 25338"," 67.86"
741GS2036," GS"," 30-Apr-2025"," 110.00"," 110.30"," 110.30"," 110.00"," 110.30"," 110.00"," 110.00"," 10001"," 11.00"," 3"," 10001"," 100.00"
746GS2073," GS"," 30-Apr-2025"," 111.81"," 112.75"," 112.75"," 111.50"," 112.14"," 112.14"," 112.14"," 503404"," 564.52"," 75"," 503404"," 100.00"
754GS2036," GS"," 30-Apr-2025"," 112.23"," 112.08"," 112.78"," 112.08"," 112.65"," 112.60"," 112.45"," 147705"," 166.09"," 136"," 138535"," 93.79"
772GS2049," GS"," 30-Apr-2025"," 111.37"," 111.37"," 111.37"," 110.00"," 110.65"," 110.65"," 110.39"," 381"," 0.42"," 3"," 203"," 53.28"
828GS2032," GS"," 30-Apr-2025"," 111.75"," 111.75"," 111.75"," 111.75"," 111.75"," 111.75"," 111.75"," 5"," 0.01"," 1"," 5"," 100.00"
883GS2041," GS"," 30-Apr-2025"," 119.94"," 119.74"," 119.75"," 119.74"," 119.75"," 119.75"," 119.75"," 14"," 0.02"," 2"," 7"," 50.00"
897GS2030," GS"," 30-Apr-2025"," 116.00"," 112.69"," 112.70"," 112.69"," 112.70"," 112.70"," 112.70"," 2"," 0.00"," 2"," 1"," 50.00"
