SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20THCENFIN,EQ,18.5,18.9,18.05,18.3,18.3,19,1000,18597.5,2-APR-1998,
AARTIDRUGS,EQ,10,10,10,10,10,10,100,1000,2-APR-1998,
AARTIIND,EQ,27.55,27.55,25.25,26.5,26.5,26.15,300,7930,2-APR-1998,
ABANLLOYD,EQ,45,45.8,45,45.8,45.8,45.05,300,13660,2-APR-1998,
ABB,EQ,571.5,623.55,571,600.25,598.7,566.85,422100,254267650,2-APR-1998,
ABGHEAVY,EQ,27.75,28.5,27.75,28,27.95,27.7,6900,193175,2-APR-1998,
ABSIND,EQ,42,42,38,39,39,39.2,3500,136035,2-APR-1998,
ACC,EQ,1502,1514,1480,1485.1,1482,1498.6,339005,507875731.5,2-APR-1998,
ACELAB,EQ,17.15,17.5,17,17,17,17.2,5100,87785,2-APR-1998,
ADANIEXPO,EQ,290,294.5,290,293,293,292.9,900,263000,2-APR-1998,
ADVANIORLI,EQ,29.25,29.25,26.9,27.05,27.2,28,17400,477655,2-APR-1998,
AEC,EQ,5.5,5.5,5.5,5.5,5.5,5,500,2750,2-APR-1998,
AEGISCHEM,EQ,12.4,13,12.4,12.7,12.7,11.8,1800,22862.5,2-APR-1998,
AHMEDELEC,EQ,77.6,77.65,74,74,74,75.1,400,30057.5,2-APR-1998,
AHMEDFORGE,EQ,17.75,18,17.6,17.6,17.6,17.95,2200,39360,2-APR-1998,
AKARLAMIN,EQ,4.75,5.3,4.75,5.1,5.1,4.6,3200,16100,2-APR-1998,
AKGACOUST,EQ,5.5,5.5,5.5,5.5,5.5,5.4,300,1650,2-APR-1998,
ALFALAVAL,EQ,118,118,110.1,110.9,110.9,116.95,2050,231665,2-APR-1998,
ALIANCREDT,EQ,5.8,5.8,5.8,5.8,5.8,5.1,200,1160,2-APR-1998,
ALKYLAMINE,EQ,21.8,21.8,21.75,21.75,21.75,22.9,250,5447.5,2-APR-1998,
ALLIEDRES,EQ,7.85,7.85,7.85,7.85,7.85,9.15,200,1570,2-APR-1998,
ALMBICHEM,EQ,652,740,652,704.75,683,673,890,622923.5,2-APR-1998,
ALOKTEXT,EQ,15,16.5,15,15.25,15.25,15.05,3000,45960,2-APR-1998,
ALPHADRUG,EQ,14.5,15.3,14.5,14.95,14.8,14.85,20600,309275,2-APR-1998,
ALPICFIN,EQ,27.45,27.7,26.3,27.65,27.65,27,3100,84860,2-APR-1998,
ALPINEIND,EQ,7,7,6.8,6.95,7,6.75,1100,7640,2-APR-1998,
AMARAJABAT,EQ,92.05,94,91.05,91.8,91.8,91.6,16000,1481500,2-APR-1998,
AMBASARABH,EQ,9.5,9.5,9.5,9.5,9.5,9.5,300,2850,2-APR-1998,
AMERICADRY,EQ,5,5.5,5,5.2,5.25,5.15,7800,40625,2-APR-1998,
AMFORGEIND,EQ,10.55,10.55,10.15,10.15,10.15,10.25,2700,28365,2-APR-1998,
AMTEKAUTO,EQ,24.5,25,23.6,24.5,24.5,24.05,5100,126010,2-APR-1998,
AMTREXAPPL,EQ,26,26.75,25.45,25.75,25.75,26.6,7100,185625,2-APR-1998,
ANAGRAMFIN,EQ,19.35,19.35,18.2,19.05,19.2,19.3,2750,51785,2-APR-1998,
ANAMALFIN,EQ,12.95,12.95,12.8,12.8,12.8,12.95,800,10330,2-APR-1998,
ANDHRAPET,EQ,4.15,4.15,3.85,4,4,3.95,6100,24375,2-APR-1998,
ANDHRSUGAR,EQ,36,36,36,36,36,35.95,100,3600,2-APR-1998,
ANDRAVALLY,EQ,94.9,96,93,95.8,95.5,93.35,39950,3788427.5,2-APR-1998,
ANSALHOUS,EQ,8.4,8.55,8.4,8.5,8.5,8.5,6400,54360,2-APR-1998,
ANSALPROP,EQ,15.75,15.75,15.45,15.5,15.5,15.15,12800,198795,2-APR-1998,
ANTFRIBEAR,EQ,38.8,38.8,37.8,37.8,37.8,39,500,19085,2-APR-1998,
ANTGRAPHIC,EQ,1.6,1.65,1.55,1.55,1.55,1.5,2700,4260,2-APR-1998,
APCOTEXLAT,EQ,56.05,57.9,56,57.9,57.9,58,400,22595,2-APR-1998,
APOLLOHOSP,EQ,27.45,27.45,25.65,25.65,25.65,26.3,150,4027.5,2-APR-1998,
APOLLOTYRE,EQ,85.4,93.15,85,91.95,91.3,84.65,288300,26054630,2-APR-1998,
APPAPER,EQ,675,677,670,676,675,670,45,30380,2-APR-1998,
APPLECREDT,EQ,18.5,18.6,17.6,18.5,18.5,18.05,1600,29225,2-APR-1998,
APPLEIND,EQ,10.25,10.25,10,10,10,10,14200,142400,2-APR-1998,
APRAYON,EQ,27.5,29.65,27.5,29.65,29.65,26.95,7650,224457.5,2-APR-1998,
APTECH,EQ,735,736,656.5,674.2,675,728.35,145400,100355830,2-APR-1998,
ARAVALISEC,EQ,2.5,2.5,2.5,2.5,2.5,2.5,100,250,2-APR-1998,
ARUNASUGAR,EQ,5.4,5.5,5.2,5.5,5.5,5,650,3495,2-APR-1998,
ARVINDMILL,EQ,71.5,71.8,69.8,70,70,71,178550,12658187.5,2-APR-1998,
ARVINDPOLY,EQ,9.4,9.4,8,8.6,8.6,8.25,3100,26140,2-APR-1998,
ARYAFINFAB,EQ,2.45,2.75,2.45,2.75,2.75,2.75,1900,4925,2-APR-1998,
ASHIMASYN,EQ,40,40,40,40,40,40.25,1000,40000,2-APR-1998,
ASHKLEYFIN,EQ,32.5,33.45,32.3,33,33,32.75,3000,98870,2-APR-1998,
ASHOKALCO,EQ,22,22,22,22,22,20,100,2200,2-APR-1998,
ASHOKLEY,EQ,43.8,44.25,42.7,43.1,43,43.45,135450,5893920,2-APR-1998,
ASHOKORG,EQ,18.1,18.1,18.1,18.1,18.1,18.7,200,3620,2-APR-1998,
ASIANCOFFE,EQ,25.5,25.75,24.5,24.6,24.5,25.5,7400,185675,2-APR-1998,
ASIANCONSO,EQ,1.5,1.5,1.5,1.5,1.5,1.3,1500,2250,2-APR-1998,
ASIANELEC,EQ,103.1,106,103,104.9,104.9,105.25,1150,120212.5,2-APR-1998,
ASIANHOTEL,EQ,178,178.5,174.5,174.5,174.5,176.9,1000,177025,2-APR-1998,
ASIANPAINT,EQ,318,320,314,314.05,314,319.15,3800,1204040,2-APR-1998,
ASSAMCO,EQ,43.6,44.9,42.5,43.2,42.5,43.85,3650,159322.5,2-APR-1998,
ASSAMFRONT,EQ,158,158,154.25,154.25,154.25,150.5,200,31225,2-APR-1998,
ATCOIND,EQ,21.25,21.25,20,20,20,21.2,8600,175030,2-APR-1998,
ATLANTSPG,EQ,6.8,6.8,6.8,6.8,6.8,8,100,680,2-APR-1998,
ATLASCOPCO,EQ,236,240,226,226.1,226,233,6050,1400247.5,2-APR-1998,
ATLASCYCLE,EQ,53,53.5,52.25,52.5,52.5,52.85,500,26362.5,2-APR-1998,
ATULPROD,EQ,22.25,23.85,22.25,23,23,22.4,4050,92535,2-APR-1998,
ATVPETRO,EQ,3.3,3.3,3.1,3.1,3.1,3.2,600,1880,2-APR-1998,
AURANPAPER,EQ,4.2,4.45,4.2,4.45,4.45,3.95,1300,5710,2-APR-1998,
AUROPHARMA,EQ,103,104,100,100.25,100.25,99.1,2300,232905,2-APR-1998,
AUTOAXLES,EQ,28.5,28.5,28.5,28.5,28.5,27.3,500,14250,2-APR-1998,
AUTOCORP,EQ,29,29,28.5,28.55,28.5,28,950,27230,2-APR-1998,
AUTOLEC,EQ,40,42.25,39.9,42.2,42.2,38.55,2700,111455,2-APR-1998,
AUTOLITIND,EQ,31.5,31.8,30,30.2,30.05,30.7,23600,724915,2-APR-1998,
AUTOPALIND,EQ,4.75,4.75,4.6,4.6,4.6,4.85,1000,4695,2-APR-1998,
AUTORIDFIN,EQ,9.5,9.5,9.5,9.5,9.5,10,200,1900,2-APR-1998,
AVERY,EQ,48.3,48.55,48,48,48,47.5,1550,74880,2-APR-1998,
BAGWATIGAS,EQ,8.25,8.6,8.25,8.5,8.5,8.5,1900,16075,2-APR-1998,
BAGYAMETAL,EQ,16.55,18,16.55,17.65,16.65,16.5,900,15910,2-APR-1998,
