SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,31.15,31.4,30,30.25,30.9,31.1,18843,575798.1,04-MAR-2020,373,INE144J01027,
21STCENMGM,EQ,12.1,12.1,12.1,12.1,12.1,12.3,50,605,04-MAR-2020,1,INE253B01015,
3IINFOTECH,EQ,1.95,1.95,1.85,1.85,1.85,1.95,998457,1881990.6,04-MAR-2020,425,INE748C01020,
3MINDIA,EQ,20790,22599,20430.15,22335.75,22140,20632.95,39991,875865179,04-MAR-2020,16719,INE470A01017,
3PLAND,EQ,4.3,4.3,4.3,4.3,4.3,4.5,104,447.2,04-MAR-2020,3,INE105C01023,
5PAISA,EQ,164.5,164.5,154.55,155,156,158.35,5450,852113.6,04-MAR-2020,242,INE618L01018,
63MOONS,EQ,91,92,87.5,88.7,88.65,90.4,70991,6340118.85,04-MAR-2020,1232,INE111B01023,
772GS2049,GS,110.25,110.25,110.25,110.25,110.25,110.25,2,220.5,04-MAR-2020,1,IN0020190032,
A2ZINFRA,EQ,3.9,4.15,3.85,4.05,4.05,4,354604,1415672.45,04-MAR-2020,364,INE619I01012,
AARON,SM,46.4,46.4,46.4,46.4,46.4,47.9,3300,153120,04-MAR-2020,1,INE721Z01010,
AARTIDRUGS,EQ,660.6,669.95,640.85,654.3,649.5,651,49740,32548648.95,04-MAR-2020,3794,INE767A01016,
AARTIIND,EQ,986.25,989.7,957.1,963.7,963.75,983.45,258701,251006062.35,04-MAR-2020,13960,INE769A01020,
AARVEEDEN,EQ,13,13,12.05,12.45,12.5,12.55,1393,17249.2,04-MAR-2020,31,INE273D01019,
AAVAS,EQ,1915.1,1944,1872,1899.2,1900,1918.2,68659,130819812.95,04-MAR-2020,9046,INE216P01012,
ABAN,EQ,21.35,21.35,19.8,20.05,19.9,20.1,46023,922729.2,04-MAR-2020,430,INE421A01028,
ABB,EQ,1168.95,1178.65,1150,1157.15,1155,1161,41444,47977119.25,04-MAR-2020,4791,INE117A01022,
ABBOTINDIA,EQ,15562,15562,14500,14992.3,15010,15427.65,15287,229281431.1,04-MAR-2020,5831,INE358A01014,
ABCAPITAL,EQ,78.9,79.15,74.1,75.45,75.3,77.85,1415274,108232291.95,04-MAR-2020,13014,INE674K01013,
ABFRL,EQ,256,259.65,243.3,250.15,249.4,254.25,1781283,445926027.9,04-MAR-2020,26510,INE647O01011,
ABSLBANETF,EQ,287.7,287.7,284.02,284.7,284.7,289.87,3,856.42,04-MAR-2020,3,INF209KB1O58,
ABSLNN50ET,EQ,277,277,266.68,269.01,269.01,271.67,200,53816.4,04-MAR-2020,6,INF209KB1B87,
ACC,EQ,1340.35,1344.45,1294.15,1325.6,1320,1335.25,630269,831492800.2,04-MAR-2020,29984,INE012A01025,
ACCELYA,EQ,1035.25,1042,1025.3,1031.25,1039.95,1045.3,5678,5866859,04-MAR-2020,317,INE793A01012,
ACCORD,SM,16.5,16.5,15,15,15,16.5,4000,63000,04-MAR-2020,2,INE113X01015,
ACCURACY,SM,20.9,20.9,19.85,19.85,19.85,20.85,166400,3340160,04-MAR-2020,41,INE648Z01015,
ACE,EQ,68.2,70.3,64,64.35,64.25,68.2,221923,14699912.8,04-MAR-2020,2380,INE731H01025,
ADANIENT,EQ,226.1,227,213.55,221.1,222.7,225.75,5216787,1146474334.4,04-MAR-2020,23482,INE423A01024,
ADANIGAS,EQ,134.25,134.85,126.35,130.4,130,134.25,2325074,302174579.9,04-MAR-2020,24164,INE399L01023,
