SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 04-Mar-2025"," 109.00"," 109.00"," 110.00"," 109.00"," 110.00"," 110.00"," 109.00"," 2003"," 2.18"," 6"," 2003"," 100.00"
20MICRONS," EQ"," 04-Mar-2025"," 172.29"," 169.91"," 178.50"," 167.71"," 177.80"," 177.57"," 176.61"," 110950"," 195.94"," 2946"," 70868"," 63.87"
21STCENMGM," BE"," 04-Mar-2025"," 69.98"," 68.58"," 69.49"," 68.58"," 68.58"," 68.58"," 68.79"," 2742"," 1.89"," 62"," -"," -"
360ONE," EQ"," 04-Mar-2025"," 978.60"," 970.00"," 1001.30"," 970.00"," 979.00"," 983.05"," 986.82"," 1119762"," 11050.01"," 57119"," 654516"," 58.45"
3IINFOLTD," EQ"," 04-Mar-2025"," 22.93"," 22.70"," 24.09"," 22.52"," 23.11"," 23.01"," 23.40"," 798580"," 186.84"," 3470"," 355964"," 44.57"
3MINDIA," EQ"," 04-Mar-2025"," 26275.90"," 26161.00"," 26380.00"," 25730.00"," 25999.85"," 25982.50"," 25947.53"," 4679"," 1214.08"," 2601"," 2266"," 48.43"
3PLAND," BE"," 04-Mar-2025"," 39.36"," 40.35"," 41.00"," 38.21"," 40.40"," 39.13"," 39.71"," 4565"," 1.81"," 62"," -"," -"
522GS2025," GS"," 04-Mar-2025"," 100.50"," 100.50"," 100.50"," 100.50"," 100.50"," 100.50"," 100.50"," 200"," 0.20"," 1"," 200"," 100.00"
563GS2026," GS"," 04-Mar-2025"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 1"," 0.00"," 1"," 1"," 100.00"
574GS2026," GS"," 04-Mar-2025"," 100.32"," 100.35"," 100.35"," 100.35"," 100.35"," 100.35"," 100.35"," 4"," 0.00"," 2"," 4"," 100.00"
585GS2030," GS"," 04-Mar-2025"," 98.39"," 96.45"," 96.45"," 94.13"," 94.13"," 94.62"," 94.62"," 119"," 0.11"," 3"," 62"," 52.10"
5PAISA," EQ"," 04-Mar-2025"," 330.85"," 328.00"," 341.10"," 326.00"," 328.00"," 327.60"," 332.22"," 34198"," 113.61"," 3058"," 15182"," 44.39"
