SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
1018GS2026, GS, 04-Sep-2024, 123.83, 121.50, 121.50, 120.00, 120.00, 120.00, 121.21, 754, 0.91, 4, 754, 100.00
20MICRONS, EQ, 04-Sep-2024, 315.20, 314.50, 340.00, 311.00, 326.50, 327.20, 328.53, 755362, 2481.61, 31678, 249664, 33.05
21STCENMGM, BE, 04-Sep-2024, 125.58, 128.09, 128.09, 128.09, 128.09, 128.09, 128.09, 3375, 4.32, 18, -, -
360ONE, EQ, 04-Sep-2024, 1095.15, 1081.50, 1114.00, 1067.60, 1091.00, 1091.20, 1099.78, 557096, 6126.81, 34691, 370742, 66.55
3IINFOLTD, EQ, 04-Sep-2024, 33.81, 33.49, 34.06, 33.25, 33.61, 33.46, 33.55, 782061, 262.36, 5975, 430832, 55.09
3MINDIA, EQ, 04-Sep-2024, 35717.75, 35650.00, 36244.00, 34866.00, 35130.00, 34964.00, 35322.40, 13516, 4774.18, 5570, 7931, 58.68
3PLAND, BE, 04-Sep-2024, 42.34, 43.10, 44.25, 41.70, 44.15, 44.14, 43.63, 21892, 9.55, 164, -, -
574GS2026, GS, 04-Sep-2024, 99.59, 99.65, 99.65, 98.60, 98.60, 98.60, 99.52, 8, 0.01, 2, 7, 87.50
585GS2030, GS, 04-Sep-2024, 94.75, 94.75, 95.25, 94.70, 95.25, 95.25, 94.96, 190, 0.18, 3, 100, 52.63
5PAISA, EQ, 04-Sep-2024, 525.05, 525.00, 525.45, 517.30, 524.00, 519.60, 520.72, 44253, 230.43, 4373, 21883, 49.45
63MOONS, EQ, 04-Sep-2024, 360.35, 378.35, 378.35, 363.90, 378.35, 378.35, 376.20, 471549, 1773.94, 3009, 307223, 65.15
654GS2032, GS, 04-Sep-2024, 99.20, 99.30, 99.30, 99.30, 99.30, 99.30, 99.30, 1, 0.00, 1, 1, 100.00
667GS2035, GS, 04-Sep-2024, 99.80, 99.45, 99.45, 99.40, 99.40, 99.40, 99.45, 50, 0.05, 4, 50, 100.00
667GS2050, GS, 04-Sep-2024, 99.40, 98.30, 98.30, 97.90, 97.90, 97.90, 97.92, 309, 0.30, 3, 309, 100.00
676GS2061, GS, 04-Sep-2024, 95.81, 97.99, 97.99, 97.50, 97.50, 97.50, 97.50, 5647, 5.51, 6, 5647, 100.00
68GS2060, GS, 04-Sep-2024, 98.00, 98.00, 99.00, 98.00, 98.01, 98.01, 98.01, 1999, 1.96, 11, 1999, 100.00
695GS2061, GS, 04-Sep-2024, 99.51, 99.51, 99.51, 99.51, 99.51, 99.51, 99.51, 300, 0.30, 1, 300, 100.00
699GS2026, GS, 04-Sep-2024, 102.90, 102.51, 102.65, 102.50, 102.61, 102.61, 102.55, 3677, 3.77, 5, 3677, 100.00
699GS2051, GS, 04-Sep-2024, 101.39, 101.75, 101.75, 101.20, 101.39, 101.23, 101.24, 10032, 10.16, 5, 10016, 99.84
702GS2027, GS, 04-Sep-2024, 102.03, 102.03, 102.03, 102.03, 102.03, 102.03, 102.03, 1001, 1.02, 2, 1001, 100.00
702GS2031, GS, 04-Sep-2024, 103.55, 102.80, 102.80, 102.00, 102.75, 102.75, 102.00, 3273, 3.34, 4, 3271, 99.94
704GS2029, GS, 04-Sep-2024, 102.05, 102.05, 102.05, 102.05, 102.05, 102.05, 102.05, 100, 0.10, 2, 100, 100.00
706GS2028, GS, 04-Sep-2024, 103.54, 103.54, 103.60, 103.54, 103.60, 103.60, 103.55, 709, 0.73, 2, 709, 100.00
710GS2029, GS, 04-Sep-2024, 104.42, 104.59, 104.59, 104.03, 104.10, 104.03, 104.04, 7501, 7.80, 3, 7501, 100.00
716GS2050, GS, 04-Sep-2024, 103.35, 103.10, 103.13, 103.10, 103.13, 103.13, 103.10, 2200, 2.27, 2, 2200, 100.00
717GS2030, GS, 04-Sep-2024, 104.25, 104.15, 104.15, 104.15, 104.15, 104.15, 104.15, 1, 0.00, 1, 1, 100.00
718GS2033, GS, 04-Sep-2024, 102.53, 102.15, 102.65, 102.15, 102.65, 102.65, 102.40, 6000, 6.14, 4, 5550, 92.50
718GS2037, GS, 04-Sep-2024, 103.25, 103.45, 104.25, 103.44, 104.19, 104.19, 103.86, 136048, 141.30, 28, 126350, 92.87
71GS2034, GS, 04-Sep-2024, 104.00, 104.11, 104.11, 104.11, 104.11, 104.11, 104.11, 200, 0.21, 2, 100, 50.00
723GS2039, GS, 04-Sep-2024, 104.80, 104.80, 106.10, 104.80, 105.00, 105.00, 105.13, 2300, 2.42, 3, 2000, 86.96
725GS2063, GS, 04-Sep-2024, 104.69, 104.60, 105.30, 104.60, 105.30, 105.16, 104.95, 23900, 25.08, 8, 23900, 100.00
726GS2032, GS, 04-Sep-2024, 102.82, 103.00, 103.00, 102.70, 102.76, 102.81, 102.88, 86301, 88.78, 18, 86301, 100.00
726GS2033, GS, 04-Sep-2024, 102.85, 102.85, 103.00, 102.85, 103.00, 102.93, 102.94, 42700, 43.95, 7, 42700, 100.00
727GS2026, GS, 04-Sep-2024, 98.37, 103.00, 103.28, 103.00, 103.28, 103.28, 103.18, 56000, 57.78, 7, 56000, 100.00
732GS2030, GS, 04-Sep-2024, 104.05, 104.10, 104.20, 104.10, 104.20, 104.20, 104.19, 1100, 1.15, 2, 1100, 100.00
733GS2026, GS, 04-Sep-2024, 103.31, 103.10, 103.75, 103.10, 103.36, 103.36, 103.25, 1000, 1.03, 8, 900, 90.00
734GS2064, GS, 04-Sep-2024, 107.23, 106.50, 107.45, 106.50, 107.00, 107.00, 106.58, 1805, 1.92, 7, 1700, 94.18
736GS2052, GS, 04-Sep-2024, 108.00, 107.50, 107.50, 107.50, 107.50, 107.50, 107.50, 3000, 3.23, 2, 3000, 100.00
737GS2028, GS, 04-Sep-2024, 104.75, 104.10, 104.15, 104.10, 104.15, 104.15, 104.10, 1600, 1.67, 2, 1600, 100.00
738GS2027, GS, 04-Sep-2024, 103.15, 103.05, 103.29, 103.00, 103.27, 103.23, 103.19, 63497, 65.52, 30, 55681, 87.69
73GS2053, GS, 04-Sep-2024, 105.60, 105.60, 105.60, 105.59, 105.59, 105.59, 105.59, 1850, 1.95, 5, 1850, 100.00
740IIFCL33, N1, 04-Sep-2024, 1175.00, 1175.00, 1175.00, 1175.00, 1175.00, 1175.00, 1175.00, 100, 1.18, 1, 100, 100.00
741GS2036, GS, 04-Sep-2024, 105.50, 105.50, 105.50, 105.50, 105.50, 105.50, 105.50, 8249, 8.70, 3, 8249, 100.00
746GS2073, GS, 04-Sep-2024, 107.90, 109.00, 109.00, 109.00, 109.00, 109.00, 109.00, 75, 0.08, 1, 75, 100.00
74GS2062, GS, 04-Sep-2024, 109.40, 107.20, 109.25, 107.20, 108.01, 108.01, 107.62, 200, 0.22, 4, 100, 50.00
754GS2036, GS, 04-Sep-2024, 107.30, 107.28, 107.37, 107.20, 107.35, 107.33, 107.31, 486411, 521.99, 176, 448992, 92.31
772GS2049, GS, 04-Sep-2024, 109.00, 110.00, 110.00, 110.00, 110.00, 110.00, 110.00, 17, 0.02, 2, 17, 100.00
824GS2027, GS, 04-Sep-2024, 104.50, 104.40, 104.70, 104.00, 104.70, 104.70, 104.44, 3520, 3.68, 9, 3020, 85.80
82GS2025, GS, 04-Sep-2024, 101.80, 104.00, 104.05, 104.00, 104.05, 104.05, 104.03, 2, 0.00, 2, 1, 50.00
92GS2030, GS, 04-Sep-2024, 116.00, 117.50, 117.50, 117.50, 117.50, 117.50, 117.50, 99, 0.12, 1, 99, 100.00
A2ZINFRA, BE, 04-Sep-2024, 17.75, 18.10, 18.10, 17.75, 17.75, 17.75, 18.03, 111964, 20.19, 136, -, -
AAATECH, EQ, 04-Sep-2024, 119.23, 118.90, 126.55, 115.61, 124.20, 124.08, 122.87, 107329, 131.87, 4040, 49173, 45.82
AADHARHFC, EQ, 04-Sep-2024, 418.95, 415.00, 420.65, 411.25, 416.00, 416.50, 417.73, 1366308, 5707.49, 22886, 838235, 61.35
AAKASH, BE, 04-Sep-2024, 12.41, 12.39, 13.00, 12.10, 12.99, 12.94, 12.63, 207777, 26.24, 881, -, -
AAREYDRUGS, EQ, 04-Sep-2024, 72.49, 70.40, 74.00, 70.40, 74.00, 73.61, 73.38, 202217, 148.39, 2310, 123100, 60.88
AARON, EQ, 04-Sep-2024, 265.80, 265.80, 272.00, 263.40, 271.00, 269.95, 267.65, 10442, 27.95, 794, 3810, 36.49
AARTECH, EQ, 04-Sep-2024, 79.73, 79.73, 82.66, 77.55, 80.00, 80.44, 79.48, 210067, 166.96, 2494, 111060, 52.87
AARTIDRUGS, EQ, 04-Sep-2024, 582.70, 582.00, 585.00, 571.75, 575.00, 574.60, 578.62, 341736, 1977.35, 24096, 206499, 60.43
AARTIIND, EQ, 04-Sep-2024, 623.10, 612.00, 621.00, 594.45, 610.00, 609.60, 611.62, 2723971, 16660.36, 58994, 977832, 35.90
AARTIPHARM, EQ, 04-Sep-2024, 675.10, 670.00, 688.00, 663.10, 678.00, 679.00, 680.01, 296342, 2015.15, 21008, 167680, 56.58
