SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,307.85,314,304.5,309.75,310,306.7,611389,189730053.45,5-JUN-2007,
3MINDIA,EQ,1836.05,1885,1835,1869.75,1870,1851.9,879,1642547.9,5-JUN-2007,
AARTIDRUGS,EQ,66.95,68.45,66.15,67.55,67.35,67.5,3050,206360.75,5-JUN-2007,
AARTIIND,EQ,25.35,25.35,24.7,24.95,25,24.8,19681,488620.25,5-JUN-2007,
AARVEEDEN,EQ,97.5,102.75,97.5,102.1,101,101,1633,164204.35,5-JUN-2007,
ABAN,EQ,2661.1,2733.65,2500,2685.3,2681,2681.65,104215,282228132.05,5-JUN-2007,
ABB,EQ,4680,4702,4610,4630.5,4624,4666.3,96260,448049574.05,5-JUN-2007,
ABGSHIP,EQ,425,431.8,418.35,429.55,429.5,425.3,21890,9361637.15,5-JUN-2007,
ABIRLANUVO,EQ,1355.05,1364,1336,1350.3,1355,1355.05,55150,74388693.25,5-JUN-2007,
ABSHEKINDS,EQ,18.7,18.9,18.25,18.4,18.45,18.45,36818,677289.1,5-JUN-2007,
ACC,EQ,843.8,843.8,828.1,836.15,836,837.55,379857,316504426.65,5-JUN-2007,
ACE,EQ,259.9,267.25,254.15,257.95,257.1,258.05,54251,14158624.75,5-JUN-2007,
ADANIENT,EQ,235.1,240,233,238.7,239,236.4,141977,33667697.55,5-JUN-2007,
ADHUNIK,EQ,54,55,53.5,53.8,54.2,54.6,112687,6119273,5-JUN-2007,
ADLABSFILM,EQ,550,561.1,542,548.2,549,545.2,655799,362406227.05,5-JUN-2007,
ADORWELD,EQ,257,261.95,245.05,248.5,249.35,255.8,19153,4783223.35,5-JUN-2007,
ADVANTA,EQ,987,992.8,942.05,962.85,970,987.55,143903,140776195.5,5-JUN-2007,
AEGISCHEM,EQ,147.8,152,147.15,148.5,148.65,150.6,11001,1641775.6,5-JUN-2007,
AFL,BE,59.1,63,59.1,62.4,62,62.15,25056,1541946,5-JUN-2007,
AFTEK,EQ,71.65,74.5,70.5,73.05,73,71.65,1019534,74767442.1,5-JUN-2007,
AGRODUTCH,EQ,28.85,29.5,28.75,29.1,29.05,29,20450,593545.65,5-JUN-2007,
AHMEDFORGE,EQ,250,258,248,255.85,258,255.55,7182,1820385,5-JUN-2007,
AIAENG,EQ,1535,1665,1534,1645.25,1658,1534.5,158649,254997125.15,5-JUN-2007,
AICHAMP,EQ,83,86.9,83,85.1,84.85,86.1,1434,121898.7,5-JUN-2007,
AIRDECCAN,EQ,143,145.4,142.25,143.05,143,143.55,1009041,144816068.9,5-JUN-2007,
AJANTPHARM,EQ,88.4,93.3,84,91.75,92.1,86.7,156518,14169795.5,5-JUN-2007,
AKRUTI,EQ,375.45,375.45,365,366.1,365.8,372.9,60278,22250312.9,5-JUN-2007,
AKSHOPTFBR,EQ,43,44,42.25,42.55,42.5,43,57455,2455020,5-JUN-2007,
ALBK,EQ,87,87.7,85.8,87.25,87,86.25,168447,14626079.2,5-JUN-2007,
ALCHEMIST,EQ,8.25,8.4,8.15,8.25,8.25,8.25,68579,568118.9,5-JUN-2007,
ALEMBICLTD,EQ,63,63.95,62.5,63.3,63.9,63.05,44512,2815779.95,5-JUN-2007,
ALFALAVAL,EQ,1132,1170,1132,1165.55,1160,1168.1,1898,2211198.3,5-JUN-2007,
ALLCARGO,EQ,975,1000,971,997.65,986,971.65,6756,6723874.25,5-JUN-2007,
ALLSEC,EQ,265.7,275,261.1,263.8,261.15,260.1,13000,3465953.95,5-JUN-2007,
ALOKTEXT,EQ,58.1,58.55,57.7,58.2,58,58.2,246371,14324559.35,5-JUN-2007,
ALPHAGEO,EQ,343.8,375,343.8,365.9,363,361.8,24626,8995559.25,5-JUN-2007,
ALPSINDUS,EQ,46.9,47.5,46.4,46.7,46.5,46.3,19487,912362.3,5-JUN-2007,
AMAR,EQ,35.45,35.45,34.55,34.85,34.95,34.65,40313,1405624.35,5-JUN-2007,
AMARAJABAT,EQ,383,393,383,386.55,390,384.15,5254,2028498.5,5-JUN-2007,
AMBICAAGAR,EQ,12.5,13.95,12.5,12.9,12.95,13.05,16497,213848.4,5-JUN-2007,
AMDMET,EQ,60.35,61.9,59,59.55,59.5,60.25,125772,7587121.3,5-JUN-2007,
AML,EQ,46,46.25,45,45.15,45.15,46.05,57657,2614751.2,5-JUN-2007,
AMTEKAUTO,EQ,417.7,422,413.15,416.4,416.25,413.9,294340,122724599.55,5-JUN-2007,
AMTEKINDIA,EQ,164,171,164,167.55,166.4,168.85,188192,31775216.5,5-JUN-2007,
ANANTRAJ,EQ,1205.1,1252.95,1180.05,1186.5,1187,1226.1,1858,2218278.2,5-JUN-2007,
ANDHRABANK,EQ,86.7,87.85,86,87.6,87.85,86.55,182339,15879648.65,5-JUN-2007,
ANDHRSUGAR,EQ,91.1,92.85,91.05,92.35,92.85,91.65,7871,721651.5,5-JUN-2007,
ANGAUTO,EQ,270,299,270,286.65,291,266,6767,1864576,5-JUN-2007,
ANKURDRUGS,EQ,324.95,324.95,305,308.1,310,316.25,4819,1497256.05,5-JUN-2007,
ANSALHSG,EQ,249,249,239,242.75,247,247.75,17658,4277194.35,5-JUN-2007,
ANSALINFRA,EQ,339,340.7,328,330.8,329.8,339.4,193459,64490996.9,5-JUN-2007,
ANTGRAPHIC,EQ,0.45,0.45,0.4,0.4,0.4,0.45,137985,55418.55,5-JUN-2007,
APARINDS,EQ,160.05,161.9,160,160,160,160.4,1311,211153.25,5-JUN-2007,
APCOTEXIND,EQ,33.05,35,33.05,33.9,34.4,33.85,2014,68341.9,5-JUN-2007,
APIL,EQ,582,589,573.15,581.3,581.6,582.95,74794,43498333.1,5-JUN-2007,
APOLLOHOSP,EQ,498,499,495,497.3,498.5,494.55,5392,2680128.15,5-JUN-2007,
APOLLOTYRE,EQ,360,363,355,355.5,355.4,361.95,70325,25193736.15,5-JUN-2007,
APPAPER,EQ,95,95,92.6,95,95,93.55,373,34822,5-JUN-2007,
APTECHT,EQ,304.6,314.8,303.35,310.75,310.7,303.35,280821,86597407.5,5-JUN-2007,
ARCHIES,EQ,142,152,138.65,139.55,139,139.55,90631,12804274.85,5-JUN-2007,
ARIHANT,EQ,291.25,300,291.25,300,300,300.55,773,231130,5-JUN-2007,
ARL,EQ,1.7,1.95,1.65,1.8,1.8,1.65,971778,1758256.95,5-JUN-2007,
AROGRANITE,EQ,99.5,99.5,98.25,98.25,98.25,96.6,400,39550,5-JUN-2007,
ARSBONDS,N1,98.02,98.02,97.86,97.86,97.86,98.05,2337,229003.37,5-JUN-2007,
ARVINDMILL,EQ,45.25,46.15,44.8,45.9,45.65,45.55,1464496,66729684.15,5-JUN-2007,
ASAHIINDIA,EQ,102.3,105.9,102.3,104.9,105,105.75,39113,4101085.2,5-JUN-2007,
ASAL,EQ,103.15,106.4,100.5,102,102,103.7,1340,139827.6,5-JUN-2007,
ASHAPURMIN,EQ,301,304.55,291,304.55,304.55,290.05,82304,24661805.3,5-JUN-2007,
ASHIMASYN,EQ,8,8.05,7.95,8,8,7.85,9012,72091.7,5-JUN-2007,
ASHOKLEY,EQ,38.4,39,37.9,38.2,38.2,38.05,4421456,170072397.7,5-JUN-2007,
ASIANELEC,EQ,650,663.75,630.5,646.15,643.1,638.9,108514,70697671.65,5-JUN-2007,
ASIANHOTEL,EQ,785,785,762,764.8,765,782.7,3074,2376265.15,5-JUN-2007,
ASIANPAINT,EQ,874,874,845,849,848,862.45,18125,15418733.9,5-JUN-2007,
ASIL,EQ,7,7,6.5,6.5,6.5,6.75,1779,11664.55,5-JUN-2007,
ASSAMCO,EQ,16.3,17.05,15.4,17.05,17.05,16.2,1026623,17120060.35,5-JUN-2007,
ASTRAL,EQ,113.5,114.9,111,111.4,111.1,113.65,4357,489032.5,5-JUN-2007,
ASTRAMICRO,EQ,142,150.4,141,142.5,143.1,141.55,237008,34393129.25,5-JUN-2007,
ASTRAZEN,EQ,634,634,615,618.6,615,622.1,838,518689.2,5-JUN-2007,
ATFL,EQ,123.7,126,123,124.4,124,123.3,24795,3092515.4,5-JUN-2007,
ATLANTA,EQ,366.1,374.9,362,364,363.8,365.5,43047,15787932.85,5-JUN-2007,
ATLASCYCLE,EQ,179.9,188,175,177.35,177,172.1,58263,10558906.55,5-JUN-2007,
ATNINTER,EQ,2.05,2.05,2,2.05,2.05,1.95,13161,26577,5-JUN-2007,
ATUL,EQ,87,89,86.2,86.9,86.6,87.75,1530,133311.7,5-JUN-2007,
AURIONPRO,EQ,320,336,320,332.05,336,320,10945,3581529.95,5-JUN-2007,
AUROPHARMA,EQ,729,735.9,722.2,726.2,725.2,720.75,169426,123498418.6,5-JUN-2007,
AUTOAXLES,EQ,535,549.8,535,539.1,537.9,545.3,741,402451.6,5-JUN-2007,
AUTOIND,EQ,225,248.8,215.25,243.1,244.85,226.15,398677,95861856,5-JUN-2007,
