SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,119.25,123.1,118,118.75,119.5,118.7,186801,22423165.85,05-SEP-2012,2810,INE144J01019,
3IINFOTECH,BE,7.75,7.75,7.6,7.7,7.7,7.75,366830,2827057.6,05-SEP-2012,1014,INE748C01020,
3MINDIA,EQ,4005.05,4079,4005.05,4049.9,4049.9,4035,373,1508302.35,05-SEP-2012,19,INE470A01017,
A2ZMES,EQ,59.35,60.7,57.55,57.85,58.3,60.35,672020,39481566.75,05-SEP-2012,10144,INE619I01012,
AANJANEYA,EQ,596,640,596,634.4,638,602.35,112257,70208450.4,05-SEP-2012,3295,INE928K01013,
AARTIDRUGS,EQ,153.05,156.95,148.2,149.15,149.05,152.6,57367,8721009.7,05-SEP-2012,1568,INE767A01016,
AARTIIND,EQ,76.4,76.5,70.75,72.4,72.05,76.05,28144,2057894.35,05-SEP-2012,568,INE769A01020,
AARVEEDEN,EQ,37.8,37.8,37,37,37,37.7,512,19010.55,05-SEP-2012,15,INE273D01019,
ABAN,EQ,420,423.8,411.1,414.75,415,422.3,921879,384692923.7,05-SEP-2012,22851,INE421A01028,
ABB,EQ,715.2,723.05,713,715.8,713,723.05,20421,14674748.9,05-SEP-2012,1246,INE117A01022,
ABBOTINDIA,EQ,1624.8,1624.8,1580.5,1585.6,1588.95,1607.1,1052,1672556.7,05-SEP-2012,160,INE358A01014,
ABCIL,EQ,78.1,80.35,77.5,80.15,79,79.8,1297,103614.85,05-SEP-2012,62,INE605B01016,
ABGSHIP,EQ,340.55,344.95,337.05,343.7,344.65,340.35,14697,5032077.65,05-SEP-2012,586,INE067H01016,
ABHISHEK,EQ,7.25,7.25,7.05,7.25,7.25,7.4,766,5507.15,05-SEP-2012,19,INE004I01017,
ABIRLANUVO,EQ,756.75,759.7,746,752.7,752,760,55229,41588043.1,05-SEP-2012,4123,INE069A01017,
ACC,EQ,1293.15,1305.65,1284.45,1301.55,1299,1302.85,161826,209629648.85,05-SEP-2012,8926,INE012A01025,
ACE,EQ,19,19.15,18.25,18.35,18.3,18.8,29588,551461.85,05-SEP-2012,330,INE731H01025,
ACROPETAL,EQ,15.95,16.6,12.6,15.4,15.4,15.55,567218,8856057.55,05-SEP-2012,2133,INE055L01013,
ADANIENT,EQ,157.15,158.5,152.6,154.4,155,158.15,1844796,286796201.35,05-SEP-2012,21563,INE423A01024,
ADANIPORTS,EQ,115.7,116.9,115,115.6,115,116.6,1031669,119708257.15,05-SEP-2012,4675,INE742F01042,
ADANIPOWER,EQ,41.15,41.9,40.7,41.55,41.55,41.45,1186972,49326604,05-SEP-2012,4318,INE814H01011,
ADFFOODS,EQ,49.3,49.3,47.2,48,48,48.7,3312,158944.15,05-SEP-2012,65,INE982B01019,
ADHUNIK,EQ,27.5,27.75,25.3,25.6,25.65,27.5,263009,6845679.8,05-SEP-2012,1396,INE400H01019,
ADORWELD,EQ,125,125,123.5,124.75,125,124.55,2357,293880.7,05-SEP-2012,83,INE045A01017,
ADSL,EQ,22,22.5,21.25,21.35,21.3,21.8,45181,974178.7,05-SEP-2012,258,INE102I01027,
ADVANIHOTR,EQ,26.4,26.4,24.5,24.5,24.5,25.25,51,1251.4,05-SEP-2012,2,INE199C01026,
