SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,35.95,36.5,35.7,35.75,35.75,35.55,83594,3004382.6,06-JAN-2016,307,INE144J01027,
3IINFOTECH,EQ,5.45,6,5.3,5.5,5.5,5.4,10171516,57154582.25,06-JAN-2016,4372,INE748C01020,
3MINDIA,EQ,10751,10947,10520.2,10644.6,10700,10784.35,872,9333687.15,06-JAN-2016,288,INE470A01017,
8KMILES,EQ,2410.05,2465,2382.5,2439.2,2438,2399.9,70977,172792328.35,06-JAN-2016,5830,INE650K01013,
A2ZINFRA,EQ,27.05,28.9,27,27.35,27.35,27.1,729350,20453931.7,06-JAN-2016,2790,INE619I01012,
AARTIDRUGS,EQ,588.5,592.75,582.55,587.4,586,590.1,9219,5408587.55,06-JAN-2016,567,INE767A01016,
AARTIIND,EQ,523.6,524.05,513.6,516.3,516.2,523.6,26959,14006891.05,06-JAN-2016,852,INE769A01020,
AARVEEDEN,EQ,63.6,67.75,62.5,64.85,65,65.6,12397,816837.5,06-JAN-2016,96,INE273D01019,
ABAN,EQ,231.5,234.7,225.15,225.9,225.55,230.3,1305013,300268759.05,06-JAN-2016,16874,INE421A01028,
ABB,EQ,1090.3,1104.9,1072.55,1077.6,1075.1,1094.55,32663,35508927.2,06-JAN-2016,3742,INE117A01022,
ABBOTINDIA,EQ,5870.05,5899.65,5780,5783.6,5780,5878.1,1183,6890679.55,06-JAN-2016,406,INE358A01014,
ABCIL,EQ,232.45,235.5,230,234.35,233.25,228.95,194125,45192127.6,06-JAN-2016,761,INE605B01016,
ABGSHIP,EQ,73.1,73.8,72,72.35,72.25,72.65,280434,20404766.9,06-JAN-2016,2274,INE067H01016,
ABIRLANUVO,EQ,2298.8,2310,2231.1,2257.95,2268,2293.8,221147,503335887.4,06-JAN-2016,16200,INE069A01017,
ACC,EQ,1348,1348,1317.75,1320.35,1324.3,1341.3,316220,419967105.2,06-JAN-2016,16780,INE012A01025,
ACCELYA,EQ,947,947,916.45,923.1,923,937.5,5520,5138678.2,06-JAN-2016,257,INE793A01012,
ACE,EQ,47.35,49.35,46.75,47.1,47.15,47.3,507537,24434761.6,06-JAN-2016,2554,INE731H01025,
ACROPETAL,EQ,4.25,4.3,4,4.05,4,4.05,124659,511248.75,06-JAN-2016,215,INE055L01013,
ADANIENT,EQ,88,88.95,85.3,86.25,86.2,88.6,3865229,336231702,06-JAN-2016,15971,INE423A01024,
ADANIPORTS,EQ,253,257.3,250.55,251.8,251.2,255.7,2029467,515172957.95,06-JAN-2016,41766,INE742F01042,
