SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
20MICRONS,EQ,78.75,79.8,76.4,79.1,79.5,78.3,71057,5565903.7,06-JUN-2022,1997,INE144J01027,,26278,36.98
21STCENMGM,EQ,22.95,22.95,22.05,22.3,22.3,22.5,4000,88650.35,06-JUN-2022,45,INE253B01015,,3504,87.60
3IINFOLTD,EQ,48.65,49,47.5,48.05,47.9,48.65,207620,9994866.05,06-JUN-2022,3115,INE748C01038,,127625,61.47
3MINDIA,EQ,21000,21190,20620,20811.95,20700,21290.4,3660,76136487.55,06-JUN-2022,1639,INE470A01017,,2059,56.26
3PLAND,BE,13.8,14.45,13.15,14.45,14.45,13.8,3889,54472.6,06-JUN-2022,31,INE105C01023,,-,-
574GS2026,GS,94.99,94.99,94.99,94.99,94.99,95.64,100,9499,06-JUN-2022,1,IN0020210186,,100,100.00
5PAISA,EQ,314,319.9,310.35,314.85,314.9,315.1,9547,3009583.65,06-JUN-2022,620,INE618L01018,,5808,60.84
610GS2031,GS,94.06,94.06,94.06,94.06,94.06,99,30,2821.8,06-JUN-2022,4,IN0020210095,,30,100.00
63MOONS,EQ,167.5,169.85,164,166,167.9,167.55,16932,2805900.55,06-JUN-2022,752,INE111B01023,,8981,53.04
667GS2035,GS,97.8,97.8,97.8,97.8,97.8,97.8,2,195.6,06-JUN-2022,1,IN0020210152,,2,100.00
667GS2050,GS,93.74,93.74,91.82,93.13,92.02,93.94,25893,2382761.55,06-JUN-2022,38,IN0020200252,,25869,99.91
676GS2061,GS,93.74,95,93.69,93.74,93.75,98.62,9544,895307.06,06-JUN-2022,33,IN0020200401,,9044,94.76
699GS2051,GS,98.5,98.5,95.4,95.4,95.4,95.9,7260,694890.7,06-JUN-2022,12,IN0020210194,,7260,100.00
727GS2026,GS,102,102,101,102,102,102,1575,160375,06-JUN-2022,10,IN0020190016,,1575,100.00
754GS2036,GS,99.9,99.9,99.9,99.9,99.9,99.99,55,5494.5,06-JUN-2022,2,IN0020220029,,55,100.00
772GS2025,GS,99.81,99.81,99.81,99.81,99.81,105,100,9981,06-JUN-2022,1,IN0020150036,,100,100.00
772GS2055,GS,114,114,114,114,114,114,684,77976,06-JUN-2022,1,IN0020150077,,684,100.00
824GS2027,GS,104,104,104,104,104,102.95,100,10400,06-JUN-2022,1,IN0020060078,,100,100.00
A2ZINFRA,EQ,11.55,12.2,11.55,11.7,11.7,12.15,321098,3748624.75,06-JUN-2022,711,INE619I01012,,181505,56.53
AAATECH,SM,74,74,74,74,74,73,3000,222000,06-JUN-2022,1,INE0D0U01013,,3000,100.00
AAKASH,EQ,19,19.7,18.7,19.7,19.6,18.8,690349,13497869.05,06-JUN-2022,752,INE087Z01024,,495894,71.83
AAREYDRUGS,EQ,35.65,35.65,34.65,35.2,35.05,35.3,13959,490051.75,06-JUN-2022,258,INE198H01019,,9557,68.46
AARON,EQ,113.05,119,112.35,116.55,117.1,114.5,6024,701698.6,06-JUN-2022,218,INE721Z01010,,2458,40.80
AARTIDRUGS,EQ,429.7,430,422.1,426,427,429.7,30185,12838091.85,06-JUN-2022,2300,INE767A01016,,12118,40.15
