SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20THCENFIN,EQ,40,40.75,38.8,39.5,0.0,38.3,2000,79180,8-JAN-1997,
21STCENMGM,EQ,7.75,8.9,7.5,8.85,0.0,8.25,9200,73400,8-JAN-1997,
AARTIIND,EQ,33.25,33.25,32,32.6,0.0,31.95,1200,39055,8-JAN-1997,
ABANLLOYD,EQ,70.2,72.5,68,68.45,0.0,70,3500,246050,8-JAN-1997,
ABB,EQ,565,565,560,560,0.0,554,1100,619555,8-JAN-1997,
ABBOTTLAB,EQ,209,212,208,208,0.0,209,250,52650,8-JAN-1997,
ABGHEAVY,EQ,28,28,27.3,27.5,0.0,27.2,3400,93585,8-JAN-1997,
ABSIND,EQ,80.1,83,80.1,81.5,0.0,78.25,6250,510945,8-JAN-1997,
ACC,EQ,1305,1324.95,1289.05,1295.6,0.0,1285.95,178310,232974106.75,8-JAN-1997,
ACELAB,EQ,15,15,14.5,14.6,0.0,14.35,6100,89585,8-JAN-1997,
ADANIEXPO,EQ,262.5,262.5,261,261,0.0,255,200,52350,8-JAN-1997,
ADITYASPIN,EQ,3,3,2.85,2.85,0.0,3,2400,7170,8-JAN-1997,
ADVANIORLI,EQ,55,55,53.15,53.3,0.0,52.95,2000,107585,8-JAN-1997,
AEC,EQ,17.3,18,17,17.1,0.0,17.4,2300,39945,8-JAN-1997,
AEGISCHEM,EQ,25.85,26,25.1,25.1,0.0,24.7,850,21970,8-JAN-1997,
AGRIHATCH,EQ,4.75,4.8,4.2,4.5,0.0,4.35,4000,18470,8-JAN-1997,
AHMEDELEC,EQ,67.5,67.5,65.25,66.85,0.0,64.8,1900,126682.5,8-JAN-1997,
AHMEDFORGE,EQ,52,52,51.25,51.25,0.0,49.8,1200,61965,8-JAN-1997,
AIMCOPEST,EQ,17.5,17.5,16.5,16.95,0.0,18.2,1800,30855,8-JAN-1997,
AKAIMPEX,EQ,12,12.25,12,12.25,0.0,11.5,300,3625,8-JAN-1997,
AKARLAMIN,EQ,10.5,12.1,9.85,10.45,0.0,9.35,21100,221645,8-JAN-1997,
AKGACOUST,EQ,11.5,11.5,11.4,11.5,0.0,11.4,17300,198910,8-JAN-1997,
ALBRMORARJ,EQ,249.95,250,249.95,250,0.0,241.15,100,24997.5,8-JAN-1997,
ALFALAVAL,EQ,137,142.25,136,141,0.0,135.6,750,104597.5,8-JAN-1997,
ALFREDHERB,EQ,97,97.75,95,95,0.0,91,200,19337.5,8-JAN-1997,
ALIANCREDT,EQ,13,13,13,13,0.0,12.35,400,5200,8-JAN-1997,
ALKYLAMINE,EQ,52,54,52,54,0.0,49.65,750,39550,8-JAN-1997,
ALMBICHEM,EQ,900,925,900,925,0.0,899,20,18375,8-JAN-1997,
