SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20MICRONS,EQ,28,29.2,25.1,26.5,26.4,30.1,1232192,33090462.1,8-OCT-2008,
3IINFOTECH,EQ,47,51,45.15,46.75,45.7,52.05,332577,15746843.3,8-OCT-2008,
3MINDIA,EQ,1180,1196,992.2,1095.8,1139,1151.4,1272,1343093.4,8-OCT-2008,
AARTIDRUGS,EQ,43,43,40,41.85,42,43.7,4529,187184.95,8-OCT-2008,
AARTIIND,BE,36.5,39.55,35.8,39.55,39,37.65,27661,1023172.95,8-OCT-2008,
ABAN,EQ,1250,1260,1012,1083.4,1126,1310.8,928152,1015747557.3,8-OCT-2008,
ABB,EQ,699,707.9,611,691.95,682.4,708.45,485155,318138813.05,8-OCT-2008,
ABGSHIP,EQ,235,235,202,221,215,233.75,58420,12377678.65,8-OCT-2008,
ABHISHEK,EQ,29.95,29.95,27.05,27.6,28.75,29.9,3505,97383.95,8-OCT-2008,
ABIRLANUVO,EQ,760,799.95,695.15,785.65,780,790.1,93968,68992003.6,8-OCT-2008,
ABSHEKINDS,EQ,10.5,10.85,9.8,10.35,10.5,10.5,88778,905302.75,8-OCT-2008,
ACC,EQ,570,584.95,545,571.85,568,591.1,267298,151776284.75,8-OCT-2008,
ACE,EQ,33,41,30.05,35,37,34.15,52407,1707572.7,8-OCT-2008,
ADANIENT,EQ,400,400,335.25,345.55,345.1,404.85,106479,37400338,8-OCT-2008,
ADHUNIK,EQ,55.5,57.9,51.5,56.65,57.4,60.1,145549,7955941.85,8-OCT-2008,
ADLABSFILM,EQ,269,269,232.6,252.1,255,279.35,1063191,265955544.25,8-OCT-2008,
ADORWELD,EQ,97.5,98.75,90,96.35,97.5,97.85,4588,431004,8-OCT-2008,
ADSL,EQ,512.1,552,495.1,527.8,540,566.15,6547,3385993.1,8-OCT-2008,
ADVANIHOTR,EQ,40.85,44,40.85,43.25,43.25,45.2,1010,42911.25,8-OCT-2008,
ADVANTA,EQ,529.2,628.95,529.2,589.9,590,618.95,454,271416.15,8-OCT-2008,
AEGISCHEM,EQ,95,95,86.15,88.9,87.5,94.85,6766,608963.9,8-OCT-2008,
AFL,EQ,67.8,69.85,61,63,65.95,66.05,824,52287.45,8-OCT-2008,
AFTEK,EQ,25.1,25.2,21.6,23.65,23.25,26.95,465652,10886859,8-OCT-2008,
AGRODUTCH,EQ,15,15,12.1,14.25,14.25,15.1,98581,1304970.4,8-OCT-2008,
AHMEDFORGE,EQ,75.55,76.05,67.1,73.15,70.9,75.5,42669,3090313.9,8-OCT-2008,
AIAENG,EQ,1125,1179,950,1097.65,1055.05,1138.9,4124,4336018.85,8-OCT-2008,
AICHAMP,BE,19.45,20.65,19.45,19.45,19.45,20.45,326,6400.75,8-OCT-2008,
AJANTPHARM,EQ,59,59,56,58.15,59,61.95,7455,432550.9,8-OCT-2008,
AKRUTI,EQ,710,724.7,635,692.05,684.25,748.15,229578,155040262.85,8-OCT-2008,
AKSHOPTFBR,EQ,22.05,23.9,20.3,22.95,23,24,9277,207280.5,8-OCT-2008,
ALBK,EQ,60.5,61,57.7,59.65,59,61.75,662678,39347080.9,8-OCT-2008,
ALCHEM,EQ,75,81,72,78,81,81.8,336989,25657348.2,8-OCT-2008,
ALEMBICLTD,EQ,37.5,37.5,31,34.15,35,36.9,68836,2288544.55,8-OCT-2008,
ALFALAVAL,EQ,681,697,665.25,680,680,712.7,352,237469.3,8-OCT-2008,
ALKYLAMINE,EQ,95.35,95.4,95.35,95.4,95.4,89.95,2000,190790,8-OCT-2008,
ALLCARGO,EQ,725,769,681.05,765.85,750,753.75,3799,2841932.45,8-OCT-2008,
ALLSEC,EQ,28.5,29.95,28,29.15,29,29.8,10677,309225.05,8-OCT-2008,
ALMONDZ,EQ,13,14.75,12.05,12.55,12.7,13.6,733,9350.4,8-OCT-2008,
ALOKTEXT,EQ,25.9,25.9,24,25.05,25,26.45,389122,9637682.45,8-OCT-2008,
ALPA,EQ,14.35,14.9,12.65,13.75,13.9,15.1,24277,334425.7,8-OCT-2008,
ALPHAGEO,EQ,191.3,211,180.75,184.75,184,225.9,11558,2145711.9,8-OCT-2008,
ALPSINDUS,EQ,16.9,16.9,14.05,15.55,15.3,17.55,50128,771652.9,8-OCT-2008,
AMAR,EQ,20.2,22.7,16.55,20.85,22.1,19.9,70866,1333175,8-OCT-2008,
AMARAJABAT,EQ,92.2,96,81.2,89.95,90,94.95,64530,5771688.6,8-OCT-2008,
AMBICAAGAR,EQ,9.7,10,9.4,9.95,9.95,10.3,10073,98315.1,8-OCT-2008,
AMBIKCO,EQ,70,79.9,62,74.6,70.5,73.35,1759,129363.2,8-OCT-2008,
AMBUJACEM,EQ,73.95,74,68,72.65,73.6,74.55,1414311,101165784.95,8-OCT-2008,
AMDIND,EQ,12.5,12.55,11.3,11.8,11.6,12.95,13072,154100.8,8-OCT-2008,
AMTEKAUTO,EQ,150.1,152,132.6,142.05,136.15,156.55,412862,58927594.75,8-OCT-2008,
AMTEKINDIA,EQ,61.5,63.95,58,61.85,62.5,64.6,76783,4624242,8-OCT-2008,
ANANTRAJ,EQ,95,99.1,93.5,94.5,94.05,104.6,12360,1167458,8-OCT-2008,
ANDHRABANK,EQ,53.4,53.5,51.05,52.95,53.2,54.1,1048978,54737612.85,8-OCT-2008,
ANDHRSUGAR,EQ,67.5,74,67,68.75,70,74.85,53070,3666562.55,8-OCT-2008,
ANGAUTO,EQ,40,49,39.8,43.4,42.05,46.55,17432,737290.6,8-OCT-2008,
ANIKINDS,EQ,30.5,32.5,30.5,32.5,32.5,33,1250,39963.8,8-OCT-2008,
ANKURDRUGS,EQ,145,145,129,131.4,129,148,12591,1669381.35,8-OCT-2008,
ANSALHSG,EQ,69.55,69.55,59.3,62.2,63,69,9046,572179.15,8-OCT-2008,
ANSALINFRA,EQ,70.25,73.65,64.3,71.85,71.95,74.7,261972,18410595.55,8-OCT-2008,
ANTGRAPHIC,EQ,0.4,0.4,0.35,0.35,0.35,0.4,109092,41147.6,8-OCT-2008,
APARINDS,EQ,130,130,107.05,120.55,124,130,2272,269444.15,8-OCT-2008,
APCOTEXIND,EQ,33.9,35.1,33.9,35.1,35.1,37.25,3,103.65,8-OCT-2008,
APIL,EQ,312.05,320,288,305.65,302.2,334.5,87122,26376025.55,8-OCT-2008,
APOLLOHOSP,EQ,407.1,415,358.1,396.15,401,418.85,13108,5125056.35,8-OCT-2008,
APOLLOSIND,EQ,53.35,53.95,52.5,53.2,53.2,54,62960,3348303.65,8-OCT-2008,
APOLLOTYRE,EQ,34.2,35.9,33.3,34,34.5,35.6,759115,25976581.55,8-OCT-2008,
APPAPER,EQ,62.05,68,56,56.7,56.7,62.3,1573,92567.5,8-OCT-2008,
APTECHT,EQ,98,104,82.25,100.95,103.4,99.65,2257344,209016508.4,8-OCT-2008,
ARCHIDPLY,EQ,30.25,33.85,30.25,31.7,32,33.7,36088,1147984.35,8-OCT-2008,
ARCHIES,EQ,75.5,75.5,71.65,73.95,75.5,79.25,9778,719697.95,8-OCT-2008,
AREVAT&D,EQ,1178.5,1209.9,1000,1176.55,1185,1215.05,49391,53482513.8,8-OCT-2008,
ARIES,EQ,65.5,67.8,58,60.1,60,69.5,16016,956788.8,8-OCT-2008,
ARIHANT,EQ,71,71,65,71,71,72.7,1465,101015,8-OCT-2008,
ARL,EQ,1.5,1.55,1.35,1.45,1.45,1.55,792940,1112885.1,8-OCT-2008,
AROGRANITE,EQ,42,52,38.35,51.55,51.5,45.9,3338,148236.75,8-OCT-2008,
ARROWGROUP,BE,25.15,25.15,25.15,25.15,25.15,26.45,1505,37850.75,8-OCT-2008,
ARSBONDS,N1,98,98,97.99,98,98,98,30500,2988995,8-OCT-2008,
ARVIND,EQ,20.2,20.2,18.25,19.6,19.5,20.9,1008895,19652981.9,8-OCT-2008,
ASAHIINDIA,EQ,45.2,45.3,40.3,44.1,43.5,46.65,13239,566250.95,8-OCT-2008,
ASAL,EQ,32,37.9,31.45,36.5,31.45,33.15,231,8398.15,8-OCT-2008,
ASHAPURMIN,EQ,65,65.7,60.35,61.2,61.85,68.95,96603,5960186.25,8-OCT-2008,
ASHCO,EQ,8.35,8.35,8.35,8.35,8.35,8.75,310,2588.5,8-OCT-2008,
ASHIMASYN,EQ,4,4.15,3.8,4.15,4.1,4.1,3086,12649.15,8-OCT-2008,
ASHOKLEY,EQ,26.55,26.55,24,24.2,24.25,26.55,2037680,49849889.15,8-OCT-2008,
ASIANELEC,EQ,39,39,35.05,37.75,38,40.7,299800,11227312.75,8-OCT-2008,
ASIANHOTEL,EQ,275,332,266.7,306.9,308,322.05,1325,393477.8,8-OCT-2008,
ASIANPAINT,EQ,1045,1045,956,1007.4,1010,1051.15,31749,31902177.9,8-OCT-2008,
ASIANTILES,EQ,32.75,35.35,30.1,32.2,32.2,34.45,4075,135439.5,8-OCT-2008,
ASIL,EQ,2.65,2.85,2.65,2.85,2.85,2.9,150,407.5,8-OCT-2008,
ASSAMCO,EQ,14,14.9,13.3,14.6,14.9,14.5,267883,3758051.9,8-OCT-2008,
ASTRAL,EQ,93.5,139,93.5,119.95,119.95,116.7,639,71514.35,8-OCT-2008,
ASTRAMICRO,EQ,37,40,35.15,39.25,39.2,39.7,200895,7434319.85,8-OCT-2008,
ASTRAZEN,EQ,485,528.9,480,510.6,528.9,525.3,194,95569.85,8-OCT-2008,
ATFL,EQ,96,96,87,92.4,94,96.05,3732,333895.1,8-OCT-2008,
ATLANTA,EQ,112,112,94.45,100.5,100.4,117.25,54792,5533033.05,8-OCT-2008,
ATLASCYCLE,EQ,93.7,94,84.1,86,86,95,27,2369.3,8-OCT-2008,
ATNINTER,EQ,1.4,1.4,1.15,1.2,1.2,1.4,76734,89484.4,8-OCT-2008,
ATUL,EQ,48,48,42.6,47.3,47.3,49,26873,1230084.6,8-OCT-2008,
AURIONPRO,EQ,207,207,175,197.45,175,207,696,141242.15,8-OCT-2008,
AUROPHARMA,EQ,269,269,188,211.25,207.8,270.75,360500,75931177.75,8-OCT-2008,
AUSTRAL,EQ,192,199,175,189.3,182.15,195.45,1115929,205664135.2,8-OCT-2008,
AUTOAXLES,EQ,205,210,200,204,204,220.1,754,153419.9,8-OCT-2008,
AUTOIND,EQ,122.75,122.8,103,106.05,105,114.4,124258,12851776.2,8-OCT-2008,
AVAYAGCL,EQ,84,87,75.6,86.25,87,86.8,7784,639997.95,8-OCT-2008,
AVENTIS,EQ,760,798,715,778.15,790,798.5,2211,1677912.55,8-OCT-2008,
AVTNPL,EQ,70,85.5,62.5,69,69,73.5,666,45919.55,8-OCT-2008,
AXIS-IT&T,BE,22.5,22.5,22.1,22.1,22.1,23.25,2803,62346.3,8-OCT-2008,
AXISBANK,EQ,668,668,571.45,647.75,649.6,682.9,4167456,2584538520.25,8-OCT-2008,
AZTECSOFT,EQ,42.55,44,41.05,42.15,42.1,46.35,15720,662692.9,8-OCT-2008,
BAGFILMS,EQ,16,16.4,13.65,15.5,15.25,15.9,187377,2780499,8-OCT-2008,
BAJAJ-AUTO,EQ,555,571.95,496,544.15,535.55,582.65,86133,46323149.35,8-OCT-2008,
BAJAJELEC,EQ,370.1,375.5,362,363.1,363,370,27857,10257531.1,8-OCT-2008,
BAJAJFINSV,EQ,292,295,236,244.3,243,292.35,20067,4947992.6,8-OCT-2008,
BAJAJHIND,EQ,83.8,83.8,70.1,76.8,77.65,84.35,2185720,165445774.8,8-OCT-2008,
BAJAJHLDNG,EQ,411.8,411.8,340,350.55,350.3,420.7,154687,54612922.65,8-OCT-2008,
BAJAUTOFIN,EQ,93.15,93.15,75.8,75.95,75.8,94.75,36362,2852356.75,8-OCT-2008,
BALAJITELE,EQ,120,128.3,111,124.95,126,126.2,94628,11669268.55,8-OCT-2008,
BALAMINES,EQ,90,90,88,90,90,92,744,66120,8-OCT-2008,
BALKRISIND,EQ,309,309.8,270.65,276.7,272,310,220,64597,8-OCT-2008,
BALLARPUR,EQ,24.25,24.65,20.9,22.7,22.5,24.75,2863787,63070399.05,8-OCT-2008,
BALMLAWRIE,EQ,286.55,289.8,260.2,281.05,280.05,296.75,4542,1243537.2,8-OCT-2008,
BALPHARMA,EQ,19,20.15,17.5,17.85,18.4,20.2,2895,53932.15,8-OCT-2008,
BALRAMCHIN,EQ,64,64.7,54,62.3,63.5,66.5,3373231,202025175.45,8-OCT-2008,
BANARISUG,EQ,561,627,550,589.35,570,621.55,715,413168.85,8-OCT-2008,
BANCOINDIA,EQ,28.4,29,22.9,26.95,27,28.2,21631,572494,8-OCT-2008,
BANG,BE,265,265,255,265,265,266.75,334,86851.25,8-OCT-2008,
BANKBARODA,EQ,287.8,287.8,265.9,282.3,286.95,289.55,1029138,284510658.75,8-OCT-2008,
