SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,76.95,77.7,76.25,77.35,77.1,76.95,38410,2961624.45,09-FEB-2023,1157,INE144J01027,
21STCENMGM,EQ,20.6,20.95,20.3,20.75,20.95,20.6,2749,56746.25,09-FEB-2023,65,INE253B01015,
360ONE,EQ,1841,1851,1820.1,1824.65,1832,1838.35,21985,40309941.55,09-FEB-2023,2928,INE466L01020,
364D121023,TB,94.5,94.5,94.5,94.5,94.5,94.5,2000,189000,09-FEB-2023,2,IN002022Z283,
364D220623,TB,97,97,97,97,97,96.35,1000,97000,09-FEB-2023,1,IN002022Z127,
364D290623,TB,97,97,97,97,97,95.3,1000,97000,09-FEB-2023,1,IN002022Z135,
3IINFOLTD,EQ,37.2,37.3,36.55,36.95,36.8,37.15,240641,8885437.15,09-FEB-2023,2074,INE748C01038,
3MINDIA,EQ,23250,23994.95,23250,23528.35,23453.05,23117.8,18960,449434167.85,09-FEB-2023,3262,INE470A01017,
3PLAND,EQ,18.5,19.15,18.1,19.15,19.15,18.25,33392,626939.25,09-FEB-2023,336,INE105C01023,
448GS2023,GS,97.85,97.85,97.85,97.85,97.85,97.85,5000,489250,09-FEB-2023,1,IN0020200211,
4THDIM,BE,30.25,30.4,30,30.35,30.4,29.9,253616,7678906.3,09-FEB-2023,523,INE382T01030,
574GS2026,GS,96.75,96.75,96.65,96.65,96.65,95.15,210,20316.5,09-FEB-2023,2,IN0020210186,
5PAISA,EQ,305.05,306,294.1,295.55,294.1,302,11540,3449305.5,09-FEB-2023,634,INE618L01018,
63MOONS,EQ,194.05,202,190.2,192.85,192,194.65,551841,107989586.05,09-FEB-2023,11290,INE111B01023,
647MH28,SG,97.95,97.95,97.95,97.95,97.95,100,50000,4897500,09-FEB-2023,3,IN2220200272,
654GS2032,GS,95.83,95.83,95.83,95.83,95.83,95.82,6000,574980,09-FEB-2023,2,IN0020210244,
667GS2050,GS,96,96,91.7,92,92,96.1,53770,4954587.22,09-FEB-2023,142,IN0020200252,
669GS2024,GS,100,100,100,100,100,100.05,200,20000,09-FEB-2023,1,IN0020220052,
676GS2061,GS,96,96,93.1,94,94,96,9060,848586.3,09-FEB-2023,9,IN0020200401,
679GS2027,GS,100.76,100.76,100.76,100.76,100.76,96.25,50000,5038000,09-FEB-2023,2,IN0020170026,
68GS2060,GS,98,98,93.29,93.29,93.29,98.2,1712,159819.88,09-FEB-2023,7,IN0020200187,
699GS2051,GS,96.2,96.99,96,96.11,96.11,96.47,3851,370258.79,09-FEB-2023,8,IN0020210194,
710GS2029,GS,101,101,101,101,101,101.4,6500,656500,09-FEB-2023,2,IN0020220011,
716GS2050,GS,105.8,105.8,105.8,105.8,105.8,101,1,105.8,09-FEB-2023,1,IN0020200054,
719GS2060,GS,100.32,105,100.27,105,105,105.55,1316,131963.88,09-FEB-2023,5,IN0020200039,
726GS2033,GS,100.94,100.94,100.5,100.5,100.5,100.94,303,30451.94,09-FEB-2023,3,IN0020220151,
732GS2024,GS,106,106,106,106,106,101.35,1,106,09-FEB-2023,1,IN0020180488,
736GS2052,GS,102.53,102.53,102.53,102.53,102.53,102.55,5000,512650,09-FEB-2023,1,IN0020220086,
738GS2027,GS,101.75,102,101.75,102,102,101.9,38307,3905294.5,09-FEB-2023,41,IN0020220037,
741GS2036,GS,101.6,101.6,100,101.4,101.4,101.65,2275,230388,09-FEB-2023,4,IN0020220102,
74GS2062,GS,102.35,102.35,102.31,102.31,102.31,102.2,102,10436.82,09-FEB-2023,2,IN0020220094,
754GS2036,GS,103,103.29,103,103.23,103.24,103.14,215111,22179146.82,09-FEB-2023,99,IN0020220029,
768GS2023,GS,102.25,102.25,102.25,102.25,102.25,102,6900,705525,09-FEB-2023,2,IN0020150010,
828GS2032,GS,111,111,111,111,111,111,700,77700,09-FEB-2023,4,IN0020060086,
91D090323,TB,99.7,99.7,99.22,99.7,99.7,99.25,300,29862,09-FEB-2023,3,IN002022X361,
91D130423,TB,99,99,99,99,99,98.54,100,9900,09-FEB-2023,1,IN002022X411,
91D230223,TB,99,99,99,99,99,99.7,100,9900,09-FEB-2023,1,IN002022X346,
91D230323,TB,98.81,98.81,98.81,98.81,98.81,98.88,300,29643,09-FEB-2023,1,IN002022X387,
91D280423,TB,98.5,98.5,98.5,98.5,98.5,98.5,100,9850,09-FEB-2023,1,IN002022X437,
91D300323,TB,98.8,98.8,98.8,98.8,98.8,98.9,100,9880,09-FEB-2023,1,IN002022X395,
92GS2030,GS,115,115,115,115,115,115,30,3450,09-FEB-2023,1,IN0020130053,
A2ZINFRA,EQ,8.4,8.4,7.85,8.2,8.25,8.15,182875,1496512.4,09-FEB-2023,401,INE619I01012,
AAATECH,EQ,63.9,73.05,62,64.15,63.65,62.75,147424,9967930.65,09-FEB-2023,2503,INE0D0U01013,
AAKASH,EQ,6.55,6.6,6.35,6.45,6.45,6.4,190718,1227709.45,09-FEB-2023,511,INE087Z01024,
AAREYDRUGS,EQ,35.35,35.35,33.45,33.75,33.65,34.85,38982,1321456.05,09-FEB-2023,634,INE198H01019,
AARON,EQ,180,180.95,175.5,178.8,179.25,180.25,6195,1107151.15,09-FEB-2023,299,INE721Z01010,
AARTIDRUGS,EQ,395.9,398.45,380,380.85,380.85,394.3,199544,76732864.2,09-FEB-2023,10361,INE767A01016,
AARTIIND,EQ,550,556.45,538.35,540.55,539,547.8,985861,536250907.05,09-FEB-2023,26239,INE769A01020,
AARTIPHARM,BE,315.35,315.35,315.35,315.35,315.35,300.35,724706,228536037.1,09-FEB-2023,1215,INE0LRU01027,
AARTISURF,EQ,529.25,540.05,515,517.6,515,525.35,14754,7698132.45,09-FEB-2023,2330,INE09EO01013,
AARTISURF,P1,122.8,122.8,122.8,122.8,122.8,122.8,5,614,09-FEB-2023,1,INE09EO04017,
AARVEEDEN,EQ,24.8,25.4,24.2,24.4,24.55,24.75,13282,325531.25,09-FEB-2023,207,INE273D01019,
AARVI,EQ,166.85,166.85,159,162.25,162,161.9,6816,1100953.1,09-FEB-2023,266,INE754X01016,
AAVAS,EQ,1990.05,2019.85,1975.05,1995.45,1996,1990.65,49487,98882492.65,09-FEB-2023,5544,INE216P01012,
ABAN,EQ,42.95,43.25,42.2,42.55,42.4,42.95,81787,3480704.75,09-FEB-2023,1469,INE421A01028,
ABB,EQ,3083,3140,3068.8,3128.05,3130.2,3079.45,262690,818699704.75,09-FEB-2023,25891,INE117A01022,
ABBOTINDIA,EQ,21084.8,21593.85,20800,20846.2,20845,21278.25,12723,269225496.55,09-FEB-2023,5159,INE358A01014,
ABCAPITAL,EQ,149,149,145.4,147.1,147.5,148.4,1788578,262732567.9,09-FEB-2023,13791,INE674K01013,
ABFRL,EQ,250,257.05,247.15,256.3,256.4,250.45,3034157,765434501.1,09-FEB-2023,35253,INE647O01011,
ABINFRA,SM,13.8,13.8,13.8,13.8,13.8,12.55,4000,55200,09-FEB-2023,1,INE00YB01017,
ABMINTLLTD,BE,51,51,49,49.1,49.1,51,114,5741.65,09-FEB-2023,11,INE251C01025,
ABSLAMC,EQ,405.9,407.5,404,404.95,405,404.95,42976,17412720.95,09-FEB-2023,1774,INE404A01024,
ABSLBANETF,EQ,40.25,42.5,40.25,41.53,41.54,41.47,4266,176724.15,09-FEB-2023,189,INF209KB17D5,
