SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
182D260123,TB,96.95,96.95,96.95,96.95,96.95,96.95,200,19390,09-NOV-2022,2,IN002022Y179,,,
20MICRONS,EQ,93.1,95.65,92.45,94.25,94.6,92.45,163693,15448988.05,09-NOV-2022,3514,INE144J01027,,94524,57.74
21STCENMGM,EQ,22.85,23.25,22.7,23.15,23.15,22.85,4899,112616,09-NOV-2022,81,INE253B01015,,4765,97.26
364D030823,TB,94,94.01,94,94.01,94.01,94,400,37601,09-NOV-2022,3,IN002022Z184,,,
364D200723,TB,90,90,90,90,90,94.35,5000,450000,09-NOV-2022,1,IN002022Z168,,,
3IINFOLTD,EQ,43.1,44.4,42.1,42.6,42.75,43.7,916527,39214643.8,09-NOV-2022,4876,INE748C01038,,591064,64.49
3MINDIA,EQ,22840,24163.8,22301,23483.95,23480,22400.7,27624,649503515.95,09-NOV-2022,9838,INE470A01017,,7684,27.82
3PLAND,EQ,17.5,18.45,17.4,17.8,17.7,17.5,5605,100581.15,09-NOV-2022,145,INE105C01023,,4418,78.82
426GS2023,GS,100,100,100,100,100,100,50,5000,09-NOV-2022,2,IN0020210046,,50,100.00
4THDIM,EQ,88.4,88.4,88.4,88.4,88.4,86.7,456,40310.4,09-NOV-2022,11,INE382T01022,,456,100.00
563GS2026,GS,99.5,99.5,99.5,99.5,99.5,95.4,2,199,09-NOV-2022,1,IN0020210012,,2,100.00
5PAISA,EQ,326.75,328.95,320.6,321.8,322,326.75,20494,6670136.6,09-NOV-2022,1131,INE618L01018,,12770,62.31
610GS2031,GS,90.55,90.55,90.54,90.54,90.54,94,100,9054.01,09-NOV-2022,2,IN0020210095,,100,100.00
63MOONS,EQ,159,163.8,155.05,158.15,158,158.3,74711,11931402.9,09-NOV-2022,2131,INE111B01023,,35675,47.75
664GS2035,GS,90.09,99.52,90.09,99.52,99.52,94.79,201,18117.52,09-NOV-2022,2,IN0020210020,,201,100.00
667GS2035,GS,97.99,97.99,97.99,97.99,97.99,96,3,293.97,09-NOV-2022,2,IN0020210152,,3,100.00
667GS2050,GS,92.01,94.5,92,94.5,94.5,95,560,51645.01,09-NOV-2022,5,IN0020200252,,550,98.21
676GS2061,GS,96.15,96.15,92,96.15,96.15,96.2,102,9392.4,09-NOV-2022,4,IN0020200401,,102,100.00
695GS2061,GS,96.75,96.75,96.5,96.5,96.5,92.19,2814,271554.5,09-NOV-2022,4,IN0020210202,,2814,100.00
699GS2051,GS,97.5,97.7,95.15,95.15,95.15,97.5,2557,244613.8,09-NOV-2022,6,IN0020210194,,2557,100.00
710GS2029,GS,100,100.2,100,100.2,100.2,100.2,9720,972002.4,09-NOV-2022,11,IN0020220011,,9720,100.00
716GS2050,GS,103.5,103.5,103.5,103.5,103.5,100.1,1,103.5,09-NOV-2022,1,IN0020200054,,1,100.00
726GS2029,GS,103,103,103,103,103,103,100,10300,09-NOV-2022,1,IN0020180454,,100,100.00
726GS2032,GS,100,100.75,100,100.37,100,99.3,1602,160538.25,09-NOV-2022,4,IN0020220060,,1451,90.57
727GS2026,GS,98.87,101.3,98.87,101.3,101.3,98.87,2046,207193.87,09-NOV-2022,8,IN0020190016,,2046,100.00
736GS2052,GS,99.01,100.15,99.01,100,100,99.7,23750,2376240.6,09-NOV-2022,13,IN0020220086,,22750,95.79
738GS2027,GS,105,105,103.5,105,105,105,1418,147355,09-NOV-2022,6,IN0020220037,,1418,100.00
74GS2062,GS,100.5,100.5,100.5,100.5,100.5,99.75,40,4020,09-NOV-2022,1,IN0020220094,,40,100.00
754GS2036,GS,105,105,104.21,104.21,104.21,104.45,63855,6675979.55,09-NOV-2022,58,IN0020220029,,63855,100.00
91D081222,TB,99,99,99,99,99,98.78,1900,188100,09-NOV-2022,1,IN002022X239,,,
91D171122,TB,99.31,99.31,99.31,99.31,99.31,99.25,100,9931,09-NOV-2022,1,IN002022X205,,,
92GS2030,GS,115,115,115,115,115,115,5963,685745,09-NOV-2022,4,IN0020130053,,5963,100.00
A2ZINFRA,EQ,11.2,12.8,11,11.7,11.85,11.2,976928,11575218.6,09-NOV-2022,1495,INE619I01012,,559552,57.28
