SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 09-Apr-2025"," 106.35"," 105.05"," 106.35"," 105.05"," 106.35"," 106.35"," 106.18"," 1039"," 1.10"," 8"," 1039"," 100.00"
20MICRONS," EQ"," 09-Apr-2025"," 191.13"," 190.90"," 192.09"," 185.11"," 189.35"," 190.32"," 188.50"," 45504"," 85.77"," 2831"," 17357"," 38.14"
21STCENMGM," EQ"," 09-Apr-2025"," 70.23"," 69.00"," 71.63"," 69.00"," 71.55"," 71.40"," 70.91"," 1802"," 1.28"," 59"," 1504"," 83.46"
360ONE," EQ"," 09-Apr-2025"," 847.70"," 848.05"," 852.75"," 804.30"," 810.95"," 808.55"," 819.44"," 554023"," 4539.88"," 35602"," 326413"," 58.92"
3IINFOLTD," EQ"," 09-Apr-2025"," 21.45"," 21.25"," 21.60"," 20.96"," 21.60"," 21.42"," 21.24"," 220986"," 46.93"," 1228"," 88423"," 40.01"
3MINDIA," EQ"," 09-Apr-2025"," 28251.15"," 27902.00"," 28156.80"," 27829.15"," 28156.80"," 28028.10"," 27962.21"," 1022"," 285.77"," 757"," 380"," 37.18"
3PLAND," EQ"," 09-Apr-2025"," 39.49"," 42.99"," 42.99"," 37.40"," 40.00"," 40.52"," 40.58"," 5914"," 2.40"," 104"," 3458"," 58.47"
515GS2025," GS"," 09-Apr-2025"," 100.27"," 102.75"," 102.75"," 100.21"," 100.21"," 100.25"," 101.38"," 20"," 0.02"," 4"," 9"," 45.00"
563GS2026," GS"," 09-Apr-2025"," 101.98"," 101.00"," 101.99"," 101.00"," 101.99"," 101.99"," 101.09"," 116"," 0.12"," 4"," 116"," 100.00"
574GS2026," GS"," 09-Apr-2025"," 100.25"," 101.65"," 101.65"," 101.50"," 101.50"," 101.50"," 101.50"," 1006"," 1.02"," 3"," 1006"," 100.00"
5PAISA," EQ"," 09-Apr-2025"," 362.30"," 360.00"," 372.80"," 354.00"," 365.00"," 365.50"," 361.04"," 18818"," 67.94"," 2781"," 6571"," 34.92"
63MOONS," EQ"," 09-Apr-2025"," 728.40"," 720.00"," 726.25"," 692.00"," 692.00"," 692.00"," 695.71"," 179804"," 1250.91"," 3469"," 107755"," 59.93"
664GS2027," GS"," 09-Apr-2025"," 102.50"," 102.50"," 102.50"," 102.50"," 102.50"," 102.50"," 102.50"," 100"," 0.10"," 2"," 100"," 100.00"
664GS2035," GS"," 09-Apr-2025"," 102.75"," 102.75"," 102.75"," 102.75"," 102.75"," 102.75"," 102.75"," 5"," 0.01"," 2"," 5"," 100.00"
667GS2050," GS"," 09-Apr-2025"," 98.85"," 98.80"," 99.84"," 98.80"," 98.85"," 98.85"," 98.83"," 1242"," 1.23"," 7"," 711"," 57.25"
676GS2061," GS"," 09-Apr-2025"," 97.20"," 99.65"," 99.65"," 98.25"," 98.25"," 98.25"," 98.26"," 25250"," 24.81"," 2"," 25250"," 100.00"
679GS2034," GS"," 09-Apr-2025"," 101.00"," 101.00"," 102.85"," 100.20"," 102.85"," 102.85"," 100.91"," 282"," 0.28"," 8"," 200"," 70.92"
692GS2039," GS"," 09-Apr-2025"," 106.15"," 106.30"," 106.70"," 106.30"," 106.70"," 106.65"," 106.54"," 7700"," 8.20"," 4"," 7700"," 100.00"
695GS2061," GS"," 09-Apr-2025"," 101.50"," 101.50"," 102.99"," 101.50"," 102.44"," 102.44"," 101.78"," 1631"," 1.66"," 8"," 1629"," 99.88"
697GR2034," GS"," 09-Apr-2025"," 100.00"," 100.00"," 100.00"," 100.00"," 100.00"," 100.00"," 100.00"," 200"," 0.20"," 2"," 200"," 100.00"
699GS2026," GS"," 09-Apr-2025"," 103.58"," 103.75"," 104.50"," 103.75"," 103.75"," 103.75"," 103.95"," 1583"," 1.65"," 6"," 1563"," 98.74"
699GS2051," GS"," 09-Apr-2025"," 103.00"," 102.50"," 102.90"," 102.50"," 102.55"," 102.55"," 102.55"," 1387"," 1.42"," 9"," 1003"," 72.31"
704GS2029," GS"," 09-Apr-2025"," 105.10"," 103.90"," 103.93"," 103.90"," 103.93"," 103.93"," 103.90"," 4100"," 4.26"," 2"," 4100"," 100.00"
706GS2028," GS"," 09-Apr-2025"," 103.95"," 101.98"," 101.98"," 101.61"," 101.90"," 101.90"," 101.83"," 20441"," 20.81"," 15"," 20341"," 99.51"
706GS2046," GS"," 09-Apr-2025"," 101.90"," 103.95"," 103.95"," 103.95"," 103.95"," 103.95"," 103.95"," 7"," 0.01"," 1"," 7"," 100.00"
709GS2054," GS"," 09-Apr-2025"," 104.28"," 104.00"," 104.30"," 104.00"," 104.28"," 104.28"," 104.30"," 11440"," 11.93"," 5"," 11440"," 100.00"
710GS2029," GS"," 09-Apr-2025"," 105.36"," 105.05"," 105.13"," 105.00"," 105.12"," 105.12"," 105.10"," 4456"," 4.68"," 6"," 4456"," 100.00"
717GS2030," GS"," 09-Apr-2025"," 105.80"," 105.80"," 106.30"," 105.80"," 106.30"," 106.30"," 105.82"," 3211"," 3.40"," 3"," 3211"," 100.00"
718GS2033," GS"," 09-Apr-2025"," 104.25"," 104.05"," 104.05"," 104.05"," 104.05"," 104.05"," 104.05"," 100"," 0.10"," 1"," 100"," 100.00"
718GS2037," GS"," 09-Apr-2025"," 105.99"," 106.80"," 107.00"," 105.37"," 107.00"," 107.00"," 106.56"," 21250"," 22.64"," 13"," 20390"," 95.95"
725GS2063," GS"," 09-Apr-2025"," 106.77"," 106.99"," 107.39"," 106.37"," 107.39"," 107.23"," 107.18"," 14380"," 15.41"," 17"," 14380"," 100.00"
726GS2032," GS"," 09-Apr-2025"," 105.70"," 105.29"," 105.70"," 105.29"," 105.50"," 105.50"," 105.59"," 15311"," 16.17"," 16"," 15311"," 100.00"
732GS2030," GS"," 09-Apr-2025"," 106.50"," 106.50"," 106.50"," 106.25"," 106.25"," 106.28"," 106.29"," 1300"," 1.38"," 3"," 1300"," 100.00"
733GS2026," GS"," 09-Apr-2025"," 104.00"," 104.16"," 104.90"," 104.16"," 104.90"," 104.90"," 104.17"," 505"," 0.53"," 3"," 500"," 99.01"
734GS2064," GS"," 09-Apr-2025"," 107.75"," 108.89"," 108.90"," 108.52"," 108.52"," 108.52"," 108.89"," 8785"," 9.57"," 3"," 8785"," 100.00"
736GS2052," GS"," 09-Apr-2025"," 105.00"," 106.85"," 108.49"," 106.85"," 108.48"," 108.48"," 108.10"," 10213"," 11.04"," 8"," 10213"," 100.00"
737GS2028," GS"," 09-Apr-2025"," 105.70"," 105.70"," 105.70"," 105.70"," 105.70"," 105.70"," 105.70"," 200"," 0.21"," 2"," 200"," 100.00"
738GS2027," GS"," 09-Apr-2025"," 104.36"," 104.25"," 104.85"," 104.25"," 104.65"," 104.62"," 104.57"," 179386"," 187.58"," 27"," 174331"," 97.18"
73GS2053," GS"," 09-Apr-2025"," 106.20"," 107.10"," 107.69"," 107.10"," 107.69"," 107.69"," 107.62"," 6056"," 6.52"," 8"," 6056"," 100.00"
