SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20THCENFIN,EQ,10.5,11,10.5,11,11,10.7,1150,12600,10-MAY-1999,
AARTIDRUGS,EQ,21,21.9,20,20,20,21.7,6900,142855,10-MAY-1999,
AARTIIND,EQ,35.9,36.2,34,35.1,35.1,33.5,4100,145015,10-MAY-1999,
ABANLLOYD,EQ,31,31,28.95,29.7,29.7,30,10500,307255,10-MAY-1999,
ABB,EQ,304,324,304,324,324,300,61198,19516749.45,10-MAY-1999,
ABBOTTLAB,EQ,989,1000,989,1000,1000,1000,200,199200,10-MAY-1999,
ABGHEAVY,EQ,20,20.25,19.6,20.25,20.25,19.55,4200,83665,10-MAY-1999,
ABSIND,EQ,47.5,48,47.15,47.15,47.15,47.1,3200,152320,10-MAY-1999,
ACC,EQ,1642,1705,1621,1705,1705,1590.85,348449,575990094.35,10-MAY-1999,
ADANIEXPO,EQ,526,526,511.5,515.95,515.95,520,3700,1904595,10-MAY-1999,
ADVANIORLI,EQ,23.4,24.1,23.15,24.1,24.1,23.1,7100,166960,10-MAY-1999,
AEGISCHEM,EQ,12,13.5,12,13.5,13.5,13,1750,21745,10-MAY-1999,
AGREVOIND,EQ,640,675,640,675,675,625,4000,2669780,10-MAY-1999,
AHMEDELEC,EQ,46.55,50.9,46.55,48.3,48.3,48,1150,55702.5,10-MAY-1999,
AHMEDFORGE,EQ,10.5,11.25,10.5,11.25,11.25,9.8,600,6675,10-MAY-1999,
AIMCOPEST,EQ,9.5,9.9,9.05,9.05,9.05,9,900,8620,10-MAY-1999,
AKAIMPEX,EQ,2,2,2,2,2,2.4,200,400,10-MAY-1999,
AKARLAMIN,EQ,3.6,3.6,3.05,3.05,3.05,2.4,1600,5010,10-MAY-1999,
ALBRMORARJ,EQ,269.95,269.95,265,265,265,260,100,26747.5,10-MAY-1999,
ALFALAVAL,EQ,170,170,165.6,165.6,165.6,167.5,900,151017.5,10-MAY-1999,
ALKYLAMINE,EQ,64,66,63,64,64,64.8,7950,510922.5,10-MAY-1999,
ALMBICHEM,EQ,2269,2297.95,2231,2269,2269,2259,1040,2357683.5,10-MAY-1999,
ALOKTEXT,EQ,12.5,12.75,12.5,12.75,12.75,12,600,7525,10-MAY-1999,
ALPHADRUG,EQ,23.9,25.15,23.1,25.05,25.05,23.25,144000,3518115,10-MAY-1999,
ALPICFIN,EQ,13.15,14,13.15,13.85,13.85,13.95,1800,24965,10-MAY-1999,
ALTOS,EQ,8.15,8.15,7.7,7.85,7.85,8.5,3300,26095,10-MAY-1999,
AMARAJABAT,EQ,281,303.5,281,303.5,303.5,281,176900,52584075,10-MAY-1999,
AMBASARABH,EQ,7.2,7.2,6.8,7.2,7.2,7,16600,117797.5,10-MAY-1999,
AMERICADRY,EQ,8.35,8.45,7.75,7.85,7.85,8,7200,58185,10-MAY-1999,
AMFORGEIND,EQ,5.7,5.7,3.65,3.65,3.65,3.9,200,935,10-MAY-1999,
AMTEKAUTO,EQ,17,17.5,16.8,16.85,16.85,16.75,1300,22165,10-MAY-1999,
AMTREXAPPL,EQ,26.2,26.75,25.8,26.75,26.75,27,2400,63560,10-MAY-1999,
ANAGRAMFIN,EQ,3.45,3.5,3.45,3.5,3.5,3.15,400,1390,10-MAY-1999,
ANAMALFIN,EQ,5.25,5.25,5.25,5.25,5.25,5.1,300,1575,10-MAY-1999,
ANDHRAPET,EQ,3,3.05,3,3,3,3,12600,37900,10-MAY-1999,
ANDRAVALLY,EQ,42,43.85,41.25,43.85,43.85,40.6,49050,2139560,10-MAY-1999,
ANSALHOUS,EQ,10,10.75,9.7,10.75,10.75,10,4600,46455,10-MAY-1999,
ANSALPROP,EQ,10.75,10.95,10.75,10.95,10.95,11,1000,10930,10-MAY-1999,
ANTFRIBEAR,EQ,10.15,12.45,10.15,12.45,12.45,11.5,300,3160,10-MAY-1999,
ANTGRAPHIC,EQ,3.1,3.1,3.1,3.1,3.1,2.8,500,1550,10-MAY-1999,
APOLLOHOSP,EQ,28.9,30,27.85,28,28,28.5,27450,778795,10-MAY-1999,
APOLLOTYRE,EQ,41.2,45.4,41.2,45.4,45.4,42,55600,2456890,10-MAY-1999,
APOWERTOOL,EQ,3.8,3.8,3,3.3,3.3,3.7,115600,385100,10-MAY-1999,
APPAPER,EQ,335,350,335,350,350,325,175,60849,10-MAY-1999,
APPLECREDT,EQ,10.95,11,10.95,11,11,10.75,700,7690,10-MAY-1999,
APPLEIND,EQ,8.15,8.35,8,8.25,8.25,8.15,2400,19640,10-MAY-1999,
APRAYON,EQ,12.5,12.5,12.5,12.5,12.5,12,50,625,10-MAY-1999,
APTECH,BE,950,950,912,912,912,960,37,33842,10-MAY-1999,
APTECH,EQ,945,954.8,932,936.9,936.9,960,23100,21823635,10-MAY-1999,
ARCHIES,EQ,1010,1010,995,995,995,996,900,900600,10-MAY-1999,
ARIHANTCRE,EQ,3,3.2,2.85,2.85,2.85,2.75,3700,11445,10-MAY-1999,
ARTSONENGG,EQ,7.25,7.25,6.75,6.75,6.75,6.6,1100,7615,10-MAY-1999,
ARUNASUGAR,EQ,5.5,5.5,5.5,5.5,5.5,6.35,500,2750,10-MAY-1999,
ARVINDMILL,EQ,27.8,29.6,26.8,29.6,29.6,27.4,225015,6476295.25,10-MAY-1999,
ARVINDPOLY,EQ,6.55,6.55,6.55,6.55,6.55,6.5,800,5240,10-MAY-1999,
ARYAFINFAB,EQ,1.35,1.35,1.35,1.35,1.35,1.5,200,270,10-MAY-1999,
ASAHIINDIA,EQ,230,230,230,230,230,230,200,46000,10-MAY-1999,
ASHAPURMIN,EQ,95,95,90,93,93,95,900,83500,10-MAY-1999,
ASHIMASYN,EQ,38.5,38.5,38.5,38.5,38.5,38.05,500,19250,10-MAY-1999,
ASHKLEYFIN,EQ,22.6,23.5,22.6,23.5,23.5,23,1400,32310,10-MAY-1999,
ASHOKLEY,EQ,36.5,37,35.3,35.85,35.85,36.7,71950,2597532.5,10-MAY-1999,
ASIANCOFFE,EQ,16.5,17.15,16.3,16.75,16.75,17,2000,33550,10-MAY-1999,
ASIANELEC,EQ,76,76,75,75,75,76.9,1400,105985,10-MAY-1999,
ASIANHOTEL,EQ,134.9,139.4,134.9,138.2,138.2,131,1950,266527.5,10-MAY-1999,
ASIANPAINT,EQ,217,230,217,222.5,222.5,217,14073,3157668.9,10-MAY-1999,
ASSAMCO,EQ,24.5,24.5,24,24,24,25.6,1950,47002.5,10-MAY-1999,
ASSAMFRONT,EQ,92,93.7,92,93.7,93.7,92,200,18570,10-MAY-1999,
ASTRAIDL,EQ,271,296,270.3,291,291,274.5,5450,1547517.5,10-MAY-1999,
ATCOIND,EQ,18.5,18.65,18.5,18.65,18.65,19,300,5565,10-MAY-1999,
ATLASCOPCO,EQ,136,141,130.3,137,137,134.6,29150,3971965,10-MAY-1999,
ATLASCYCLE,EQ,51,52,51,52,52,50.6,900,46542.5,10-MAY-1999,
ATULPROD,EQ,18.7,20.75,18.6,20.25,20.25,19.7,5950,116827.5,10-MAY-1999,
ATVPETRO,EQ,1.65,1.75,1.65,1.75,1.75,1.7,1200,2070,10-MAY-1999,
AUROPHARMA,EQ,498,523,493,512.5,512.5,487.9,45700,23267635,10-MAY-1999,
AUTOAXLES,EQ,39,39.1,39,39.05,39.05,36.25,800,31215,10-MAY-1999,
AUTOLEC,EQ,53,53.75,52,53.75,53.75,52.05,2600,138270,10-MAY-1999,
AUTOLITIND,EQ,11.75,12.05,11.75,12.05,12.05,11.75,2000,23860,10-MAY-1999,
AUTORIDFIN,EQ,3.5,3.75,3.5,3.75,3.75,4.15,700,2525,10-MAY-1999,
AVERY,EQ,40,40,40,40,40,40,50,2000,10-MAY-1999,
BABABUSERV,EQ,66,66,66,66,66,65.7,100,6600,10-MAY-1999,
BAJAJAUTO,EQ,569.9,587,565,575,575,567,193757,111591927.4,10-MAY-1999,
BAJAJTEMPO,EQ,114,120,114,120,120,119,350,41440,10-MAY-1999,
BAJAUTOFIN,EQ,29.9,29.9,28.05,28.5,28.5,28.5,1700,48805,10-MAY-1999,
BALAJHOTEL,EQ,29.75,30,29.75,30,30,30.05,1800,53885,10-MAY-1999,
BALAJIDIST,EQ,91.4,91.4,91.4,91.4,91.4,95,100,9140,10-MAY-1999,
BALAJIFOOD,EQ,3.45,3.5,3.45,3.5,3.5,2.9,1000,3495,10-MAY-1999,
BALAJIIND,EQ,90.5,90.5,90,90,90,97,400,36070,10-MAY-1999,
BALKRISIND,EQ,28.75,28.75,28,28.65,28.65,28.25,500,14265,10-MAY-1999,
BALMLAWRIE,EQ,23.25,23.25,23,23,23,24.5,700,16130,10-MAY-1999,
BALRAMCHIN,EQ,88,91.85,88,90,90,88,26000,2334560,10-MAY-1999,
BANARISUG,EQ,58,61.7,58,61.7,61.7,57.2,150,8885,10-MAY-1999,
BANKBARODA,EQ,43.75,45.25,43.5,45,45,44,274100,12168210,10-MAY-1999,
BANKINDIA,EQ,19.55,20.5,19.55,20.2,20.2,20,59646,1194955.5,10-MAY-1999,
BANKMADURA,EQ,52,52,50.65,51,51,51.55,1500,77270,10-MAY-1999,
BANKPUNJAB,EQ,11.55,11.6,11.35,11.35,11.35,11.6,16800,192255,10-MAY-1999,
BANKRAJAS,EQ,20.65,21.9,20.65,21.1,21.1,21.3,6200,131340,10-MAY-1999,
BARATBIJLE,EQ,205,210,200,200,200,210,150,30890,10-MAY-1999,
BARODARAYN,EQ,3,3.5,3,3.5,3.5,3.5,300,975,10-MAY-1999,
BASF,EQ,176,185,176,185,185,176,7550,1365142.5,10-MAY-1999,
BATAINDIA,EQ,216.2,226.5,216.2,220.5,220.5,221,25800,5728397.5,10-MAY-1999,
BAUSCHLOMB,EQ,101.3,104.5,101.3,103,103,104.15,73900,7635805,10-MAY-1999,
BAYER,EQ,2150,2174,2125,2174,2174,2180,160,342727,10-MAY-1999,
BBTC,EQ,43,43,43,43,43,41,700,30100,10-MAY-1999,
BEL,EQ,18.8,19.1,18.3,18.5,18.5,18.25,56100,1050355,10-MAY-1999,
BELCONTROL,EQ,8.2,8.9,8.15,8.9,8.9,8.7,1450,12642.5,10-MAY-1999,
BELLARYSTL,EQ,4.5,4.65,4.5,4.65,4.65,4.95,1100,5100,10-MAY-1999,
BEML,EQ,18.35,19.45,18.3,19.1,19.1,18.5,33700,636470,10-MAY-1999,
BERGEPAINT,EQ,65.25,68,65.25,66.8,66.8,67.8,7300,491055,10-MAY-1999,
BESTAVISON,EQ,7.75,7.75,7.25,7.25,7.25,7.35,2000,14755,10-MAY-1999,
BESTCROMP,EQ,5.4,5.4,4.9,4.9,4.9,5,1100,5720,10-MAY-1999,
BFLSOFTWAR,EQ,894,920,842.05,847,847,880.05,17600,15693360,10-MAY-1999,
BGFL,EQ,17.35,19.3,17.35,19.3,19.3,18.25,998,18528.75,10-MAY-1999,
BHANSALENG,EQ,7.25,7.25,7.25,7.25,7.25,6.95,100,725,10-MAY-1999,
BHARATFORG,EQ,69.9,70.2,66,66.5,66.5,65,8100,556285,10-MAY-1999,
BHARATGEAR,EQ,16.25,17.45,16.25,17.45,17.45,14.5,500,8365,10-MAY-1999,
BHARATHOT,EQ,28.5,31.9,28.5,31.85,31.85,30.7,250,7632.5,10-MAY-1999,
BHARATRAS,EQ,25.2,25.2,25.2,25.2,25.2,25.05,300,7560,10-MAY-1999,
BHARTITELE,EQ,96,96,94.7,94.7,94.7,92,200,19070,10-MAY-1999,
BHEL,EQ,195,210.5,195,205.75,205.75,195.45,777835,158689385.4,10-MAY-1999,
BHORIND,EQ,12,12,10,10,10,10.75,400,4600,10-MAY-1999,
BHUSANSTL,EQ,18,18.5,18,18.5,18.5,18.6,1300,23750,10-MAY-1999,
BILT,EQ,27.45,29.7,26.5,29.7,29.7,27.5,308500,9094910,10-MAY-1999,
BIMETBRG,EQ,78,78,78,78,78,79.8,200,15600,10-MAY-1999,
BINANIZINC,EQ,21.5,21.5,20.7,20.7,20.7,21.3,2100,44312.5,10-MAY-1999,
BINDALAGRO,EQ,14.1,14.1,13.75,13.9,13.9,14.15,33400,466035,10-MAY-1999,
BIRLA3M,EQ,250,253.9,250,250,250,250,3400,854185,10-MAY-1999,
BIRLAERIC,EQ,53,54,52.6,53.35,53.35,52.5,51100,2731900,10-MAY-1999,
BIRLAJUTE,EQ,21.7,21.7,21.7,21.7,21.7,21.8,1000,21700,10-MAY-1999,
BIRLAYAMAH,EQ,29.7,32,27.5,32,32,29.65,12700,378445,10-MAY-1999,
BIRLCENFIN,EQ,7.1,7.15,7.05,7.05,7.05,7.1,1500,10650,10-MAY-1999,
BISHNATTEA,EQ,56.3,56.3,56.3,56.3,56.3,55,200,11260,10-MAY-1999,
BLOWPLAST,EQ,18.85,19,18.45,18.9,18.9,18.2,14500,270890,10-MAY-1999,
BLUEBLENDS,EQ,2.6,2.6,2.5,2.5,2.5,2.5,200,510,10-MAY-1999,
BLUEDART,EQ,112,117.75,110.25,110.25,110.25,117,5300,602250,10-MAY-1999,
BLUESTAR,EQ,62.75,63.95,62.7,62.75,62.75,64,12550,794925,10-MAY-1999,
BOID2PLANA,EQ,320,320,317.2,319.9,319.9,318,180,57439,10-MAY-1999,
BOID2PLANB,EQ,317,321.85,317,321.85,321.85,321.5,280,89503.5,10-MAY-1999,
BOMDYEING,AE,35,35.4,35,35.4,35.4,35,200,7040,10-MAY-1999,
BOMDYEING,EQ,33,35.4,32.9,35.3,35.3,32.75,127650,4418022.5,10-MAY-1999,
BONGAIREFN,EQ,8.35,8.9,8.35,8.75,8.75,8.65,7300,63520,10-MAY-1999,
BOOTSPHARM,EQ,634,669.4,610,669.4,669.4,630.2,5950,3832187.5,10-MAY-1999,
BPCL,EQ,171.6,174.9,171,172.15,172.15,170,82159,14172022.35,10-MAY-1999,
BPL,EQ,361,392,361,382,382,370.05,572200,218667875,10-MAY-1999,
BPLENGG,EQ,10.25,12.6,10,12,12,10.1,35100,413920,10-MAY-1999,
BPLREFRIG,EQ,6.45,6.75,6.45,6.75,6.75,6.55,2600,17340,10-MAY-1999,
BPLSANTECH,EQ,5.2,5.6,5.2,5.6,5.6,5.45,1100,6045,10-MAY-1999,
BPLSANUTIL,EQ,14.15,15.5,14.15,15,15,13.8,3200,47265,10-MAY-1999,
BRITANNIA,EQ,1440,1444,1415,1436,1436,1430,6100,8756505,10-MAY-1999,
BSES,EQ,152,157.1,150.25,154.4,154.4,151.45,125066,19316421,10-MAY-1999,
BURRWELCOM,BE,700,700,700,700,700,626,20,14000,10-MAY-1999,
BURRWELCOM,EQ,695,737.65,690,737.65,737.65,683,16050,11449000,10-MAY-1999,
CABOTINDIA,EQ,113,113,111.1,111.1,111.1,111,100,11205,10-MAY-1999,
CADBURY,AE,760,760,760,760,760,786,50,38000,10-MAY-1999,
CADBURY,BE,770,770,770,770,770,770,5,3850,10-MAY-1999,
CADBURY,EQ,765.1,776,760,763,763,771,13450,10287555,10-MAY-1999,
CAMPALLIED,EQ,24,24.3,24,24,24,23.95,600,14445,10-MAY-1999,
CANFINHOME,EQ,15.05,15.6,15,15.2,15.2,15.1,23000,349760,10-MAY-1999,
CANTRIPLUS,EQ,18.75,18.75,17.4,17.6,17.6,18.4,14800,262185,10-MAY-1999,
CAPRIHANS,EQ,33,34.25,31.6,31.8,31.8,34.05,23150,762875,10-MAY-1999,
CARBEVFLOW,EQ,38.55,38.55,36,36.1,36.1,38.5,8400,307317.5,10-MAY-1999,
CARBORUNIV,EQ,91.5,91.5,88.1,89.2,89.2,91.5,1050,94100,10-MAY-1999,
CARRIERAIR,EQ,222,222,211.1,218.1,218.1,219.95,19900,4330630,10-MAY-1999,
CASTROL,EQ,853,884.8,853,874.5,874.5,857,219159,191573409.2,10-MAY-1999,
CAUVERSOFT,EQ,6.45,6.45,6.1,6.25,6.25,6.35,58200,365820,10-MAY-1999,
CCI,EQ,14.05,14.25,14,14,14,14.5,3200,45100,10-MAY-1999,
CEAT,EQ,18.5,20.5,18,19.95,19.95,18.75,27000,530105,10-MAY-1999,
CEATFIN,EQ,9,9,8.85,8.85,8.85,8.95,400,3585,10-MAY-1999,
CENTAKCHEM,EQ,152,154.9,152,152.3,152.3,151.15,1200,184250,10-MAY-1999,
CENTENKA,EQ,29,30.6,29,29,29,28.35,18150,536422.5,10-MAY-1999,
CENTEXTRU,EQ,4.05,4.05,4.05,4.05,4.05,5.5,100,405,10-MAY-1999,
CENTURYTEX,EQ,29.95,31.85,28.75,31.85,31.85,29.45,466850,14348332.5,10-MAY-1999,
