SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 11-Dec-2024"," 112.50"," 112.50"," 112.50"," 112.45"," 112.50"," 112.50"," 112.46"," 45630"," 51.32"," 9"," 45630"," 100.00"
20MICRONS," BE"," 11-Dec-2024"," 247.54"," 249.00"," 249.90"," 239.00"," 246.00"," 244.65"," 242.36"," 101148"," 245.15"," 1175"," -"," -"
21STCENMGM," BE"," 11-Dec-2024"," 97.86"," 97.86"," 97.86"," 95.90"," 95.90"," 95.90"," 96.34"," 8368"," 8.06"," 159"," -"," -"
360ONE," EQ"," 11-Dec-2024"," 1198.40"," 1202.70"," 1225.95"," 1184.75"," 1207.30"," 1211.10"," 1206.77"," 850418"," 10262.57"," 73434"," 521984"," 61.38"
3IINFOLTD," EQ"," 11-Dec-2024"," 29.99"," 30.00"," 31.25"," 29.97"," 30.39"," 30.33"," 30.56"," 742973"," 227.03"," 4042"," 327140"," 44.03"
3MINDIA," EQ"," 11-Dec-2024"," 31275.80"," 31528.90"," 31700.00"," 31212.10"," 31583.00"," 31615.35"," 31475.79"," 4334"," 1364.16"," 2037"," 1390"," 32.07"
3PLAND," EQ"," 11-Dec-2024"," 58.65"," 58.50"," 59.99"," 56.00"," 56.68"," 56.58"," 58.13"," 81003"," 47.08"," 1537"," 33797"," 41.72"
522GS2025," GS"," 11-Dec-2024"," 101.32"," 101.61"," 101.62"," 101.61"," 101.62"," 101.62"," 101.62"," 200"," 0.20"," 2"," 100"," 50.00"
574GS2026," GS"," 11-Dec-2024"," 100.45"," 97.94"," 97.94"," 97.80"," 97.80"," 97.80"," 97.80"," 196"," 0.19"," 2"," 196"," 100.00"
5PAISA," EQ"," 11-Dec-2024"," 508.95"," 505.50"," 516.45"," 504.00"," 505.00"," 505.90"," 508.27"," 28016"," 142.40"," 2140"," 12427"," 44.36"
619GS2034," GS"," 11-Dec-2024"," 94.02"," 95.02"," 95.02"," 89.31"," 89.31"," 89.31"," 92.17"," 16"," 0.01"," 2"," 8"," 50.00"
63MOONS," EQ"," 11-Dec-2024"," 873.95"," 873.00"," 917.60"," 872.95"," 917.60"," 917.60"," 913.03"," 1219574"," 11135.09"," 9053"," 550776"," 45.16"
664GS2027," GS"," 11-Dec-2024"," 100.00"," 99.00"," 99.10"," 99.00"," 99.05"," 99.05"," 99.05"," 8200"," 8.12"," 5"," 8200"," 100.00"
667GS2035," GS"," 11-Dec-2024"," 105.99"," 103.60"," 111.19"," 102.80"," 103.50"," 102.82"," 103.30"," 320"," 0.33"," 7"," 320"," 100.00"
676GS2061," GS"," 11-Dec-2024"," 98.10"," 98.10"," 100.00"," 98.10"," 100.00"," 100.00"," 98.14"," 2906"," 2.85"," 2"," 2906"," 100.00"
679GS2034," GS"," 11-Dec-2024"," 100.50"," 100.50"," 102.00"," 100.06"," 102.00"," 102.00"," 101.85"," 9600"," 9.78"," 5"," 9000"," 93.75"
695GS2061," GS"," 11-Dec-2024"," 103.15"," 101.00"," 101.00"," 101.00"," 101.00"," 101.00"," 101.00"," 249"," 0.25"," 1"," 249"," 100.00"
699GS2051," GS"," 11-Dec-2024"," 103.30"," 103.47"," 103.47"," 103.47"," 103.47"," 103.47"," 103.47"," 10"," 0.01"," 1"," 10"," 100.00"
702GS2027," GS"," 11-Dec-2024"," 101.23"," 100.59"," 100.59"," 100.59"," 100.59"," 100.59"," 100.59"," 100"," 0.10"," 1"," 100"," 100.00"
702GS2031," GS"," 11-Dec-2024"," 104.01"," 103.85"," 103.91"," 103.85"," 103.91"," 103.91"," 103.86"," 1100"," 1.14"," 2"," 1100"," 100.00"
704GS2029," GS"," 11-Dec-2024"," 100.70"," 100.70"," 101.99"," 100.70"," 101.99"," 101.99"," 101.79"," 4600"," 4.68"," 10"," 4300"," 93.48"
706GS2028," GS"," 11-Dec-2024"," 101.51"," 102.25"," 102.25"," 102.10"," 102.10"," 102.16"," 102.23"," 1530"," 1.56"," 3"," 1530"," 100.00"
709GS2054," GS"," 11-Dec-2024"," 103.00"," 103.00"," 104.00"," 103.00"," 103.15"," 103.15"," 103.38"," 300"," 0.31"," 3"," 300"," 100.00"
