SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,41.2,41.2,39.1,39.95,40,42.1,47945,1930229.45,11-OCT-2018,549,INE144J01027,
21STCENMGM,EQ,26.2,26.7,25.7,26,26,26.2,12077,318260.3,11-OCT-2018,46,INE253B01015,
3IINFOTECH,EQ,3.35,3.4,3.25,3.35,3.35,3.35,1710288,5692628.25,11-OCT-2018,595,INE748C01020,
3MINDIA,EQ,21950,22349.9,21668.05,21952.2,21990,22476.5,1085,23881790.5,11-OCT-2018,556,INE470A01017,
5PAISA,EQ,198.8,204,193.35,195.5,195.85,201.05,10257,2011687.7,11-OCT-2018,601,INE618L01018,
63MOONS,EQ,64.4,65.4,62.2,64.45,64,65.7,73607,4717540.95,11-OCT-2018,1154,INE111B01023,
8KMILES,BE,127.15,127.15,127.15,127.15,127.15,133.8,18017,2290861.55,11-OCT-2018,293,INE650K01021,
A2ZINFRA,EQ,10,10.6,9.7,10.6,10.6,10.1,320702,3326822.4,11-OCT-2018,632,INE619I01012,
AARON,SM,38.5,38.5,38.5,38.5,38.5,39.25,3000,115500,11-OCT-2018,1,INE721Z01010,
AARTIDRUGS,EQ,570,574.8,555.2,568.85,568,582.45,17245,9721636.05,11-OCT-2018,1214,INE767A01016,
AARTIIND,EQ,1224.5,1294,1200.35,1283.4,1284.5,1246.5,28405,35874980.9,11-OCT-2018,4035,INE769A01020,
AARVEEDEN,EQ,23.9,24.25,22.55,23,23.4,24.05,12809,297754.3,11-OCT-2018,111,INE273D01019,
AAVAS,EQ,760,774.7,745,758.3,758,791.3,64953,49430842.35,11-OCT-2018,3901,INE216P01012,
ABAN,EQ,73.55,81.55,72.4,78.1,78.5,75.25,1534377,119042169.7,11-OCT-2018,16234,INE421A01028,
ABB,EQ,1325,1330.95,1275.1,1290,1286,1341.4,55740,72713873.55,11-OCT-2018,4009,INE117A01022,
ABBOTINDIA,EQ,7288,7300,7101.2,7231.7,7260,7325.2,6483,46751597.6,11-OCT-2018,1567,INE358A01014,
ABCAPITAL,EQ,105,108.8,104,106.15,106.35,110.2,1217654,130271116.05,11-OCT-2018,17704,INE674K01013,
ABFRL,EQ,171.35,184.9,167.55,175.05,176,176.2,2479141,441583441.95,11-OCT-2018,8514,INE647O01011,
ABGSHIP,BZ,4,4,3.8,3.8,3.95,4,6231,24423.8,11-OCT-2018,34,INE067H01016,
