SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
182D040424,TB,97.69,97.75,97.69,97.75,97.75,97.69,10100,986675,12-DEC-2023,2,IN002023Y284,,,
182D060624,TB,96.47,96.56,96.47,96.47,96.47,96.56,400,38597,12-DEC-2023,4,IN002023Y375,,,
182D090524,TB,97.04,97.05,97.04,97.05,97.05,97.04,1800,174684,12-DEC-2023,4,IN002023Y334,,,
182D230524,TB,96.74,96.74,96.74,96.74,96.74,96.74,200,19348,12-DEC-2023,2,IN002023Y359,,,
182D250424,TB,97.28,97.28,97.28,97.28,97.28,97.21,1100,107008,12-DEC-2023,1,IN002023Y318,,,
182D300524,TB,96.6,96.6,96.6,96.6,96.6,96.68,100,9660,12-DEC-2023,1,IN002023Y367,,,
20MICRONS,EQ,191,191.9,185.85,186.3,186,189.5,74817,14136448.2,12-DEC-2023,4375,INE144J01027,,41526,55.50
21STCENMGM,EQ,27.7,27.7,27.7,27.7,27.7,27.2,3027,83847.9,12-DEC-2023,23,INE253B01015,,3027,100.00
360ONE,EQ,642.05,649.5,627.85,644.45,649,646.5,290724,185198386.25,12-DEC-2023,17783,INE466L01038,,151184,52.00
364D031024,TB,94.38,94.38,94.38,94.38,94.38,94.36,100,9438,12-DEC-2023,1,IN002023Z299,,,
364D040424,TB,97.7,97.7,97.7,97.7,97.7,97.8,3000,293100,12-DEC-2023,1,IN002023Z026,,,
364D060624,TB,96.51,96.51,96.51,96.51,96.51,96.29,700,67557,12-DEC-2023,1,IN002023Z117,,,
364D071124,TB,93.74,93.85,93.74,93.85,93.85,93.74,500,46896,12-DEC-2023,4,IN002023Z349,,,
364D080824,TB,95.41,95.41,95.28,95.28,95.28,95.39,7000,667025,12-DEC-2023,7,IN002023Z208,,,
364D101024,TB,94.25,94.25,94.25,94.25,94.25,94.24,500,47125,12-DEC-2023,1,IN002023Z307,,,
364D110424,TB,97.55,97.55,97.55,97.55,97.55,97.55,1000,97550,12-DEC-2023,1,IN002023Z034,,,
364D141124,TB,93.9,93.9,93.65,93.65,93.65,93.66,400,37485,12-DEC-2023,2,IN002023Z356,,,
364D171024,TB,94.14,94.14,94.14,94.14,94.14,93.9,100,9414,12-DEC-2023,1,IN002023Z315,,,
364D220324,TB,97.67,98.12,97.67,98.12,98.12,97.58,1500,146730,12-DEC-2023,2,IN002022Z515,,,
3IINFOLTD,EQ,44.95,46.45,44.6,45.15,45.35,44.55,1743126,79360658.1,12-DEC-2023,7532,INE748C01038,,619516,35.54
3MINDIA,EQ,31807.2,31807.2,31090,31215.45,31280,31807.2,1592,49961464.7,12-DEC-2023,1092,INE470A01017,,639,40.14
3PLAND,EQ,27,27.75,25.95,26.15,26.2,26.85,46718,1227171,12-DEC-2023,654,INE105C01023,,31654,67.76
515GS2025,GS,95.63,97.25,93.61,97.2,97.2,96.01,4915,463129.55,12-DEC-2023,11,IN0020200278,,3880,78.94
563GS2026,GS,96.56,97.75,96.56,97.75,97.75,96.53,210,20289.5,12-DEC-2023,2,IN0020210012,,210,100.00
574GS2026,GS,96.6,96.6,96.6,96.6,96.6,96.6,4,386.4,12-DEC-2023,2,IN0020210186,,4,100.00
5PAISA,EQ,491,496,482.15,483.6,484,485.05,98398,48074347.35,12-DEC-2023,7171,INE618L01018,,54106,54.99
610GS2031,GS,95.49,95.49,94.25,94.25,94.25,95.5,23,2195.03,12-DEC-2023,4,IN0020210095,,22,95.65
618GS2024,GS,98.9,100.99,98.9,99.25,99.25,98.92,152,15067.06,12-DEC-2023,3,IN0020190396,,78,51.32
63MOONS,EQ,593.75,593.75,593.75,593.75,593.75,625,24294,14424562.5,12-DEC-2023,735,INE111B01023,,24294,100.00
654GS2032,GS,98.4,98.4,98.4,98.4,98.4,98.25,1,98.4,12-DEC-2023,1,IN0020210244,,1,100.00
667GS2035,GS,97,98.99,97,98.99,98.99,96.52,2401,232898.99,12-DEC-2023,3,IN0020210152,,2401,100.00
667GS2050,GS,94,94,94,94,94,97.1,98,9212,12-DEC-2023,1,IN0020200252,,98,100.00
669GS2024,GS,102.7,102.75,102.67,102.67,102.67,102.7,302,31015.42,12-DEC-2023,4,IN0020220052,,301,99.67
676GS2061,GS,92.06,95.5,92.06,95.5,95.5,92,201,18848.06,12-DEC-2023,2,IN0020200401,,101,50.25
695GS2061,GS,92.94,102,92.94,102,102,97.8,5010,499264,12-DEC-2023,9,IN0020210202,,4910,98.00
706GS2028,GS,103,103,100.32,101,101,100.4,3399,341730.24,12-DEC-2023,14,IN0020230010,,3397,99.94
710GS2029,GS,100.75,100.75,100.16,100.44,100.59,100.25,6152,618065,12-DEC-2023,10,IN0020220011,,6052,98.37
717GS2030,GS,100.35,100.8,100.35,100.65,100.65,100.74,8216,827605.4,12-DEC-2023,9,IN0020230036,,8216,100.00
