SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,162.25,165,159.5,164.15,165,162.25,130051,21089610.3,12-SEP-2006,
3MINDIA,EQ,1215,1290,1210,1250.9,1225.05,1217.75,297,364436.55,12-SEP-2006,
AARTIDRUGS,EQ,83.5,83.85,79.3,80.65,80.3,81.35,4043,326665.55,12-SEP-2006,
AARTIIND,EQ,34,34.95,33.2,34.5,34.85,34.75,84725,2871355.2,12-SEP-2006,
ABAN,EQ,1201,1220,1180.15,1198.65,1194,1211.95,75726,90703820.4,12-SEP-2006,
ABB,EQ,2785,2810,2770,2792.1,2794.2,2824.95,58425,162778780.9,12-SEP-2006,
ABIRLANUVO,EQ,812,822,800,813.5,811.1,811.65,17801,14384655.35,12-SEP-2006,
ABSHEKINDS,EQ,22.2,22.8,22,22.65,22.7,22.45,261690,5880892.3,12-SEP-2006,
ACC,EQ,903,932,894,929.25,926.2,906.25,1034964,945492539.1,12-SEP-2006,
ADANIEXPO,EQ,122,123.95,120.05,122.95,123.2,124.5,161667,19690622.55,12-SEP-2006,
ADHUNIK,EQ,27.5,27.9,27.05,27.55,27.9,27.15,53209,1455873.9,12-SEP-2006,
ADLABSFILM,EQ,315.65,319,306.25,316.05,318.9,312.65,236248,73843929.4,12-SEP-2006,
ADORWELD,EQ,308,326,308,322.5,322,324.35,2934,939490.65,12-SEP-2006,
AEGISCHEM,EQ,174.1,175,167,174.6,173.5,175.65,12346,2115325.75,12-SEP-2006,
AFTEKINFO,EQ,61.3,61.6,58.1,61.35,61.45,61.05,1425092,86335514.2,12-SEP-2006,
AGRODUTCH,EQ,23.5,24.45,23.5,24.1,24.15,24.65,25955,621995.15,12-SEP-2006,
AHMEDFORGE,EQ,237.5,239,224.3,234.15,238,236.1,90205,20826534.45,12-SEP-2006,
AIAENG,EQ,744,744,693.9,723,724,745.1,51414,37112874.05,12-SEP-2006,
AIRDECCAN,EQ,92.6,94.4,91.1,93.4,93.55,92.35,486092,45110518.05,12-SEP-2006,
AJANTPHARM,EQ,74.25,75.4,72.55,75.1,75.25,74.55,29449,2178543.75,12-SEP-2006,
AKSHOPTFBR,EQ,56.8,56.8,54.1,55.4,55.5,54.5,37765,2070596.85,12-SEP-2006,
ALBK,EQ,72,73.85,70.6,73.35,73.65,72,344348,24882092.7,12-SEP-2006,
ALEMBICLTD,EQ,359,367,353,354.45,354.35,354.8,37189,13314457.65,12-SEP-2006,
ALFALAVAL,EQ,772,800,772,795.3,790.2,795.6,554,439959.95,12-SEP-2006,
ALLCARGO,EQ,664.05,675,662.5,669.9,670,669.1,20172,13586037.4,12-SEP-2006,
ALLSEC,EQ,239.1,245,239.1,241.55,241,240.45,15239,3689105.6,12-SEP-2006,
ALOKTEXT,EQ,64.5,64.5,62.45,64.15,64.4,64.55,570431,36281240.55,12-SEP-2006,
ALPSINDUS,EQ,125,129,123,127.35,128.6,124.5,514719,64976397.4,12-SEP-2006,
AMAR,EQ,60.4,60.6,58.2,59.5,60,60.25,90893,5391027.5,12-SEP-2006,
