SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
20MICRONS,EQ,32.85,33.85,31.85,33.45,33.85,32.3,187303,6187285.7,13-Jul-20,1382,INE144J01027
21STCENMGM,EQ,11.1,11.1,10.75,10.75,10.75,10.9,1829,20301.55,13-Jul-20,13,INE253B01015
3IINFOTECH,EQ,2.6,2.65,2.55,2.55,2.6,2.65,4260840,10960563.95,13-Jul-20,2132,INE748C01020
3MINDIA,EQ,19650,20100,19400,19936.2,19990,19504.05,3557,70037460.6,13-Jul-20,1489,INE470A01017
509GS2022,GS,103.55,103.95,103.55,103.95,103.95,99,2,207.5,13-Jul-20,2,IN0020200021
522GS2025,GS,95.03,95.03,95.03,95.03,95.03,100,5,475.15,13-Jul-20,1,IN0020200112
579GS2030,GS,101,101,101,101,101,100,50,5050,13-Jul-20,2,IN0020200070
5PAISA,EQ,301.9,309.75,290,309.75,309.75,281.6,146960,45253627.45,13-Jul-20,1395,INE618L01018
63MOONS,BE,73.2,75.9,71.2,71.85,72.3,74.2,19064,1389070.95,13-Jul-20,271,INE111B01023
737GS2023,GS,113,113,113,113,113,107.62,1,113,13-Jul-20,1,IN0020180025
75GS2034,GS,122.8,122.8,122.8,122.8,122.8,117,1,122.8,13-Jul-20,1,IN0020040039
A2ZINFRA,EQ,5.1,5.1,4.9,4.95,4.95,5,125556,624349.5,13-Jul-20,256,INE619I01012
AAKASH,SM,30.45,30.45,30.45,30.45,30.45,29,3000,91350,13-Jul-20,1,INE087Z01016
AARTIDRUGS,EQ,1374.95,1390,1342.05,1354.2,1344.95,1359.95,40805,55930425.4,13-Jul-20,3162,INE767A01016
AARTIIND,EQ,948,948,926.05,928.45,928,937.7,340589,317851649.3,13-Jul-20,12595,INE769A01020
AARVEEDEN,BE,11.1,11.65,11.1,11.2,11.2,11.1,9644,109775.45,13-Jul-20,45,INE273D01019
AARVI,EQ,37.7,37.7,34.8,35.85,36.9,35.95,2325,84238.25,13-Jul-20,35,INE754X01016
AAVAS,EQ,1314.05,1340,1285,1290.85,1292,1314.05,43361,57187245.35,13-Jul-20,2542,INE216P01012
ABAN,EQ,27.1,27.9,26.15,26.35,26.25,27,61075,1650048.8,13-Jul-20,624,INE421A01028
ABB,EQ,922,925.35,910,914.9,913,916.95,76574,70120267.7,13-Jul-20,3977,INE117A01022
ABBOTINDIA,EQ,15512,15650,15450,15493,15500,15512.6,8464,131529666.4,13-Jul-20,3341,INE358A01014
ABCAPITAL,EQ,62.5,62.8,59.6,60.25,60.2,62.35,2696934,163675651.5,13-Jul-20,11879,INE674K01013
ABFRL,EQ,122.2,122.5,119.3,120.2,120.1,121.15,1405102,169259043.9,13-Jul-20,17097,INE647O01011
ABFRL-RE,BE,17.85,18.5,14.9,15.05,15.1,17.85,1475006,23102276.95,13-Jul-20,14245,INE647O20011
ABSLBANETF,EQ,229.71,229.71,220.1,222.99,222.99,221,277,62020.55,13-Jul-20,18,INF209KB1O58
ABSLNN50ET,EQ,265.67,268.22,260,261.84,260.03,265.66,55,14397.1,13-Jul-20,13,INF209KB1B87
ABSLRIF6RG,MF,5.65,6.1,5.65,6.07,6.1,6,20488,122376.8,13-Jul-20,8,INF209KB1LL4
ACC,EQ,1310.25,1353.5,1310.25,1346,1344,1310.25,1707292,2280679056,13-Jul-20,54987,INE012A01025
ACCELYA,EQ,943.15,952.95,939,946.3,945.05,948.2,18224,17243078.8,13-Jul-20,523,INE793A01012
ACCURACY,SM,40,40,40,40,40,39,1600,64000,13-Jul-20,1,INE648Z01015
ACE,EQ,62.55,64,60.45,61.5,61.75,62,333626,20806812.45,13-Jul-20,3941,INE731H01025
