SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
1018GS2026,GS,110.26,110.26,110.26,110.26,110.26,105.01,1,110.26,13-JUL-2022,1,IN0020010081,,1,100.00
20MICRONS,EQ,72.5,73.35,71,71.25,71,72.15,64429,4631912.85,13-JUL-2022,1309,INE144J01027,,36382,56.47
21STCENMGM,EQ,25.5,25.55,24.7,25.5,25.5,25.05,3611,91866.25,13-JUL-2022,51,INE253B01015,,3262,90.34
3IINFOLTD,EQ,43.9,46.4,43,44.75,44.6,43.4,494707,22272770.3,13-JUL-2022,5748,INE748C01038,,208104,42.07
3MINDIA,EQ,22951,23212.2,22881,22887.4,22900,22938.05,2040,46902469.05,13-JUL-2022,1063,INE470A01017,,1062,52.06
3PLAND,EQ,15.25,15.8,15.15,15.5,15.6,15.05,11663,181494.4,13-JUL-2022,100,INE105C01023,,9459,81.10
456GS2023,GS,100,100,100,100,100,97.8,1,100,13-JUL-2022,1,IN0020210210,,1,100.00
5PAISA,EQ,292,294,285,287.05,286.85,293.2,31498,9103949.55,13-JUL-2022,1360,INE618L01018,,16751,53.18
63MOONS,EQ,191,194.55,183,187.5,188.4,187.75,44123,8423254.3,13-JUL-2022,1323,INE111B01023,,16863,38.22
667GS2050,GS,94.49,94.49,92.99,92.99,92.99,90.98,153,14230.47,13-JUL-2022,5,IN0020200252,,153,100.00
676GS2061,GS,96,96,95.5,95.5,95.5,95,3,287,13-JUL-2022,3,IN0020200401,,3,100.00
695GS2061,GS,93.64,93.64,92.51,92.51,92.51,92.5,1000,92526.82,13-JUL-2022,6,IN0020210202,,1000,100.00
699GS2051,GS,94.49,94.49,94.14,94.49,94.49,94.99,729,68835.35,13-JUL-2022,7,IN0020210194,,632,86.69
710GS2029,GS,101.45,101.45,100,100,100,99.02,3200,320145,13-JUL-2022,11,IN0020220011,,3200,100.00
738GS2027,GS,101.5,101.5,101,101.1,101.1,101.1,16100,1628710,13-JUL-2022,6,IN0020220037,,11100,68.94
754GS2036,GS,102,102,101.94,101.95,101.95,101.23,24880,2537200,13-JUL-2022,9,IN0020220029,,24880,100.00
759GS2026,GS,102.03,102.03,102.03,102.03,102.03,104.88,160,16324.8,13-JUL-2022,2,IN0020150093,,160,100.00
772GS2025,GS,103.94,103.94,103.94,103.94,103.94,99.81,21200,2203528,13-JUL-2022,1,IN0020150036,,21200,100.00
772GS2055,GS,106,106,106,106,106,106,100,10600,13-JUL-2022,1,IN0020150077,,100,100.00
813GS2045,GS,115.85,115.85,115.85,115.85,115.85,115.85,2,231.7,13-JUL-2022,1,IN0020150044,,2,100.00
82GS2025,GS,106.77,106.77,106.77,106.77,106.77,105.99,16000,1708320,13-JUL-2022,1,IN0020120047,,16000,100.00
A2ZINFRA,EQ,11.5,11.5,11.1,11.35,11.5,11.2,106687,1205808.15,13-JUL-2022,263,INE619I01012,,91905,86.14
AAATECH,SM,91,92.4,90,90.7,90,89,36000,3281400,13-JUL-2022,10,INE0D0U01013,,27000,75.00
AAKASH,EQ,14.9,15.55,14.9,15.55,15.55,14.85,125766,1949384.55,13-JUL-2022,314,INE087Z01024,,114168,90.78
AAREYDRUGS,EQ,35.2,36.55,34.65,35.3,35.1,35.6,25994,917830.85,13-JUL-2022,264,INE198H01019,,13333,51.29
AARON,EQ,122.95,124.9,119.65,120.05,119.85,123,7362,902625.45,13-JUL-2022,281,INE721Z01010,,5245,71.24
AARTIDRUGS,EQ,420.7,424.5,415.6,417.65,419.95,420.7,42753,17937643.75,13-JUL-2022,2956,INE767A01016,,17928,41.93
AARTIIND,EQ,732.4,740,729.8,734.4,733.3,728.85,441553,324639283.8,13-JUL-2022,18792,INE769A01020,,120699,27.34
AARTISURF,EQ,749,767.4,735.05,741.9,738.85,722.75,26496,19930821.35,13-JUL-2022,2872,INE09EO01013,,10743,40.55
