SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
20MICRONS,EQ,77.2,80.15,74.6,79.05,78.5,76.75,419424,32298804.85,15-FEB-2022,5204,INE144J01027,,167520,39.94
21STCENMGM,EQ,36,36,36,36,36,36.7,1279,46044,15-FEB-2022,35,INE253B01015,,1279,100.00
3IINFOLTD,EQ,60.2,64.15,60.15,62.45,62.2,63.3,2471600,150873267,15-FEB-2022,8437,INE748C01038,,1287512,52.09
3MINDIA,EQ,22557,22843.55,22374.95,22438.85,22380,22585.8,2142,48183923.15,15-FEB-2022,1003,INE470A01017,,1440,67.23
3PLAND,BE,17.25,17.9,16.4,16.7,16.6,17.25,3205,53465.3,15-FEB-2022,82,INE105C01023,,-,-
448GS2023,GS,93.9,93.9,93.9,93.9,93.9,94,100,9390,15-FEB-2022,1,IN0020200211,,100,100.00
5PAISA,EQ,372.5,382,352.15,360.6,361,365.2,37652,13545003.45,15-FEB-2022,1260,INE618L01018,,23833,63.30
63MOONS,BE,242.2,257,242.2,250.45,247,254.9,130555,32292527.2,15-FEB-2022,1684,INE111B01023,,-,-
654GS2032,GS,99,99,99,99,99,99,100,9900,15-FEB-2022,1,IN0020210244,,100,100.00
667GS2050,GS,94.49,94.49,93.9,93.9,93.9,93.88,310,29173.59,15-FEB-2022,6,IN0020200252,,310,100.00
676GS2061,GS,96.7,99.5,96.7,98,98,99.5,5100,498375,15-FEB-2022,5,IN0020200401,,5100,100.00
695GS2061,GS,98.5,98.5,97.39,97.39,97.39,98.82,3500,341314,15-FEB-2022,5,IN0020210202,,3500,100.00
699GS2051,GS,97,98.85,97,97.03,98.85,97.9,510,49488.5,15-FEB-2022,3,IN0020210194,,510,100.00
716GS2050,GS,106.45,106.45,106.45,106.45,106.45,102.5,1,106.45,15-FEB-2022,1,IN0020200054,,1,100.00
719GS2060,GS,106.65,106.65,106.65,106.65,106.65,103,1,106.65,15-FEB-2022,1,IN0020200039,,1,100.00
732GS2024,GS,102,102,102,102,102,102,200,20400,15-FEB-2022,1,IN0020180488,,200,100.00
74GS2035,GS,105.99,105.99,105.99,105.99,105.99,105.7,3,317.97,15-FEB-2022,2,IN0020050012,,3,100.00
762GS2039,GS,108.6,108.6,108.6,108.6,108.6,103.5,101,10968.6,15-FEB-2022,2,IN0020190024,,101,100.00
