SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 15-Jul-2024"," 115.00"," 115.00"," 120.75"," 115.00"," 120.75"," 120.75"," 115.20"," 4095"," 4.72"," 6"," 4095"," 100.00"
20MICRONS," EQ"," 15-Jul-2024"," 218.36"," 218.50"," 220.26"," 214.00"," 216.41"," 216.60"," 216.93"," 103011"," 223.46"," 4835"," 42840"," 41.59"
21STCENMGM," BE"," 15-Jul-2024"," 81.10"," 81.10"," 81.10"," 79.47"," 79.47"," 79.47"," 80.12"," 9283"," 7.44"," 97"," -"," -"
360ONE," EQ"," 15-Jul-2024"," 936.55"," 937.05"," 1015.00"," 926.30"," 970.05"," 987.40"," 968.86"," 459178"," 4448.80"," 30053"," 189830"," 41.34"
3IINFOLTD," EQ"," 15-Jul-2024"," 38.28"," 38.47"," 39.70"," 37.89"," 38.60"," 38.56"," 38.73"," 1514525"," 586.63"," 10140"," 535689"," 35.37"
3MINDIA," EQ"," 15-Jul-2024"," 38646.00"," 40000.00"," 40100.05"," 38557.70"," 38989.95"," 39002.40"," 39081.55"," 4253"," 1662.14"," 2788"," 1014"," 23.84"
3PLAND," EQ"," 15-Jul-2024"," 37.77"," 38.79"," 38.79"," 37.10"," 37.93"," 38.13"," 37.89"," 19459"," 7.37"," 430"," 10791"," 55.46"
563GS2026," GS"," 15-Jul-2024"," 98.31"," 99.30"," 99.30"," 99.30"," 99.30"," 99.30"," 99.30"," 2"," 0.00"," 2"," 2"," 100.00"
574GS2026," GS"," 15-Jul-2024"," 98.20"," 98.30"," 98.30"," 97.59"," 98.30"," 98.30"," 98.27"," 68"," 0.07"," 4"," 68"," 100.00"
5PAISA," EQ"," 15-Jul-2024"," 499.10"," 545.00"," 548.00"," 499.10"," 502.00"," 502.50"," 525.09"," 1422180"," 7467.74"," 62426"," 268658"," 18.89"
610GS2031," GS"," 15-Jul-2024"," 96.65"," 93.50"," 93.50"," 93.00"," 93.05"," 93.05"," 93.26"," 1948"," 1.82"," 3"," 1948"," 100.00"
63MOONS," EQ"," 15-Jul-2024"," 347.35"," 348.60"," 353.45"," 335.00"," 339.95"," 338.40"," 339.52"," 168319"," 571.47"," 6414"," 102161"," 60.69"
654GS2032," GS"," 15-Jul-2024"," 100.20"," 100.60"," 100.60"," 100.60"," 100.60"," 100.60"," 100.60"," 100"," 0.10"," 1"," 100"," 100.00"
667GS2050," GS"," 15-Jul-2024"," 95.56"," 94.16"," 99.94"," 94.16"," 96.00"," 96.00"," 96.03"," 120"," 0.12"," 6"," 119"," 99.17"
676GS2061," GS"," 15-Jul-2024"," 97.45"," 98.65"," 98.65"," 96.55"," 98.65"," 98.65"," 97.73"," 3683"," 3.60"," 6"," 3683"," 100.00"
689GS2025," GS"," 15-Jul-2024"," 103.12"," 103.12"," 103.12"," 103.12"," 103.12"," 103.12"," 103.12"," 1"," 0.00"," 1"," 1"," 100.00"
68GS2060," GS"," 15-Jul-2024"," 96.50"," 96.05"," 96.05"," 96.05"," 96.05"," 96.05"," 96.05"," 2"," 0.00"," 1"," 2"," 100.00"
695GS2061," GS"," 15-Jul-2024"," 98.59"," 99.00"," 99.00"," 97.15"," 97.50"," 97.32"," 97.88"," 3"," 0.00"," 3"," 2"," 66.67"
699GS2026," GS"," 15-Jul-2024"," 101.20"," 101.20"," 101.39"," 101.20"," 101.39"," 101.39"," 101.37"," 50900"," 51.60"," 39"," 50900"," 100.00"
699GS2051," GS"," 15-Jul-2024"," 99.50"," 98.60"," 99.65"," 98.60"," 99.65"," 99.65"," 99.65"," 2005"," 2.00"," 6"," 2005"," 100.00"
702GS2027," GS"," 15-Jul-2024"," 101.00"," 100.50"," 100.50"," 100.46"," 100.46"," 100.46"," 100.46"," 100"," 0.10"," 2"," 100"," 100.00"
702GS2031," GS"," 15-Jul-2024"," 100.85"," 100.85"," 100.85"," 100.85"," 100.85"," 100.85"," 100.85"," 480"," 0.48"," 1"," 480"," 100.00"
704GS2029," GS"," 15-Jul-2024"," 100.28"," 100.28"," 100.28"," 100.25"," 100.28"," 100.26"," 100.27"," 2400"," 2.41"," 6"," 1700"," 70.83"
706GS2028," GS"," 15-Jul-2024"," 102.15"," 101.64"," 102.14"," 101.63"," 102.02"," 102.07"," 101.99"," 20482"," 20.89"," 14"," 15982"," 78.03"
710GS2029," GS"," 15-Jul-2024"," 102.22"," 101.70"," 102.50"," 101.70"," 102.29"," 102.29"," 102.14"," 3816"," 3.90"," 8"," 3815"," 99.97"
716GS2050," GS"," 15-Jul-2024"," 103.30"," 104.95"," 104.95"," 104.95"," 104.95"," 104.95"," 104.95"," 200"," 0.21"," 1"," 200"," 100.00"
717GS2030," GS"," 15-Jul-2024"," 102.19"," 102.02"," 102.09"," 102.02"," 102.09"," 102.09"," 102.03"," 3350"," 3.42"," 2"," 3350"," 100.00"
718GS2033," GS"," 15-Jul-2024"," 103.50"," 103.06"," 103.50"," 103.06"," 103.50"," 103.50"," 103.25"," 612"," 0.63"," 5"," 511"," 83.50"
718GS2037," GS"," 15-Jul-2024"," 104.50"," 104.06"," 104.22"," 104.06"," 104.22"," 104.22"," 104.08"," 110418"," 114.92"," 5"," 100000"," 90.56"
71GS2034," GS"," 15-Jul-2024"," 101.65"," 102.00"," 102.95"," 102.00"," 102.65"," 102.65"," 102.06"," 110"," 0.11"," 3"," 110"," 100.00"
725GS2063," GS"," 15-Jul-2024"," 103.00"," 103.00"," 103.10"," 102.81"," 103.00"," 103.01"," 103.00"," 36942"," 38.05"," 17"," 36842"," 99.73"
726GS2032," GS"," 15-Jul-2024"," 104.05"," 104.07"," 104.07"," 103.77"," 103.77"," 103.77"," 104.07"," 1001"," 1.04"," 4"," 1001"," 100.00"
732GS2030," GS"," 15-Jul-2024"," 102.40"," 101.80"," 102.90"," 101.80"," 102.90"," 102.90"," 102.13"," 5920"," 6.05"," 7"," 5700"," 96.28"
733GS2026," GS"," 15-Jul-2024"," 102.50"," 102.20"," 102.20"," 101.86"," 102.20"," 102.19"," 102.15"," 5400"," 5.52"," 13"," 5400"," 100.00"
734GS2064," GS"," 15-Jul-2024"," 104.50"," 104.50"," 105.40"," 104.50"," 105.25"," 105.25"," 104.94"," 3170"," 3.33"," 10"," 1880"," 59.31"
736GS2052," GS"," 15-Jul-2024"," 105.47"," 105.30"," 105.30"," 105.07"," 105.07"," 105.07"," 105.13"," 1000"," 1.05"," 2"," 1000"," 100.00"
737GS2028," GS"," 15-Jul-2024"," 102.59"," 102.59"," 102.61"," 102.59"," 102.61"," 102.61"," 102.60"," 200"," 0.21"," 2"," 200"," 100.00"
738GS2027," GS"," 15-Jul-2024"," 101.84"," 101.05"," 101.90"," 101.05"," 101.90"," 101.89"," 101.84"," 198739"," 202.39"," 62"," 198637"," 99.95"
73GS2053," GS"," 15-Jul-2024"," 103.59"," 103.59"," 103.60"," 103.05"," 103.48"," 103.48"," 103.45"," 203020"," 210.02"," 14"," 203020"," 100.00"
740IIFCL33," N1"," 15-Jul-2024"," 1168.07"," 1045.00"," 1045.00"," 1045.00"," 1045.00"," 1045.00"," 1045.00"," 500"," 5.23"," 1"," 500"," 100.00"
74GS2062," GS"," 15-Jul-2024"," 106.00"," 106.00"," 106.35"," 106.00"," 106.35"," 106.35"," 106.12"," 150"," 0.16"," 2"," 150"," 100.00"
754GS2036," GS"," 15-Jul-2024"," 105.26"," 105.25"," 105.29"," 105.12"," 105.21"," 105.22"," 105.21"," 622902"," 655.37"," 114"," 600899"," 96.47"
757GS2033," GS"," 15-Jul-2024"," 106.15"," 106.15"," 106.15"," 106.15"," 106.15"," 106.15"," 106.15"," 1000"," 1.06"," 1"," 1000"," 100.00"
762GS2039," GS"," 15-Jul-2024"," 106.80"," 105.60"," 105.70"," 105.60"," 105.70"," 105.70"," 105.65"," 2"," 0.00"," 2"," 1"," 50.00"
795GS2032," GS"," 15-Jul-2024"," 111.45"," 105.92"," 105.92"," 105.92"," 105.92"," 105.92"," 105.92"," 1"," 0.00"," 1"," 1"," 100.00"
828GS2027," GS"," 15-Jul-2024"," 105.02"," 105.60"," 106.00"," 105.26"," 105.95"," 105.95"," 105.59"," 5169"," 5.46"," 8"," 3759"," 72.72"
883GS2041," GS"," 15-Jul-2024"," 118.50"," 118.40"," 118.40"," 118.40"," 118.40"," 118.40"," 118.40"," 50"," 0.06"," 1"," 50"," 100.00"
92GS2030," GS"," 15-Jul-2024"," 113.50"," 112.55"," 114.50"," 112.55"," 114.39"," 114.39"," 113.26"," 13152"," 14.90"," 8"," 7152"," 54.38"
A2ZINFRA," BE"," 15-Jul-2024"," 20.20"," 19.79"," 19.80"," 19.79"," 19.79"," 19.79"," 19.79"," 321735"," 63.67"," 178"," -"," -"
AAATECH," BE"," 15-Jul-2024"," 110.34"," 110.34"," 113.00"," 107.00"," 108.95"," 108.20"," 108.96"," 15135"," 16.49"," 189"," -"," -"
AADHARHFC," EQ"," 15-Jul-2024"," 438.80"," 440.40"," 449.00"," 424.40"," 445.90"," 445.85"," 432.00"," 3518244"," 15198.74"," 29723"," 2725223"," 77.46"
AAKASH," BE"," 15-Jul-2024"," 13.58"," 13.58"," 14.00"," 12.90"," 13.80"," 13.74"," 13.36"," 490948"," 65.60"," 1836"," -"," -"
AAREYDRUGS," BE"," 15-Jul-2024"," 51.83"," 52.95"," 54.30"," 51.95"," 54.29"," 54.09"," 53.42"," 118747"," 63.44"," 497"," -"," -"
AARON," EQ"," 15-Jul-2024"," 266.20"," 272.00"," 274.00"," 267.00"," 270.20"," 268.05"," 270.02"," 8356"," 22.56"," 498"," 5305"," 63.49"
AARTECH," BE"," 15-Jul-2024"," 204.57"," 200.47"," 200.47"," 200.47"," 200.47"," 200.47"," 200.47"," 957"," 1.92"," 39"," -"," -"
AARTIDRUGS," EQ"," 15-Jul-2024"," 532.60"," 535.35"," 541.50"," 529.25"," 535.40"," 536.10"," 536.74"," 94038"," 504.74"," 7657"," 42021"," 44.69"
AARTIIND," EQ"," 15-Jul-2024"," 706.10"," 706.00"," 714.80"," 700.35"," 709.75"," 709.50"," 710.19"," 560693"," 3982.01"," 25231"," 219957"," 39.23"
AARTIPHARM," EQ"," 15-Jul-2024"," 608.50"," 610.95"," 616.85"," 600.00"," 610.00"," 606.85"," 603.92"," 104575"," 631.55"," 6735"," 58456"," 55.90"
AARTISURF," EQ"," 15-Jul-2024"," 706.10"," 704.00"," 717.00"," 695.00"," 717.00"," 713.20"," 705.90"," 20525"," 144.89"," 2428"," 9981"," 48.63"
AARTISURF," P1"," 15-Jul-2024"," 216.00"," 231.00"," 231.00"," 206.00"," 206.00"," 206.00"," 227.81"," 132"," 0.30"," 6"," 102"," 77.27"
AARVEEDEN," EQ"," 15-Jul-2024"," 30.07"," 29.40"," 31.94"," 29.25"," 30.57"," 31.03"," 30.48"," 66067"," 20.14"," 568"," 35427"," 53.62"
AARVI," EQ"," 15-Jul-2024"," 133.31"," 133.31"," 136.00"," 128.70"," 132.50"," 131.87"," 132.98"," 36940"," 49.12"," 455"," 33192"," 89.85"
AATMAJ," SM"," 15-Jul-2024"," 26.40"," 26.50"," 26.50"," 26.15"," 26.20"," 26.20"," 26.31"," 12000"," 3.16"," 6"," 10000"," 83.33"
AAVAS," EQ"," 15-Jul-2024"," 1778.00"," 1787.95"," 1797.90"," 1770.30"," 1778.00"," 1782.80"," 1782.38"," 119219"," 2124.93"," 15348"," 64406"," 54.02"
ABAN," BE"," 15-Jul-2024"," 67.22"," 68.50"," 68.50"," 67.00"," 67.00"," 67.00"," 68.12"," 55315"," 37.68"," 117"," -"," -"
ABB," EQ"," 15-Jul-2024"," 8209.25"," 8210.30"," 8265.00"," 8114.75"," 8254.70"," 8251.15"," 8183.10"," 279190"," 22846.39"," 57696"," 144216"," 51.66"
ABBOTINDIA," EQ"," 15-Jul-2024"," 27472.70"," 27900.00"," 28750.00"," 27616.00"," 28640.00"," 28596.80"," 28263.97"," 30368"," 8583.20"," 12107"," 13350"," 43.96"
ABCAPITAL," EQ"," 15-Jul-2024"," 224.75"," 225.34"," 228.00"," 221.60"," 227.00"," 226.46"," 224.35"," 4833340"," 10843.39"," 28959"," 2145209"," 44.38"
ABCOTS," SM"," 15-Jul-2024"," 228.00"," 217.00"," 217.00"," 217.00"," 217.00"," 217.00"," 217.00"," 500"," 1.09"," 1"," 500"," 100.00"
ABDL," EQ"," 15-Jul-2024"," 329.30"," 330.15"," 332.70"," 320.80"," 321.95"," 322.05"," 324.58"," 920342"," 2987.23"," 13237"," 634507"," 68.94"
ABFRL," EQ"," 15-Jul-2024"," 323.20"," 324.50"," 328.90"," 319.40"," 328.00"," 328.05"," 323.88"," 6170022"," 19983.19"," 30655"," 3585918"," 58.12"
ABGSEC," EQ"," 15-Jul-2024"," 100.46"," 100.44"," 100.44"," 100.00"," 100.43"," 100.13"," 100.20"," 1030"," 1.03"," 41"," 693"," 67.28"
ABINFRA," SM"," 15-Jul-2024"," 53.60"," 54.00"," 55.00"," 54.00"," 55.00"," 55.00"," 54.13"," 48000"," 25.98"," 14"," 48000"," 100.00"
ABMINTLLTD," BE"," 15-Jul-2024"," 61.25"," 61.25"," 61.25"," 58.18"," 59.00"," 59.00"," 58.68"," 857"," 0.50"," 29"," -"," -"
ABSLAMC," EQ"," 15-Jul-2024"," 676.35"," 681.00"," 701.00"," 673.10"," 700.00"," 696.80"," 692.41"," 697466"," 4829.34"," 31107"," 433437"," 62.14"
ABSLBANETF," EQ"," 15-Jul-2024"," 53.03"," 54.60"," 54.60"," 52.88"," 53.26"," 53.22"," 53.20"," 24017"," 12.78"," 428"," 13913"," 57.93"
ABSLLIQUID," EQ"," 15-Jul-2024"," 999.99"," 1000.00"," 1000.01"," 999.99"," 1000.00"," 1000.00"," 1000.00"," 4065"," 40.65"," 26"," 3915"," 96.31"
ABSLNN50ET," EQ"," 15-Jul-2024"," 76.63"," 76.90"," 77.60"," 76.30"," 76.77"," 76.84"," 76.68"," 16309"," 12.51"," 423"," 8919"," 54.69"
ABSLPSE," EQ"," 15-Jul-2024"," 11.38"," 11.49"," 11.54"," 11.35"," 11.50"," 11.50"," 11.48"," 491173"," 56.40"," 832"," 395344"," 80.49"
ABSMARINE," SM"," 15-Jul-2024"," 364.85"," 365.00"," 374.00"," 354.00"," 360.00"," 361.15"," 365.36"," 146000"," 533.43"," 145"," 80000"," 54.79"
ACC," EQ"," 15-Jul-2024"," 2686.15"," 2690.00"," 2724.35"," 2686.70"," 2697.40"," 2695.70"," 2705.28"," 198532"," 5370.85"," 19165"," 67484"," 33.99"
ACCELYA," EQ"," 15-Jul-2024"," 1924.05"," 1950.00"," 1971.25"," 1898.00"," 1913.00"," 1908.70"," 1941.79"," 61102"," 1186.47"," 9748"," 22969"," 37.59"
ACCENTMIC," SM"," 15-Jul-2024"," 297.65"," 297.65"," 304.50"," 291.05"," 296.80"," 295.70"," 295.15"," 33500"," 98.87"," 64"," 24500"," 73.13"
