SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
1018GS2026,GS,134,135,134,134,134,135,933,125023,16-AUG-2023,5,IN0020010081,
182D140923,TB,99.45,99.45,99.45,99.45,99.45,99,100,9945,16-AUG-2023,1,IN002022Y518,
182D211223,TB,97.4,97.4,97.4,97.4,97.4,97.14,800,77920,16-AUG-2023,1,IN002023Y128,
182D220923,TB,98.9,98.9,98.85,98.85,98.85,98.85,3000,296585,16-AUG-2023,5,IN002022Y526,
182D250124,TB,96.8,96.8,96.8,96.8,96.8,96.73,1700,164560,16-AUG-2023,1,IN002023Y177,
182D290923,TB,98.96,98.96,98.96,98.96,98.96,98.86,100,9896,16-AUG-2023,1,IN002022Y534,
20MICRONS,BE,116,116,115,116,116,116,28190,3260268,16-AUG-2023,115,INE144J01027,
21STCENMGM,EQ,19.7,20,19.35,19.7,19.7,19.7,2771,54487,16-AUG-2023,50,INE253B01015,
360ONE,EQ,514.6,519,505,515.25,519,513.45,149627,76449746.5,16-AUG-2023,7280,INE466L01038,
364D040724,TB,94.25,94.25,94.25,94.25,94.25,94.27,20000,1885000,16-AUG-2023,1,IN002023Z158,
364D070923,TB,99.57,99.57,99.57,99.57,99.57,99.42,700,69699,16-AUG-2023,1,IN002022Z234,
364D071223,TB,97.43,97.43,97.43,97.43,97.43,97.8,2000,194860,16-AUG-2023,2,IN002022Z366,
364D110424,TB,94.98,94.98,94.98,94.98,94.98,94.9,300,28494,16-AUG-2023,1,IN002023Z034,
364D150224,TB,95.98,95.98,95.98,95.98,95.98,96.15,1500,143970,16-AUG-2023,1,IN002022Z465,
364D290324,TB,95.35,95.35,95.35,95.35,95.35,95.35,100,9535,16-AUG-2023,1,IN002022Z523,
3IINFOLTD,EQ,32.4,32.8,32.1,32.25,32.15,32.45,294852,9551099.25,16-AUG-2023,2458,INE748C01038,
3MINDIA,EQ,28650,29296.35,28420.05,28746.55,28550,28680.35,3761,108534499.9,16-AUG-2023,2415,INE470A01017,
3PLAND,BE,20,20.9,20,20.45,20.4,20,4484,92059.65,16-AUG-2023,47,INE105C01023,
448GS2023,GS,101.25,101.25,101.25,101.25,101.25,101,1,101.25,16-AUG-2023,1,IN0020200211,
522GS2025,GS,96.46,98.75,96.46,98.75,98.75,97,201,19390.75,16-AUG-2023,2,IN0020200112,
563GS2026,GS,98.3,98.3,98.3,98.3,98.3,98.3,1,98.3,16-AUG-2023,1,IN0020210012,
574GS2026,GS,97.4,97.4,97.4,97.4,97.4,97.45,12,1168.8,16-AUG-2023,2,IN0020210186,
579GS2030,GS,96,96,96,96,96,96,33,3168,16-AUG-2023,1,IN0020200070,
585GS2030,GS,93.7,93.7,93.7,93.7,93.7,93.7,1,93.7,16-AUG-2023,1,IN0020200294,
5PAISA,EQ,446,458,446,449.4,447,449.35,35353,16015335.85,16-AUG-2023,4086,INE618L01018,
610GS2031,GS,94.58,96.9,94.58,96.9,96.9,97,1078,104455.88,16-AUG-2023,4,IN0020210095,
618GS2024,GS,102.24,102.24,102.24,102.24,102.24,99.75,302,30876.48,16-AUG-2023,3,IN0020190396,
619GS2034,GS,92.29,92.29,92.29,92.29,92.29,94.65,1,92.29,16-AUG-2023,1,IN0020200096,
622GS2035,GS,93.51,93.51,93.51,93.51,93.51,94.5,2,187.02,16-AUG-2023,1,IN0020200245,
63MOONS,EQ,263.95,289.15,262.2,289.15,289.15,262.9,344376,97508912.7,16-AUG-2023,5339,INE111B01023,
654GS2032,GS,94.51,96.75,94.51,96.73,96.73,96.49,5602,541951.24,16-AUG-2023,5,IN0020210244,
667GS2035,GS,96.35,96.35,95.99,95.99,95.99,96.35,115,11077.75,16-AUG-2023,12,IN0020210152,
667GS2050,GS,94,94,92.1,92.11,92.1,94,320,29485.3,16-AUG-2023,3,IN0020200252,
669GS2024,GS,100.3,100.3,100.3,100.3,100.3,100.21,500,50150,16-AUG-2023,1,IN0020220052,
676GS2061,GS,94.5,95.5,93.36,93.36,93.36,98,492,46728.9,16-AUG-2023,4,IN0020200401,
689GS2025,GS,100,100.99,99.25,100.79,100.79,100.9,1607,161578.32,16-AUG-2023,11,IN0020220128,
68GS2060,GS,97,97,94.2,94.89,94.2,94.7,19028,1806202.95,16-AUG-2023,16,IN0020200187,
695GS2061,GS,99.49,99.49,98.5,98.5,98.5,97,2,197.99,16-AUG-2023,2,IN0020210202,
699GS2026,GS,101.65,101.65,101.65,101.65,101.65,101.61,200,20330,16-AUG-2023,1,IN0020230028,
699GS2051,GS,96.04,98.5,96.04,98.5,98.5,98.5,103,10138.12,16-AUG-2023,2,IN0020210194,
706GS2028,GS,102.1,103.26,102.03,103.26,103.26,102.45,15170,1549971.14,16-AUG-2023,14,IN0020230010,
710GS2029,GS,102.25,102.25,101.92,102.05,102.05,102.25,25000,2551341.77,16-AUG-2023,15,IN0020220011,
717GS2030,GS,101.5,102.3,101.5,102.3,102.3,102.55,12025,1228832.4,16-AUG-2023,12,IN0020230036,
718GS2033,GS,100.3,100.3,100.3,100.3,100.3,100,10,1003,16-AUG-2023,1,IN0020230085,
725GS2063,GS,99.8,100,99.7,99.7,99.7,99.98,50083,5003997.3,16-AUG-2023,29,IN0020230044,
726GS2032,GS,104,104,103.95,103.95,103.95,104,2500,259900,16-AUG-2023,3,IN0020220060,
726GS2033,GS,101.6,101.6,100.9,101.25,101.25,101.6,6347,642174.53,16-AUG-2023,13,IN0020220151,
736GS2052,GS,101.89,104.5,101.89,102.03,102.03,104.5,4,410.43,16-AUG-2023,4,IN0020220086,
738GS2027,GS,101.7,101.94,101.6,101.85,101.83,101.94,41179,4191337.73,16-AUG-2023,52,IN0020220037,
73GS2053,GS,100.1,100.35,100,100.12,100.2,100.6,20870,2092627,16-AUG-2023,15,IN0020230051,
741GS2036,GS,102.49,102.49,102.2,102.26,102.25,102.49,30551,3128685.48,16-AUG-2023,20,IN0020220102,
749GJ28,SG,99.75,99.75,99.75,99.75,99.75,95,900,89775,16-AUG-2023,1,IN1520220337,
74GS2062,GS,104,104,103.6,103.9,104,104,3913,406223.71,16-AUG-2023,25,IN0020220094,
754GS2036,GS,103.99,103.99,103.81,103.88,103.9,103.98,446524,46399116.58,16-AUG-2023,227,IN0020220029,
75GS2034,GS,104,104,103.9,103.9,103.9,104.9,2640,274472,16-AUG-2023,5,IN0020040039,
795GS2032,GS,109.5,109.5,109.5,109.5,109.5,109.25,25,2737.5,16-AUG-2023,1,IN0020020106,
824GS2027,GS,106,106,106,106,106,105.54,30,3180,16-AUG-2023,2,IN0020060078,
897GS2030,GS,118.06,118.06,118,118,118,118,21,2478.06,16-AUG-2023,3,IN0020110055,
91D021123,TB,98.5,98.5,98.5,98.5,98.5,98.2,100,9850,16-AUG-2023,1,IN002023X187,
91D051023,TB,98.8,98.8,98.8,98.8,98.8,98.8,500,49400,16-AUG-2023,2,IN002023X146,
91D070923,TB,99.45,99.45,99.45,99.45,99.45,99.3,200,19890,16-AUG-2023,2,IN002023X104,
91D091123,TB,98,98.05,98,98,98,98.05,23900,2342545,16-AUG-2023,32,IN002023X195,
91D140923,TB,99.3,99.3,99.3,99.3,99.3,99.3,300,29790,16-AUG-2023,2,IN002023X112,
91D210923,TB,99.06,99.06,99.06,99.06,99.06,99,100,9906,16-AUG-2023,1,IN002023X120,
91D240823,TB,99.8,99.8,99.8,99.8,99.8,99.7,100,9980,16-AUG-2023,1,IN002023X088,
92GS2030,GS,114.35,114.6,114.35,114.35,114.35,113.75,42724,4886648.7,16-AUG-2023,23,IN0020130053,
A2ZINFRA,EQ,7.5,7.8,7.35,7.8,7.8,7.45,358601,2791181.3,16-AUG-2023,243,INE619I01012,
AAATECH,EQ,53.05,53.5,52.45,52.65,52.75,53.3,17543,924759.15,16-AUG-2023,254,INE0D0U01013,
AAKASH,BE,5.9,5.9,5.8,5.85,5.85,5.85,166685,977182.9,16-AUG-2023,315,INE087Z01024,
AAREYDRUGS,BE,46.5,46.55,45.2,45.75,45.25,47.55,201559,9172950.45,16-AUG-2023,621,INE198H01019,
AARON,BE,250.05,255,247,250.4,252.8,250.05,6429,1615610.9,16-AUG-2023,421,INE721Z01010,
AARTECH,EQ,138.5,138.5,131.95,138.3,138.5,131.95,205179,28362812.6,16-AUG-2023,1009,INE01C001018,
AARTIDRUGS,EQ,557.2,571.45,550,562.35,562.45,561.85,181151,102058341.95,16-AUG-2023,8772,INE767A01016,
AARTIIND,EQ,462,463.55,457.4,461.2,461.9,463.9,622509,287129831.05,16-AUG-2023,16532,INE769A01020,
AARTIPHARM,EQ,345.8,354,342,348.7,349.2,344.8,230412,80402133.75,16-AUG-2023,8537,INE0LRU01027,
AARTIPP,E1,294.95,299,293.15,296.4,299,294.95,45,13334.7,16-AUG-2023,25,IN909EO01012,
AARTISURF,EQ,609.6,611,600,602.95,600,599.8,9691,5867593,16-AUG-2023,1438,INE09EO01013,
AARTISURF,P1,195,195,195,195,195,214,1,195,16-AUG-2023,1,INE09EO04017,
AARVEEDEN,EQ,23.25,23.4,22,22.6,22.4,23.25,40318,921146.65,16-AUG-2023,325,INE273D01019,
AARVI,EQ,128.55,129.75,125.55,126.4,126.15,130.7,20300,2582320.4,16-AUG-2023,711,INE754X01016,
AATMAJ,SM,49.55,50.2,48.6,48.6,48.6,49.55,18000,887200,16-AUG-2023,9,INE0OB201016,
AAVAS,EQ,1600.75,1603,1571.6,1584.85,1585,1600.75,250152,395675722.75,16-AUG-2023,11671,INE216P01012,
ABAN,EQ,39.8,40.8,39.8,40.1,40,39.95,105800,4261636.85,16-AUG-2023,939,INE421A01028,
ABB,EQ,4354.7,4400,4255.1,4299.85,4299.5,4354.7,295770,1271818379.95,16-AUG-2023,34659,INE117A01022,
ABBOTINDIA,EQ,23650.05,23980.2,23400,23904.2,23894.95,23637.8,7441,176416368.4,16-AUG-2023,3271,INE358A01014,
ABCAPITAL,EQ,182.7,182.8,179.85,181.9,182.2,182.65,1984157,359828954.35,16-AUG-2023,30014,INE674K01013,
ABCOTS,SM,52.2,56.7,52.2,55.15,55.15,50.4,48000,2663600,16-AUG-2023,12,INE08PH01015,
ABFRL,EQ,211.75,212.25,208,211.65,211.5,211.95,1368687,287324854.05,16-AUG-2023,12380,INE647O01011,
ABMINTLLTD,BE,35.1,35.1,34.3,34.3,34.3,36.1,1409,48407.85,16-AUG-2023,45,INE251C01025,
ABSLAMC,EQ,398,398.85,391,392.6,392.5,398.45,51119,20115233.8,16-AUG-2023,2816,INE404A01024,
ABSLBANETF,EQ,45.85,45.85,44.01,44.36,44.35,44.51,77958,3444439.59,16-AUG-2023,437,INF209KB17D5,
ABSLLIQUID,EQ,999.99,1000.01,999.99,1000.01,1000.01,999.99,2145,2145018.55,16-AUG-2023,2,INF209KB18T9,
ABSLNN50ET,EQ,47.45,47.45,45.01,45.4,45.45,45.4,13018,587061.07,16-AUG-2023,174,INF209KB16D7,
ACC,EQ,1905,1905,1880,1892.15,1890.15,1910.35,288181,545165086.5,16-AUG-2023,23380,INE012A01025,
ACCELYA,EQ,1391.85,1457.9,1387.05,1452.8,1455,1386.3,72389,104022412.8,16-AUG-2023,8005,INE793A01012,
ACCURACY,BE,9.5,9.7,9.2,9.35,9.45,9.5,211682,2003185,16-AUG-2023,662,INE648Z01023,
ACE,EQ,771.7,787,770.25,783.4,784,770.25,218187,170184902.1,16-AUG-2023,13104,INE731H01025,
ACEINTEG,BE,36.75,37,36.75,37,37,37.75,111,4104.25,16-AUG-2023,2,INE543V01017,
ACI,EQ,539.95,552,535.05,547.55,543,539.15,293689,160413919.1,16-AUG-2023,13846,INE128X01021,
ACL,BE,111.95,111.95,105,108.2,108.2,106.7,17228,1886797.95,16-AUG-2023,301,INE666E01020,
ADANIENT,EQ,2450,2465,2420,2445.1,2442,2456,7084828,17364807267.65,16-AUG-2023,130359,INE423A01024,
ADANIGREEN,EQ,956.6,962.75,942.8,948.5,949.8,951.25,812634,772006275.2,16-AUG-2023,43953,INE364U01010,
ADANIPORTS,EQ,786,786,772.45,776.1,774.85,787.15,11481440,8913093855.8,16-AUG-2023,114239,INE742F01042,
ADANIPOWER,EQ,286,291.7,274.4,279.9,283.05,286.1,33737517,9493894614.85,16-AUG-2023,144185,INE814H01011,
ADANITRANS,EQ,795,822.9,795,818.1,819.6,808.3,7337822,5972859819.4,16-AUG-2023,70723,INE931S01010,
ADFFOODS,EQ,1088.75,1115,1081.05,1097.55,1110,1088.75,22883,25144606.3,16-AUG-2023,2854,INE982B01019,
ADL,BE,74.5,78,71.15,74.25,74,74.5,1021,76244.95,16-AUG-2023,25,INE0CHO01012,
ADORWELD,EQ,1098,1098.7,1070,1092.2,1097,1115.55,59211,64351340.35,16-AUG-2023,9941,INE045A01017,
ADROITINFO,BE,20.65,20.65,19,19.85,20,19.7,89027,1773809.25,16-AUG-2023,218,INE737B01033,
ADSL,EQ,130.6,137.2,130.6,134.05,133.25,131.75,290369,38976385.9,16-AUG-2023,4304,INE102I01027,
ADVANIHOTR,EQ,79.5,82,78.6,81.1,81,79.45,79370,6417281.5,16-AUG-2023,1513,INE199C01026,
ADVENZYMES,EQ,330,335.7,327.65,328.55,328.8,333.5,101976,33855363.45,16-AUG-2023,5106,INE837H01020,
AEGISCHEM,EQ,362,366.45,357.55,358.85,357.55,364.55,118270,42718945.45,16-AUG-2023,5404,INE208C01025,
AETHER,EQ,1064.9,1068.45,1043.15,1048.4,1051.95,1059.85,65209,68628954.2,16-AUG-2023,6197,INE0BWX01014,
AFFLE,EQ,1067.35,1095,1060,1091.85,1092,1067.6,180116,194992137.1,16-AUG-2023,13012,INE00WC01027,
AGARIND,EQ,819.7,862,817.15,858.7,861.5,807.6,102613,86785697,16-AUG-2023,10323,INE204E01012,
AGARWALFT,SM,37.5,37.5,37,37,37,37,9000,334500,16-AUG-2023,3,INE0MLA01012,
AGI,EQ,684.1,697.7,666.7,688.05,686.5,678.65,277099,189729421.8,16-AUG-2023,17584,INE415A01038,
