SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
20MICRONS,EQ,58.4,58.9,55.6,57.1,56.3,58.6,103961,5912654.45,17-AUG-2021,1643,INE144J01027,,65894,63.38
21STCENMGM,EQ,28.3,28.3,28.3,28.3,28.3,27.75,6976,197420.8,17-AUG-2021,19,INE253B01015,,6123,87.77
3IINFOTECH,BE,8.1,8.2,7.75,7.95,8,8.05,3036341,24198823.85,17-AUG-2021,6689,INE748C01020,,-,-
3MINDIA,EQ,24100,24100,23695,23780.3,24000.15,23842.25,4460,106105555.85,17-AUG-2021,3328,INE470A01017,,3744,83.95
3PLAND,BE,15.35,15.35,14.2,14.6,14.6,14.7,1051,15422.15,17-AUG-2021,33,INE105C01023,,-,-
5PAISA,EQ,488.5,488.5,470.35,478.45,481,486.05,18739,8983192.75,17-AUG-2021,764,INE618L01018,,7944,42.39
63MOONS,EQ,92.05,96,91.1,92.8,93,91.55,77665,7287465.8,17-AUG-2021,1678,INE111B01023,,40640,52.33
662GS2051,GS,90.45,90.45,90.45,90.45,90.45,88.37,17000,1537650,17-AUG-2021,1,IN0020160092,,17000,100.00
667GS2050,GS,96.5,96.51,96.5,96.5,96.5,96.99,4012,387173.12,17-AUG-2021,7,IN0020200252,,4012,100.00
675GJ31,SG,100,100,100,100,100,100,100,10000,17-AUG-2021,1,IN1520210023,,,
676GS2061,GS,98.85,98.99,98.85,98.99,98.99,98.85,1041,102978.59,17-AUG-2021,7,IN0020200401,,1041,100.00
726GS2029,GS,105,105,105,105,105,105,800,84000,17-AUG-2021,2,IN0020180454,,800,100.00
75GS2034,GS,101.85,101.85,101.85,101.85,101.85,97,25400,2586990,17-AUG-2021,1,IN0020040039,,25400,100.00
772GS2049,GS,116.41,116.41,116.41,116.41,116.41,110.87,100,11641,17-AUG-2021,1,IN0020190032,,100,100.00
824GS2033,GS,115,115,115,115,115,116.5,400,46000,17-AUG-2021,3,IN0020140052,,400,100.00
A2ZINFRA,EQ,4.5,4.55,4.4,4.4,4.4,4.6,341600,1507440.25,17-AUG-2021,482,INE619I01012,,164636,48.20
AAATECH,SM,47,47,44.75,45,45,47,18000,815550,17-AUG-2021,5,INE0D0U01013,,9000,50.00
AAKASH,EQ,268.8,268.8,263.3,265.8,264.2,265.9,92921,24693122.8,17-AUG-2021,370,INE087Z01016,,47983,51.64
AAREYDRUGS,EQ,41,41,38.25,38.8,38.35,39.8,61438,2432294.95,17-AUG-2021,795,INE198H01019,,39307,63.98
AARON,EQ,105.8,105.8,98.55,100.6,100.85,103.7,10625,1059254.1,17-AUG-2021,309,INE721Z01010,,9150,86.12
