SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,61.45,61.6,58.15,58.95,59.25,61.15,232749,13867444.1,17-DEC-2021,3675,INE144J01027,
21STCENMGM,EQ,51.95,51.95,51.95,51.95,51.95,53,3328,172889.6,17-DEC-2021,69,INE253B01015,
3IINFOLTD,EQ,105.35,105.35,105.35,105.35,105.35,110.85,288059,30347015.65,17-DEC-2021,3769,INE748C01038,
3MINDIA,EQ,25040,25040,24461.55,24536.1,24480,24926.6,4205,103305502.55,17-DEC-2021,1419,INE470A01017,
3PLAND,EQ,14.25,14.25,12.9,13.7,13.8,13.9,10185,137469.9,17-DEC-2021,83,INE105C01023,
515GS2025,GS,96.02,96.02,96.02,96.02,96.02,96.02,100,9602,17-DEC-2021,1,IN0020200278,
585GS2030,GS,93.5,93.5,93.5,93.5,93.5,98.4,25,2337.5,17-DEC-2021,3,IN0020200294,
5PAISA,EQ,438.5,440.75,415,416.75,416,439.25,16654,7032439.65,17-DEC-2021,1039,INE618L01018,
622GS2035,GS,97.5,99,97.5,99,99,99.7,302,29448,17-DEC-2021,2,IN0020200245,
63MOONS,EQ,193.1,199.6,186.45,186.45,186.45,196.25,362262,68490452.05,17-DEC-2021,4156,INE111B01023,
667GS2050,GS,99.02,99.2,97.63,97.97,98.4,99.2,26313,2598390.73,17-DEC-2021,36,IN0020200252,
676GS2061,GS,100,100,100,100,100,101.13,125,12500,17-DEC-2021,2,IN0020200401,
68GS2060,GS,99.5,99.5,99.5,99.5,99.5,103.4,2,199,17-DEC-2021,1,IN0020200187,
695GS2061,GS,101.5,101.5,100,101,101,101.5,300,30250,17-DEC-2021,3,IN0020210202,
706GS2046,GS,103.8,103.8,103.8,103.8,103.8,103,90,9342,17-DEC-2021,1,IN0020160068,
727GS2026,GS,103.45,103.45,103.45,103.45,103.45,103.55,100,10345,17-DEC-2021,1,IN0020190016,
757GS2033,GS,107.81,107.81,107.81,107.81,107.81,107,46,4959.26,17-DEC-2021,3,IN0020190065,
772GS2055,GS,110,110,110,110,110,110,805,88550,17-DEC-2021,10,IN0020150077,
A2ZINFRA,BE,8.15,8.2,7.55,7.95,7.95,7.85,1274636,10019525.75,17-DEC-2021,1713,INE619I01012,
AAKASH,EQ,247.5,247.5,231.1,236.45,232.95,245.55,46702,11243118.15,17-DEC-2021,536,INE087Z01016,
AAREYDRUGS,EQ,40.45,40.45,34.5,38.05,37.9,39.65,135309,5138529,17-DEC-2021,1027,INE198H01019,
AARON,EQ,114.7,116.5,110.15,110.7,110.2,112.8,3777,425351.55,17-DEC-2021,185,INE721Z01010,
AARTIDRUGS,EQ,544.6,544.6,526.05,530.2,532.55,544.6,140285,74750480.6,17-DEC-2021,9562,INE767A01016,
AARTIIND,EQ,983,984,957,969.95,966.35,983.2,374773,363660738.7,17-DEC-2021,17829,INE769A01020,
AARTISURF,EQ,1095,1095,1038.2,1042.75,1048.4,1069.55,41517,43403389.85,17-DEC-2021,1766,INE09EO01013,
AARVEEDEN,EQ,25.9,25.9,24.4,24.5,24.6,25.45,28893,718217.1,17-DEC-2021,300,INE273D01019,
AARVI,EQ,77.8,77.8,69.5,70.25,71,75.7,142840,10338188.7,17-DEC-2021,1046,INE754X01016,
AAVAS,EQ,2587,2587,2502,2529.25,2530.05,2557.5,18234,46231061.9,17-DEC-2021,5145,INE216P01012,
ABAN,BE,49.25,49.25,46.45,46.65,46.8,48.85,74181,3497707.6,17-DEC-2021,641,INE421A01028,
ABB,EQ,2230,2262.65,2170,2199.75,2191,2234.9,169226,371223551.65,17-DEC-2021,8603,INE117A01022,
ABBOTINDIA,EQ,18251,18367,17900,18104.9,18144,18439.95,11504,208978630.6,17-DEC-2021,4596,INE358A01014,
ABCAPITAL,EQ,121,121.5,115.7,116.6,116.7,120.85,3614920,424806548,17-DEC-2021,29269,INE674K01013,
ABFRL,EQ,273.65,280.7,267,269.4,269.2,274.25,5658286,1545565765.65,17-DEC-2021,52820,INE647O01011,
ABINFRA,SM,6.05,6.05,6.05,6.05,6.05,5.8,4000,24200,17-DEC-2021,1,INE00YB01017,
ABMINTLLTD,EQ,107.95,107.95,101.25,104.4,104.4,106.55,912,94776.3,17-DEC-2021,70,INE251C01025,
ABSLAMC,EQ,579,579,545.1,550.95,552.95,572.2,525443,290997756.1,17-DEC-2021,29776,INE404A01024,
ABSLBANETF,EQ,35.9,36.8,35.43,35.48,35.43,36.42,12392,442767.74,17-DEC-2021,168,INF209KB17D5,
ABSLNN50ET,EQ,43.1,43.1,42.1,42.4,42.55,43.2,8703,370314.56,17-DEC-2021,126,INF209KB16D7,
ACC,EQ,2266,2274,2207.5,2215.05,2214.75,2266.45,290265,648172979,17-DEC-2021,20358,INE012A01025,
ACCELYA,EQ,1065,1070.75,1030,1035.45,1048,1061.9,19738,20681293.05,17-DEC-2021,2996,INE793A01012,
ACCORD,SM,15.7,15.7,15.7,15.7,15.7,16.5,2000,31400,17-DEC-2021,1,INE113X01015,
ACCURACY,EQ,213.5,213.5,200.1,202.3,200.6,211.1,25799,5289207.65,17-DEC-2021,1145,INE648Z01015,
