SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
182D020524,TB,97.72,97.72,97.72,97.72,97.72,97.76,400,39088,18-JAN-2024,1,IN002023Y326,,,
182D040724,TB,96.55,96.75,96.55,96.75,96.75,96.55,1300,125535,18-JAN-2024,7,IN002023Y417,,,
182D060624,TB,97.03,97.03,97.03,97.03,97.03,97.03,1100,106733,18-JAN-2024,2,IN002023Y375,,,
182D070324,TB,98.96,98.96,98.96,98.96,98.96,98.95,100,9896,18-JAN-2024,1,IN002023Y243,,,
182D110724,TB,96.35,96.55,96.35,96.42,96.4,96.74,3200,308368,18-JAN-2024,8,IN002023Y425,,,
182D130624,TB,97,97,97,97,97,97,1000,97000,18-JAN-2024,1,IN002023Y383,,,
182D140324,TB,98.81,98.81,98.81,98.81,98.81,98.66,100,9881,18-JAN-2024,1,IN002023Y250,,,
182D160524,TB,97.44,97.77,97.44,97.77,97.77,97.44,1200,116961,18-JAN-2024,3,IN002023Y342,,,
182D180424,TB,98.05,98.1,98.05,98.1,98.1,98,300,29420,18-JAN-2024,2,IN002023Y300,,,
182D200624,TB,97,97,96.75,96.75,96.75,97,800,77450,18-JAN-2024,3,IN002023Y391,,,
182D220224,TB,99.12,99.24,99.11,99.24,99.24,99.09,1800,178440,18-JAN-2024,4,IN002023Y227,,,
182D230524,TB,97.3,97.3,97.3,97.3,97.3,97.3,200,19460,18-JAN-2024,1,IN002023Y359,,,
182D250424,TB,98.17,98.17,98.17,98.17,98.17,98.03,1000,98170,18-JAN-2024,1,IN002023Y318,,,
182D270624,TB,96.62,96.62,96.62,96.62,96.62,96.62,200,19324,18-JAN-2024,2,IN002023Y409,,,
182D290224,TB,99.1,99.1,99.1,99.1,99.1,99.01,400,39640,18-JAN-2024,1,IN002023Y235,,,
182D300524,TB,97.4,97.4,97.4,97.4,97.4,97.4,1000,97400,18-JAN-2024,1,IN002023Y367,,,
20MICRONS,EQ,170.9,171.9,164.3,169.35,169.05,169.7,101110,17025081.9,18-JAN-2024,9490,INE144J01027,,34788,34.41
21STCENMGM,BE,36.85,36.85,35.5,36.85,36.85,36.15,43043,1579820.65,18-JAN-2024,179,INE253B01015,,-,-
360ONE,EQ,646.55,654.5,638.1,643.05,644,646.55,229384,147929515.95,18-JAN-2024,16476,INE466L01038,,131993,57.54
364D020125,TB,93.16,93.35,93.16,93.21,93.21,93.57,700,65284,18-JAN-2024,4,IN002023Z422,,,
364D020524,TB,97.71,97.71,97.71,97.71,97.71,97.56,5000,488550,18-JAN-2024,1,IN002023Z067,,,
364D031024,TB,95.14,95.14,95.14,95.14,95.14,94.81,200,19028,18-JAN-2024,1,IN002023Z299,,,
364D050924,TB,95.64,95.64,95.64,95.64,95.64,95.52,900,86076,18-JAN-2024,1,IN002023Z257,,,
364D051224,TB,93.66,93.66,93.66,93.66,93.66,93.66,1200,112392,18-JAN-2024,4,IN002023Z380,,,
364D060624,TB,97.34,97.34,97.34,97.34,97.34,97.01,14800,1440632,18-JAN-2024,1,IN002023Z117,,,
364D090125,TB,93.45,93.45,93.2,93.2,93.2,93.45,1800,167885,18-JAN-2024,3,IN002023Z430,,,
364D130624,TB,97.2,97.2,97.2,97.2,97.2,96.9,1100,106920,18-JAN-2024,1,IN002023Z125,,,
364D160524,TB,97.73,97.73,97.73,97.73,97.73,97.45,5600,547288,18-JAN-2024,1,IN002023Z083,,,
364D171024,TB,94.55,94.55,94.55,94.55,94.55,94.32,600,56730,18-JAN-2024,1,IN002023Z315,,,
364D180724,TB,96.56,96.56,96.56,96.56,96.56,96.3,5000,482800,18-JAN-2024,1,IN002023Z174,,,
364D191224,TB,93.41,93.41,93.41,93.41,93.41,93.41,100,9341,18-JAN-2024,1,IN002023Z406,,,
