SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,35,35.1,33.95,34.55,34.75,34,49820,1717801.3,18-NOV-2016,337,INE144J01027,
3IINFOTECH,EQ,5.4,5.4,5,5.25,5.3,5.15,1766172,9198777.2,18-NOV-2016,923,INE748C01020,
3MINDIA,EQ,12250,12435,11901,12200.55,12257.15,12140.05,681,8250640.6,18-NOV-2016,221,INE470A01017,
8KMILES,EQ,660.05,672.3,645,649.3,650,665.75,27025,17725018.35,18-NOV-2016,1987,INE650K01021,
A2ZINFRA,EQ,35.9,35.9,34.55,34.85,34.8,34.6,346115,12094517.75,18-NOV-2016,1932,INE619I01012,
AARTIDRUGS,EQ,590,602,585.1,598.75,599.9,593.15,13439,8027852.4,18-NOV-2016,662,INE767A01016,
AARTIIND,EQ,707,714.7,691.75,701,706,705.8,29746,20951261.6,18-NOV-2016,1658,INE769A01020,
AARVEEDEN,EQ,79.1,79.1,75.95,77.7,76.5,81,10456,813480.8,18-NOV-2016,200,INE273D01019,
ABAN,EQ,212,214.55,208.2,209.8,209,212,536609,113545188.1,18-NOV-2016,7330,INE421A01028,
ABB,EQ,1063.9,1063.95,1043.95,1053.2,1050,1053.1,19622,20617002.55,18-NOV-2016,1369,INE117A01022,
ABBOTINDIA,EQ,4539.95,4550,4465.15,4536.75,4499,4541.15,2037,9184501.4,18-NOV-2016,615,INE358A01014,
ABFRL,EQ,134.9,136,132,133.4,132.75,134.65,728708,97481726.4,18-NOV-2016,15182,INE647O01011,
ABGSHIP,EQ,28.8,28.8,27.35,28.25,28.5,27.65,290047,8134603.95,18-NOV-2016,1580,INE067H01016,
ABIRLANUVO,EQ,1187.7,1193.9,1157.55,1185.15,1185,1181.9,190656,224303202.55,18-NOV-2016,10982,INE069A01017,
ACC,EQ,1306,1318.45,1291,1309.7,1311,1301.4,204142,266400253.95,18-NOV-2016,12039,INE012A01025,
ACCELYA,EQ,1443.05,1443.05,1405.3,1427.45,1430,1447.25,1547,2206102.95,18-NOV-2016,224,INE793A01012,
ACE,EQ,42.6,44.5,40,43.65,43.6,42.8,303221,13074303,18-NOV-2016,1469,INE731H01025,
ADANIENT,EQ,62.9,65,62.25,64.35,64.7,62.95,2512944,160784041.4,18-NOV-2016,11609,INE423A01024,
ADANIPORTS,EQ,265,266.3,256.8,261.9,262.1,264.6,2821119,740487473.25,18-NOV-2016,25742,INE742F01042,
ADANIPOWER,EQ,24.5,24.75,24.3,24.55,24.6,24.45,1890044,46366542.25,18-NOV-2016,3198,INE814H01011,
ADANITRANS,EQ,44.3,45,44.05,44.8,44.6,44.1,317751,14164434.2,18-NOV-2016,2086,INE931S01010,
ADFFOODS,EQ,139,143.95,135.65,141.95,143.95,136.65,105590,14842472.85,18-NOV-2016,1969,INE982B01019,
ADHUNIK,EQ,7,7.05,6.7,6.9,6.95,6.7,31414,216656.6,18-NOV-2016,502,INE400H01019,
ADHUNIKIND,EQ,105,112,105,108.75,108,107.6,10913,1175408.05,18-NOV-2016,43,INE452L01012,
ADI,EQ,444.5,449.9,435,444.3,448,453.4,7229,3187700.7,18-NOV-2016,332,INE959A01019,
ADLABS,EQ,80.6,82.8,80.6,81.9,82.55,79.75,139667,11417268.65,18-NOV-2016,2101,INE172N01012,
ADORWELD,EQ,282,290,281.95,286.1,286.8,283.5,1791,513303.8,18-NOV-2016,121,INE045A01017,
ADSL,EQ,27.15,27.4,26.2,26.55,26.5,27.1,75465,2028520.9,18-NOV-2016,523,INE102I01027,
ADVANIHOTR,EQ,50,52.8,50,51.35,51.35,50.45,1170,58608.25,18-NOV-2016,10,INE199C01026,
ADVENZYMES,EQ,1863,1900,1810,1869.5,1875,1852.05,117087,217031821.1,18-NOV-2016,9953,INE837H01012,
AEGISCHEM,EQ,146,150.2,144,149.1,148.5,145,417753,61919423.35,18-NOV-2016,2974,INE208C01025,
AFL,EQ,55.5,56.6,55,55.75,56,55.15,12078,672552.45,18-NOV-2016,58,INE020G01017,
AGARIND,EQ,291.05,311,276,295.25,296,294.95,28598,8396835.25,18-NOV-2016,837,INE204E01012,
AGCNET,EQ,80.3,80.3,77,78.4,77.05,77.7,4023,316630.9,18-NOV-2016,92,INE676A01019,
AGRITECH,BE,33,33,32,32.25,32.25,33.45,210,6834,18-NOV-2016,4,INE449G01018,
AGROPHOS,SM,23.45,24.65,23.45,23.8,23.85,23.4,420000,10076100,18-NOV-2016,68,INE740V01019,
AHLEAST,EQ,185.1,195,185.1,191.5,188,190,193,36003,18-NOV-2016,9,INE926K01017,
AHLUCONT,EQ,257.75,268.7,254.1,255.05,254.1,260.3,206644,53722330,18-NOV-2016,413,INE758C01029,
AHLWEST,EQ,185,211.1,182.65,193.65,198,190.15,952,183257.8,18-NOV-2016,37,INE915K01010,
AIAENG,EQ,1235,1262,1203,1239.1,1235.25,1240.15,37769,46357217.95,18-NOV-2016,6084,INE212H01026,
AICHAMP,BE,31,31,31,31,31,29.85,1,31,18-NOV-2016,1,INE768E01024,
AIFL,EQ,399.9,400.95,380,389.35,382.35,391.2,75520,29406508.3,18-NOV-2016,1224,INE428O01016,
AJANTPHARM,EQ,1798.5,1825.1,1789.9,1801.6,1803,1796.2,82547,148732757.4,18-NOV-2016,15193,INE031B01049,
AJMERA,EQ,108,110,99.1,101.7,102,108.95,81420,8473162.3,18-NOV-2016,1325,INE298G01027,
AKSHOPTFBR,EQ,23,23.15,22.55,22.8,22.8,22.65,2799966,64040017.5,18-NOV-2016,5253,INE523B01011,
AKZOINDIA,EQ,1461,1461,1421.2,1445.9,1453,1441.8,4485,6455110.55,18-NOV-2016,1192,INE133A01011,
ALANKIT,EQ,50.95,54,46.75,50.1,50.1,50.85,437228,22204784.2,18-NOV-2016,2180,INE914E01032,
ALBERTDAVD,EQ,321,332.55,317.1,323.2,322,324.35,5394,1755579.55,18-NOV-2016,179,INE155C01010,
ALBK,EQ,71.7,72.45,70.2,71.5,71.55,70.85,4096196,293133678.85,18-NOV-2016,14874,INE428A01015,
ALCHEM,EQ,21.65,22.25,21.65,21.95,22,21.2,2612,57189.55,18-NOV-2016,30,INE964B01033,
ALEMBICLTD,EQ,34.75,34.9,33.5,33.8,33.75,34.6,255662,8718306.45,18-NOV-2016,1141,INE426A01027,
ALICON,EQ,390,390,368.05,377.2,374.1,381.55,5565,2094438.95,18-NOV-2016,217,INE062D01024,
ALKALI,EQ,65.5,65.9,60,63.45,63.1,64.75,4562,287550.5,18-NOV-2016,122,INE773I01017,
ALKEM,EQ,1610,1654,1610,1641.2,1636.8,1617.05,50096,82533094.05,18-NOV-2016,4572,INE540L01014,
ALKYLAMINE,EQ,306.7,307.9,290,302.55,302.5,310.1,13589,4095030,18-NOV-2016,491,INE150B01021,
ALLCARGO,EQ,172.8,174.05,167.1,169.1,169.55,170.5,47874,8135632.95,18-NOV-2016,1216,INE418H01029,
ALLSEC,EQ,296.1,304.95,295.1,299.9,301,300.75,25735,7712955,18-NOV-2016,414,INE835G01018,
ALMONDZ,EQ,12,12.5,12,12.5,12.5,12.6,4560,55170,18-NOV-2016,6,INE326B01027,
ALOKTEXT,EQ,2.85,2.9,2.7,2.75,2.8,2.8,4836782,13429136.45,18-NOV-2016,1171,INE270A01011,
ALPA,BE,32.2,33.25,30.5,30.9,30.7,31.85,17880,563539.95,18-NOV-2016,90,INE385I01010,
ALPHAGEO,EQ,856.5,887.75,842.05,871.3,880,849.8,11908,10301796.7,18-NOV-2016,1245,INE137C01018,
ALPSINDUS,EQ,5.6,6.05,5.6,6,6.05,6,34222,203337.05,18-NOV-2016,70,INE093B01015,
AMARAJABAT,EQ,932,943.9,915.5,936.5,938.7,929.55,599239,556770485.3,18-NOV-2016,12323,INE885A01032,
AMBIKCO,EQ,1004.4,1019.9,980.85,990.25,982.35,990.1,5091,5094030.5,18-NOV-2016,795,INE540G01014,
AMBUJACEM,EQ,195.25,199.95,191.85,198.8,197.7,194.05,3710895,729003615.25,18-NOV-2016,40351,INE079A01024,
AMDIND,EQ,28,28.65,27.3,27.85,28.5,29.1,17976,507673.8,18-NOV-2016,289,INE005I01014,
AMRUTANJAN,EQ,514.95,542,510.05,531.45,531,516.2,33341,17581201.2,18-NOV-2016,2437,INE098F01023,
AMTEKAUTO,EQ,35,35.5,34.1,34.4,34.3,34.85,691839,24020712.9,18-NOV-2016,2862,INE130C01021,
AMTL,EQ,27.3,29.1,27.3,28.5,28.5,28.25,3029,86781,18-NOV-2016,13,INE436N01029,
ANANTRAJ,EQ,36.2,36.55,35.2,35.65,35.5,36.2,706117,25303623.3,18-NOV-2016,2945,INE242C01024,
ANDHRABANK,EQ,54.15,54.8,53.65,54.1,54.1,53.95,2181845,118376290.15,18-NOV-2016,7549,INE434A01013,
ANDHRACEMT,EQ,7.1,7.35,6.75,6.8,6.8,6.9,166358,1149786.05,18-NOV-2016,357,INE666E01012,
ANDHRSUGAR,EQ,199.5,213.65,196.35,207.35,207,198,163202,33929547.85,18-NOV-2016,2811,INE715B01013,
ANGIND,EQ,10.15,10.85,10.15,10.35,10.35,10.55,23361,242081.25,18-NOV-2016,112,INE017D01010,
ANIKINDS,BE,20.55,21.1,20.55,20.65,20.55,21.6,2926,60778.9,18-NOV-2016,22,INE087B01017,
ANKITMETAL,EQ,1.85,1.9,1.8,1.9,1.9,1.8,51622,95593.45,18-NOV-2016,56,INE106I01010,
ANSALAPI,EQ,15.5,16.2,15.25,15.5,15.45,15.6,69387,1083257.5,18-NOV-2016,288,INE436A01026,
ANSALHSG,EQ,17.75,18.5,16.5,16.85,17,17.55,153064,2682099.1,18-NOV-2016,511,INE880B01015,
ANTGRAPHIC,BE,0.85,0.85,0.85,0.85,0.85,0.9,2575,2188.75,18-NOV-2016,4,INE414B01021,
APARINDS,EQ,569.6,575.2,562.45,570.45,570.5,563.7,10008,5699554.35,18-NOV-2016,1324,INE372A01015,
APCOTEXIND,EQ,305.05,320,303,316.55,319.6,308.7,7443,2335832.2,18-NOV-2016,295,INE116A01024,
APLAPOLLO,EQ,886.05,900.9,885,896.55,896,895.25,4597,4116530.55,18-NOV-2016,457,INE702C01019,
APLLTD,EQ,607,607.55,589.1,602.15,606,609.6,105161,62906223.5,18-NOV-2016,7294,INE901L01018,
APOLLOHOSP,EQ,1177,1206.75,1161,1196.25,1194,1168.75,160168,189945081.4,18-NOV-2016,12290,INE437A01024,
APOLLOTYRE,EQ,186.6,190.3,183.25,189.2,189.2,185.6,2019695,378357322.35,18-NOV-2016,20050,INE438A01022,
APOLSINHOT,EQ,411.4,412.65,411.4,412.65,412.65,393,308,126984.95,18-NOV-2016,12,INE451F01016,
APTECHT,EQ,158.3,161.65,156,156.95,156.05,157.15,614889,97376542.45,18-NOV-2016,8723,INE266F01018,
ARCHIDPLY,EQ,50.3,53.4,49.2,50.25,50.3,50.05,74522,3776595.35,18-NOV-2016,1141,INE877I01016,
ARCHIES,EQ,23.2,23.2,21.9,22.35,22.35,22.3,42675,948972.1,18-NOV-2016,227,INE731A01020,
ARCOTECH,EQ,354.35,364.8,346.35,348.35,347,348.35,104879,36649582.85,18-NOV-2016,5612,INE574I01027,
ARIES,EQ,108.85,113.3,105.55,110.5,110,106.4,30407,3324705.15,18-NOV-2016,744,INE298I01015,
ARIHANT,EQ,54,54,44.2,47.7,47.7,51.65,1216,58171.85,18-NOV-2016,37,INE413D01011,
ARMANFIN,EQ,188.45,197.5,180,189.5,194.5,190.35,8960,1695708.35,18-NOV-2016,392,INE109C01017,
AROGRANITE,EQ,67.45,67.45,63.25,65.1,65,65.1,16122,1046183.6,18-NOV-2016,273,INE210C01013,
ARROWGREEN,EQ,425,440,423,425.4,430,423.15,12804,5553800.35,18-NOV-2016,605,INE570D01018,
ARROWTEX,EQ,37,37,35,35.15,35,36.6,17110,607998.85,18-NOV-2016,154,INE933J01015,
ARSHIYA,EQ,26.05,26.3,25.6,25.7,25.6,26.05,20856,542389.6,18-NOV-2016,77,INE968D01022,
ARSSINFRA,EQ,57.65,63.3,56.1,59.85,59.8,56.55,282111,16945891.75,18-NOV-2016,4144,INE267I01010,
ARVIND,EQ,346,348.95,336.15,341.6,342,344.65,1858173,633609135.2,18-NOV-2016,26286,INE034A01011,
ARVINFRA,EQ,71.15,73.8,70.7,71.7,70.7,72.5,22904,1664274.55,18-NOV-2016,382,INE034S01021,
ASAHIINDIA,EQ,173,181,172,179.65,179,173.1,33632,5900529.35,18-NOV-2016,636,INE439A01020,
ASAHISONG,EQ,208.05,215,207.95,210.95,212,207.35,29615,6238792.25,18-NOV-2016,1235,INE228I01012,
