SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 20-Aug-2024"," 112.65"," 118.00"," 118.28"," 118.00"," 118.28"," 118.04"," 118.04"," 4634"," 5.47"," 10"," 4634"," 100.00"
20MICRONS," EQ"," 20-Aug-2024"," 330.00"," 333.00"," 339.00"," 321.25"," 323.50"," 323.75"," 330.37"," 545313"," 1801.56"," 9848"," 236393"," 43.35"
21STCENMGM," BE"," 20-Aug-2024"," 101.03"," 103.05"," 103.05"," 103.05"," 103.05"," 103.05"," 103.05"," 3612"," 3.72"," 11"," -"," -"
360ONE," EQ"," 20-Aug-2024"," 1098.05"," 1111.00"," 1112.85"," 1070.55"," 1099.95"," 1098.75"," 1087.55"," 286388"," 3114.61"," 22841"," 134425"," 46.94"
3IINFOLTD," EQ"," 20-Aug-2024"," 34.44"," 34.80"," 35.22"," 34.42"," 34.81"," 35.00"," 34.82"," 794497"," 276.64"," 5357"," 383908"," 48.32"
3MINDIA," EQ"," 20-Aug-2024"," 35426.45"," 35721.00"," 36060.00"," 35036.00"," 35295.00"," 35275.80"," 35570.30"," 5140"," 1828.31"," 3361"," 2457"," 47.80"
3PLAND," BE"," 20-Aug-2024"," 42.92"," 42.00"," 43.55"," 42.00"," 42.90"," 42.32"," 42.46"," 18099"," 7.68"," 157"," -"," -"
563GS2026," GS"," 20-Aug-2024"," 99.75"," 99.15"," 99.39"," 99.15"," 99.15"," 99.15"," 99.23"," 306"," 0.30"," 3"," 306"," 100.00"
574GS2026," GS"," 20-Aug-2024"," 98.90"," 99.47"," 99.50"," 98.64"," 98.91"," 98.91"," 98.95"," 478"," 0.47"," 7"," 430"," 89.96"
5PAISA," EQ"," 20-Aug-2024"," 498.50"," 504.00"," 529.30"," 500.20"," 527.00"," 524.70"," 515.32"," 301778"," 1555.12"," 22585"," 153826"," 50.97"
618GS2024," GS"," 20-Aug-2024"," 101.80"," 99.97"," 99.97"," 99.97"," 99.97"," 99.97"," 99.97"," 2"," 0.00"," 1"," 2"," 100.00"
63MOONS," EQ"," 20-Aug-2024"," 330.35"," 334.60"," 344.00"," 332.05"," 337.60"," 338.05"," 339.40"," 228007"," 773.85"," 5651"," 102071"," 44.77"
654GS2032," GS"," 20-Aug-2024"," 98.50"," 99.25"," 99.25"," 98.26"," 99.00"," 99.00"," 98.91"," 24503"," 24.24"," 5"," 24501"," 99.99"
667GS2035," GS"," 20-Aug-2024"," 99.95"," 99.95"," 99.95"," 99.95"," 99.95"," 99.95"," 99.95"," 1"," 0.00"," 1"," 1"," 100.00"
676GS2061," GS"," 20-Aug-2024"," 99.77"," 99.95"," 99.95"," 98.16"," 99.70"," 99.70"," 99.70"," 916"," 0.91"," 6"," 916"," 100.00"
697GR2034," GS"," 20-Aug-2024"," 99.50"," 99.50"," 99.50"," 99.50"," 99.50"," 99.50"," 99.50"," 300"," 0.30"," 7"," 300"," 100.00"
699GS2026," GS"," 20-Aug-2024"," 102.70"," 102.70"," 102.70"," 102.67"," 102.67"," 102.67"," 102.69"," 6441"," 6.61"," 7"," 5441"," 84.47"
699GS2051," GS"," 20-Aug-2024"," 100.99"," 98.51"," 101.00"," 98.50"," 100.25"," 100.25"," 98.58"," 1801"," 1.78"," 5"," 1801"," 100.00"
702GS2027," GS"," 20-Aug-2024"," 101.40"," 101.41"," 101.42"," 101.41"," 101.42"," 101.42"," 101.42"," 200"," 0.20"," 3"," 200"," 100.00"
702GS2031," GS"," 20-Aug-2024"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 101.20"," 200"," 0.20"," 2"," 200"," 100.00"
704GS2029," GS"," 20-Aug-2024"," 101.45"," 101.45"," 101.45"," 101.45"," 101.45"," 101.45"," 101.45"," 100"," 0.10"," 1"," 100"," 100.00"
706GS2028," GS"," 20-Aug-2024"," 102.82"," 103.16"," 103.18"," 103.13"," 103.13"," 103.13"," 103.16"," 5900"," 6.09"," 4"," 5900"," 100.00"
710GS2029," GS"," 20-Aug-2024"," 103.51"," 103.41"," 103.75"," 103.25"," 103.75"," 103.75"," 103.46"," 28700"," 29.69"," 20"," 27200"," 94.77"
717GS2030," GS"," 20-Aug-2024"," 103.99"," 103.98"," 103.98"," 103.40"," 103.40"," 103.40"," 103.82"," 11430"," 11.87"," 6"," 9630"," 84.25"
718GS2033," GS"," 20-Aug-2024"," 102.20"," 102.20"," 102.49"," 102.20"," 102.49"," 102.33"," 102.27"," 205494"," 210.15"," 23"," 205484"," 100.00"
718GS2037," GS"," 20-Aug-2024"," 102.95"," 102.62"," 102.94"," 102.62"," 102.85"," 102.85"," 102.80"," 39121"," 40.22"," 9"," 27121"," 69.33"
71GS2034," GS"," 20-Aug-2024"," 103.01"," 103.06"," 104.55"," 103.06"," 104.05"," 104.05"," 104.54"," 36400"," 38.05"," 12"," 36000"," 98.90"
723GS2039," GS"," 20-Aug-2024"," 104.00"," 103.95"," 103.95"," 103.95"," 103.95"," 103.95"," 103.95"," 100"," 0.10"," 1"," 100"," 100.00"
725GS2063," GS"," 20-Aug-2024"," 104.48"," 104.50"," 104.93"," 104.34"," 104.80"," 104.80"," 104.90"," 9831"," 10.31"," 6"," 9831"," 100.00"
726GS2032," GS"," 20-Aug-2024"," 105.75"," 105.75"," 105.75"," 104.59"," 104.60"," 104.60"," 104.59"," 9500"," 9.94"," 3"," 9500"," 100.00"
726GS2033," GS"," 20-Aug-2024"," 102.85"," 102.50"," 102.50"," 102.50"," 102.50"," 102.50"," 102.50"," 1000"," 1.03"," 2"," 1000"," 100.00"
727GS2026," GS"," 20-Aug-2024"," 102.86"," 102.25"," 102.25"," 102.25"," 102.25"," 102.25"," 102.25"," 1000"," 1.02"," 1"," 1000"," 100.00"
732GS2030," GS"," 20-Aug-2024"," 104.00"," 103.15"," 104.50"," 103.15"," 104.40"," 104.35"," 103.63"," 13372"," 13.86"," 15"," 9752"," 72.93"
733GS2026," GS"," 20-Aug-2024"," 103.30"," 103.20"," 103.45"," 102.60"," 103.25"," 103.25"," 103.26"," 39260"," 40.54"," 23"," 26960"," 68.67"
734GS2064," GS"," 20-Aug-2024"," 105.00"," 105.25"," 107.00"," 105.25"," 107.00"," 107.00"," 106.21"," 3892"," 4.13"," 12"," 3892"," 100.00"
737GS2028," GS"," 20-Aug-2024"," 104.50"," 103.65"," 104.01"," 103.65"," 104.00"," 104.00"," 104.00"," 25300"," 26.31"," 4"," 25200"," 99.60"
738GS2027," GS"," 20-Aug-2024"," 102.97"," 102.95"," 103.10"," 102.66"," 102.90"," 102.91"," 102.95"," 328199"," 337.88"," 48"," 328108"," 99.97"
73GS2053," GS"," 20-Aug-2024"," 104.72"," 104.75"," 105.50"," 104.75"," 105.50"," 105.50"," 104.90"," 105401"," 110.56"," 16"," 100400"," 95.26"
741GS2036," GS"," 20-Aug-2024"," 104.75"," 104.70"," 105.50"," 104.25"," 105.45"," 105.45"," 104.74"," 49002"," 51.32"," 4"," 49000"," 100.00"
746GS2073," GS"," 20-Aug-2024"," 107.20"," 106.95"," 109.00"," 106.95"," 108.00"," 108.00"," 108.10"," 7691"," 8.31"," 15"," 6501"," 84.53"
74GS2062," GS"," 20-Aug-2024"," 107.50"," 107.50"," 108.49"," 107.00"," 108.48"," 108.48"," 108.14"," 29413"," 31.81"," 19"," 19063"," 64.81"
