SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,29.1,30.2,28.65,29.55,29.3,29.3,18560,542570.65,20-JUN-2016,146,INE144J01027,
3IINFOTECH,EQ,5.25,5.35,5.05,5.15,5.1,5.4,4764632,24705217.6,20-JUN-2016,1404,INE748C01020,
3MINDIA,EQ,12341,12505,12341,12369.55,12395,12428.15,364,4527138,20-JUN-2016,148,INE470A01017,
8KMILES,EQ,1810,1819,1770,1786.7,1775,1831.15,35940,64410479.2,20-JUN-2016,3215,INE650K01013,
A2ZINFRA,EQ,34.85,35.85,34.4,35,35,35.2,931301,32595073,20-JUN-2016,3559,INE619I01012,
AARTIDRUGS,EQ,450.6,460,450.6,458.05,457.05,456.55,6381,2910571.5,20-JUN-2016,236,INE767A01016,
AARTIIND,EQ,495.9,505.6,485,499.85,501,497.3,17713,8790651.75,20-JUN-2016,1179,INE769A01020,
AARVEEDEN,EQ,73.05,74,67.65,69.25,69,72.05,31971,2234826,20-JUN-2016,385,INE273D01019,
ABAN,EQ,206.55,213.45,206.55,211.1,210.55,209.55,949552,200432092.7,20-JUN-2016,11251,INE421A01028,
ABB,EQ,1227,1235.4,1219,1221.5,1221,1238.85,27079,33133500.25,20-JUN-2016,2129,INE117A01022,
ABBOTINDIA,EQ,4392,4458.45,4392,4442.35,4435,4392.85,1461,6488194.7,20-JUN-2016,383,INE358A01014,
ABFRL,EQ,130.15,134.1,130.15,132.1,132,132.65,354756,47059154.95,20-JUN-2016,6899,INE647O01011,
ABGSHIP,EQ,29.8,31.55,29.25,31.55,31.55,30.05,559264,17265233.65,20-JUN-2016,2264,INE067H01016,
ABIRLANUVO,EQ,1032,1047.1,1026.35,1033.95,1034,1035.4,183248,189432577.65,20-JUN-2016,13622,INE069A01017,
ACC,EQ,1538.4,1574.05,1538.4,1570.15,1568.1,1555.4,189189,294103190.15,20-JUN-2016,6634,INE012A01025,
ACCELYA,EQ,1098,1110,1075,1085.7,1092,1098.45,2064,2249700.35,20-JUN-2016,213,INE793A01012,
ACE,EQ,40.5,41.3,40.1,40.3,40.1,40.95,142745,5781450.3,20-JUN-2016,524,INE731H01025,
ACROPETAL,BE,2.35,2.45,2.35,2.4,2.4,2.35,17697,42932.65,20-JUN-2016,16,INE055L01013,
ADANIENT,EQ,78,80.8,77.4,79.75,79.95,78.8,1971264,156904667.75,20-JUN-2016,7571,INE423A01024,
ADANIPORTS,EQ,203.35,208.9,203.35,206.8,207,207.7,1787203,369728534.25,20-JUN-2016,15656,INE742F01042,
ADANIPOWER,EQ,29.55,30.05,29.5,29.7,29.65,29.8,2145760,63827249.3,20-JUN-2016,4231,INE814H01011,
ADANITRANS,EQ,34,34.95,34,34.75,34.55,34.55,313279,10872377.25,20-JUN-2016,1340,INE931S01010,
ADFFOODS,EQ,85.5,90.9,84.3,88.4,88.35,86.05,93885,8304831.45,20-JUN-2016,1419,INE982B01019,
ADHUNIK,EQ,8,8.2,7.7,7.95,8.1,7.7,75674,608386.05,20-JUN-2016,551,INE400H01019,
ADI,EQ,306,316,287.75,306.9,311,315,13214,4046547.6,20-JUN-2016,338,INE959A01019,
ADLABS,EQ,82,83.45,80.8,81,81.55,81.45,108859,8901347.6,20-JUN-2016,1418,INE172N01012,
ADORWELD,EQ,283,285.05,278.25,279.85,278.3,283.1,3375,949742.6,20-JUN-2016,132,INE045A01017,
ADSL,EQ,32.55,33,32,32.6,32.8,32.45,86680,2827774.25,20-JUN-2016,775,INE102I01027,
ADVANIHOTR,EQ,57.5,57.95,55,56.7,56.7,57.25,3754,211910.7,20-JUN-2016,31,INE199C01026,
ADVANTA,EQ,593.35,595,586,589.25,587.2,594.35,6239,3676677.45,20-JUN-2016,551,INE517H01028,
AEGISCHEM,EQ,119,121.7,116.05,120.7,120.5,120.05,338061,40497295.95,20-JUN-2016,2943,INE208C01025,
AFL,EQ,56,56.4,55,56.2,56.3,55.6,4495,251450.3,20-JUN-2016,52,INE020G01017,
AGARIND,EQ,130,134.7,129.55,130.1,130,130.45,1829,238952.55,20-JUN-2016,109,INE204E01012,
AGCNET,EQ,62,64,61,62.8,62.8,62.05,5227,329504.55,20-JUN-2016,113,INE676A01019,
AGRITECH,EQ,8.8,8.8,8.3,8.3,8.3,8.55,2300,19140,20-JUN-2016,6,INE449G01018,
AGRODUTCH,EQ,2.6,2.6,2.45,2.45,2.45,2.35,385,960,20-JUN-2016,6,INE135B01014,
AHLEAST,EQ,187.7,187.7,176,184.95,184.95,182,47,8651,20-JUN-2016,14,INE926K01017,
AHLUCONT,EQ,270,275.05,270,272.95,271.5,272.85,2129,581503.4,20-JUN-2016,82,INE758C01029,
AHLWEST,EQ,147,147,140.05,144,145.85,143.55,1228,176876.1,20-JUN-2016,14,INE915K01010,
AIAENG,EQ,1034.7,1035.95,1006.55,1017.4,1013,1035.05,9500,9672297.3,20-JUN-2016,1313,INE212H01026,
AICHAMP,BE,31.5,31.5,31.5,31.5,31.5,30,1,31.5,20-JUN-2016,1,INE768E01024,
AIFL,EQ,253,258.75,245.5,252,249.55,255.45,43127,10947517.95,20-JUN-2016,488,INE428O01016,
AIL,EQ,610,614.9,601.6,610.35,612,616.05,7926,4839921.85,20-JUN-2016,595,INE878A01011,
AJANTPHARM,EQ,1502,1526.9,1492.1,1517.95,1524.65,1502.45,82138,124378588.4,20-JUN-2016,6212,INE031B01049,
AJMERA,EQ,153.5,157.7,152.65,156.3,156.1,154.35,80410,12559884.2,20-JUN-2016,1532,INE298G01027,
AKSHOPTFBR,EQ,15.4,15.85,15.1,15.65,15.6,15.55,791880,12329174.2,20-JUN-2016,1128,INE523B01011,
AKZOINDIA,EQ,1541,1541,1513.65,1528.1,1530,1515.1,3630,5542730.55,20-JUN-2016,367,INE133A01011,
ALANKIT,EQ,127.8,136,125.2,134.5,134,128.65,366492,48140619.5,20-JUN-2016,1930,INE914E01032,
ALBERTDAVD,EQ,321,321,305.15,315.55,315,320,232,72637,20-JUN-2016,13,INE155C01010,
ALBK,EQ,56.75,60.6,56.35,60,60.05,58.25,7867809,464580514.6,20-JUN-2016,22604,INE428A01015,
ALCHEM,EQ,22.8,23.35,21.85,23.1,22.8,22.75,5417,123938.05,20-JUN-2016,54,INE964B01033,
ALEMBICLTD,EQ,37.25,37.65,37,37.3,37.35,37.4,145133,5427547.5,20-JUN-2016,818,INE426A01027,
ALICON,EQ,308.15,315,308.1,313.25,310.1,308.2,1136,355212.6,20-JUN-2016,59,INE062D01024,
ALKALI,EQ,53.95,54,52.05,53.25,53.45,53.15,3408,180485.65,20-JUN-2016,45,INE773I01017,
ALKEM,EQ,1381.8,1392,1363.15,1385.05,1378.1,1385.15,52698,72776993.55,20-JUN-2016,3057,INE540L01014,
ALKYLAMINE,EQ,340,344.9,335.3,339.1,337.95,339.15,2730,931954.6,20-JUN-2016,79,INE150B01021,
ALLCARGO,EQ,161,164.3,156,159.25,159.2,162.8,177627,28575469.6,20-JUN-2016,5069,INE418H01029,
ALLSEC,EQ,183.25,189.5,183.25,185,183.55,184.8,8657,1604946.15,20-JUN-2016,261,INE835G01018,
ALMONDZ,EQ,12.4,12.65,12.4,12.4,12.4,12.65,2200,27555,20-JUN-2016,9,INE326B01027,
ALOKTEXT,EQ,3.9,4.4,3.8,4.25,4.25,3.85,9631561,39989695.1,20-JUN-2016,3208,INE270A01011,
ALPA,BE,28.65,29.75,28.65,29.15,28.95,29.4,15940,464909.8,20-JUN-2016,83,INE385I01010,
