SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 20-Jun-2025"," 108.13"," 108.25"," 108.25"," 107.60"," 108.25"," 108.25"," 107.61"," 241"," 0.26"," 3"," 240"," 99.59"
20MICRONS," EQ"," 20-Jun-2025"," 225.29"," 225.29"," 227.99"," 221.17"," 224.65"," 224.00"," 224.31"," 98100"," 220.05"," 3060"," 50062"," 51.03"
21STCENMGM," EQ"," 20-Jun-2025"," 66.08"," 66.74"," 67.40"," 65.00"," 65.10"," 66.37"," 66.43"," 3861"," 2.56"," 131"," 2737"," 70.89"
360ONE," EQ"," 20-Jun-2025"," 1114.40"," 1107.75"," 1149.85"," 1104.40"," 1137.25"," 1137.25"," 1130.19"," 659293"," 7451.26"," 29559"," 381588"," 57.88"
3IINFOLTD," EQ"," 20-Jun-2025"," 24.40"," 24.40"," 24.84"," 24.11"," 24.50"," 24.53"," 24.51"," 419353"," 102.77"," 1791"," 190618"," 45.46"
3MINDIA," EQ"," 20-Jun-2025"," 28875.00"," 28805.00"," 28925.00"," 28455.00"," 28500.00"," 28490.00"," 28543.02"," 4717"," 1346.37"," 2865"," 2862"," 60.67"
3PLAND," EQ"," 20-Jun-2025"," 51.40"," 51.90"," 52.55"," 51.21"," 51.28"," 52.17"," 52.02"," 3655"," 1.90"," 146"," 2069"," 56.61"
563GS2026," GS"," 20-Jun-2025"," 101.14"," 101.15"," 101.15"," 101.15"," 101.15"," 101.15"," 101.15"," 1"," 0.00"," 1"," 1"," 100.00"
5PAISA," EQ"," 20-Jun-2025"," 388.95"," 391.65"," 393.20"," 386.05"," 388.65"," 390.00"," 390.09"," 19699"," 76.84"," 2723"," 8540"," 43.35"
633GS2035," GS"," 20-Jun-2025"," 100.40"," 99.45"," 100.50"," 99.45"," 100.50"," 100.50"," 99.98"," 200"," 0.20"," 2"," 200"," 100.00"
63MOONS," EQ"," 20-Jun-2025"," 873.55"," 885.00"," 887.90"," 853.70"," 858.00"," 861.30"," 867.00"," 211402"," 1832.86"," 10070"," 83060"," 39.29"
