SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,25.4,25.75,24.75,24.9,24.85,24.85,30354,760600.1,20-MAY-2020,431,INE144J01027,
21STCENMGM,EQ,10.5,10.7,10.3,10.7,10.7,10.5,997,10389.7,20-MAY-2020,59,INE253B01015,
3IINFOTECH,EQ,1.5,1.6,1.5,1.6,1.6,1.55,2490967,3956971.05,20-MAY-2020,862,INE748C01020,
3MINDIA,EQ,16880,17700,16830.4,17524.15,17648,16830.4,2574,44309263.7,20-MAY-2020,1429,INE470A01017,
3PLAND,EQ,5.15,5.15,5.15,5.15,5.15,5.15,1,5.15,20-MAY-2020,1,INE105C01023,
509GS2022,GS,96,101.8,96,101.8,101.8,96.96,2,197.8,20-MAY-2020,2,IN0020200021,
5PAISA,EQ,146.8,149.9,141.05,143.25,145,146.95,17135,2467476,20-MAY-2020,306,INE618L01018,
617GS2021,GS,101,101,101,101,101,100,100,10100,20-MAY-2020,2,IN0020190099,
63MOONS,BE,52.05,54,51.9,52,52,52.35,7775,404913.3,20-MAY-2020,188,INE111B01023,
716GS2050,GS,105,105,105,105,105,105,105,11025,20-MAY-2020,2,IN0020200054,
719GS2060,GS,106,106.55,106,106.55,106.55,105,240,25462,20-MAY-2020,4,IN0020200039,
727GS2026,GS,105.84,105.84,105.84,105.84,105.84,100.8,100,10584,20-MAY-2020,1,IN0020190016,
757GS2033,GS,113.8,113.8,113.5,113.5,113.5,109,17496,1990896,20-MAY-2020,3,IN0020190065,
772GS2049,GS,111,116.55,111,116.55,116.55,111,20,2322.9,20-MAY-2020,4,IN0020190032,
832GS2032,GS,103,103,103,103,103,108.38,100,10300,20-MAY-2020,1,IN0020070044,
A2ZINFRA,EQ,3.6,3.7,3.55,3.65,3.7,3.6,72459,261305.3,20-MAY-2020,159,INE619I01012,
AARTIDRUGS,EQ,767,799.9,766.3,797.15,798,766.65,117272,92095067.15,20-MAY-2020,6298,INE767A01016,
AARTIIND,EQ,999,1005.5,982.45,1001.45,1005.4,991.9,141246,140706603.85,20-MAY-2020,9130,INE769A01020,
AARVEEDEN,EQ,8.5,8.75,8.35,8.65,8.65,8.7,6042,52129.9,20-MAY-2020,43,INE273D01019,
AARVI,SM,22,22,22,22,22,22,4000,88000,20-MAY-2020,1,INE754X01016,
AAVAS,EQ,1020,1049,1011.35,1029,1032.2,1027.8,13752,14160155.15,20-MAY-2020,2838,INE216P01012,
ABAN,BE,16.8,17.9,16.8,17.15,17.1,17.55,18939,325936.55,20-MAY-2020,190,INE421A01028,
ABB,EQ,788.9,788.9,773,774.35,775.05,784.5,64779,50278069.3,20-MAY-2020,4371,INE117A01022,
ABBOTINDIA,EQ,16580,16777,16225,16635.2,16770,16506.15,14389,236409297.35,20-MAY-2020,4976,INE358A01014,
ABCAPITAL,EQ,43,44.35,42.1,44.05,44,42.8,1993780,86513499.75,20-MAY-2020,9044,INE674K01013,
ABFRL,EQ,104,105.8,102,103.05,102.7,103.15,1206934,125597281.6,20-MAY-2020,12993,INE647O01011,
ABSLFTSGRN,MF,10.8,10.8,10.8,10.8,10.8,10.7,1200,12960,20-MAY-2020,1,INF209KB1H65,
ABSLNN50ET,EQ,238.32,269,228.2,255.65,255.65,238.32,343,86669.73,20-MAY-2020,41,INF209KB1B87,
ACC,EQ,1136.45,1176.95,1130.6,1170.85,1172,1138.45,972861,1125900524.1,20-MAY-2020,39099,INE012A01025,
ACCELYA,EQ,915.1,917.65,907.3,910.7,907.3,915.1,6491,5925647.05,20-MAY-2020,871,INE793A01012,
ACE,EQ,42.5,43.25,41.2,41.95,41.95,42.05,99198,4177423.25,20-MAY-2020,775,INE731H01025,
ADANIENT,EQ,139.5,143.2,138,141.35,142,139.7,2872608,404993435.45,20-MAY-2020,19958,INE423A01024,
ADANIGAS,EQ,107,107.65,105.5,106.35,106.3,106.35,903249,96083302.35,20-MAY-2020,7722,INE399L01023,
ADANIGREEN,EQ,231,235.5,227,234.7,235,233.65,354733,82234997.6,20-MAY-2020,10036,INE364U01010,
ADANIPORTS,EQ,318,324.8,311.55,323.75,323.1,319.2,6985480,2230056743.4,20-MAY-2020,73140,INE742F01042,
ADANIPOWER,EQ,36.5,37,34.15,34.6,34.75,35.3,46375146,1635262760.85,20-MAY-2020,71990,INE814H01011,
ADANITRANS,EQ,186,188.55,180.2,184.35,182.9,185,265420,48804439.35,20-MAY-2020,6182,INE931S01010,
ADFFOODS,EQ,236.25,250.6,228,250.5,250.6,238.7,68218,16666185.85,20-MAY-2020,2753,INE982B01019,
ADHUNIKIND,EQ,21.4,21.4,21.4,21.4,21.4,20.4,5270,112778,20-MAY-2020,31,INE452L01012,
ADORWELD,EQ,221.95,229.9,216.55,227.3,226.55,221.95,2241,505847.2,20-MAY-2020,121,INE045A01017,
ADROITINFO,BE,6,6.25,5.75,6.1,6.1,6,12809,78269,20-MAY-2020,118,INE737B01033,
ADSL,EQ,12.4,12.85,12.05,12.3,12.35,12.55,20664,253511,20-MAY-2020,104,INE102I01027,
ADVANIHOTR,EQ,38.85,38.85,37.1,38.5,38.5,37.9,7907,301006.7,20-MAY-2020,48,INE199C01026,
ADVENZYMES,EQ,162,162.3,157,158.1,158,160.1,80414,12832713.85,20-MAY-2020,2058,INE837H01020,
AEGISCHEM,EQ,168.65,173.3,168.65,170.65,170.9,170.75,48816,8336385.35,20-MAY-2020,2253,INE208C01025,
AFFLE,BE,1347,1405.95,1298,1405.95,1405.95,1339,37329,51837261.15,20-MAY-2020,2309,INE00WC01019,
AGARIND,EQ,57.55,58.5,56.05,56.7,56.25,58.85,3930,223573,20-MAY-2020,76,INE204E01012,
AGCNET,BE,250,255,237.5,241.45,238.5,249.8,962,232880.65,20-MAY-2020,28,INE676A01019,
AGRITECH,BE,32.35,32.35,29.65,31.6,31.65,31.05,2239,69147.95,20-MAY-2020,57,INE449G01018,
AGROPHOS,EQ,8.35,8.35,8.35,8.35,8.35,8.75,22664,189244.4,20-MAY-2020,50,INE740V01019,
AHLEAST,EQ,133,136.95,126.5,127.1,126.5,131,1788,233730.05,20-MAY-2020,116,INE926K01017,
AHLUCONT,EQ,165.15,167.9,161.35,164.45,162.7,166.9,1258,206803.2,20-MAY-2020,88,INE758C01029,
AHLWEST,BE,220,238.4,215.7,238.4,238.4,227.05,377,81612.1,20-MAY-2020,45,INE915K01010,
AIAENG,EQ,1600.05,1650,1585,1644,1650,1609.35,94515,152262085.25,20-MAY-2020,5123,INE212H01026,
AIONJSW,BE,11.05,11.95,11.05,11.8,11.9,11.45,20319,235657.5,20-MAY-2020,66,INE743C01021,
AIRAN,EQ,9.5,9.65,9.2,9.45,9.3,9.45,1766,16612.25,20-MAY-2020,49,INE645W01026,
AISL,SM,18.3,18.3,18.3,18.3,18.3,18.7,1200,21960,20-MAY-2020,1,INE635Y01015,
AJANTPHARM,EQ,1395,1459.8,1380,1439.05,1457.9,1394.45,228104,322370883.7,20-MAY-2020,12518,INE031B01049,
AJMERA,EQ,78.65,79.9,78.45,79.35,79.75,78.6,15915,1259234.9,20-MAY-2020,329,INE298G01027,
AKG,SM,33.55,33.55,33.25,33.25,33.25,33.25,20000,667000,20-MAY-2020,5,INE00Y801016,
AKSHARCHEM,EQ,188,193.5,187,191.8,190.1,188.35,15883,3021832.3,20-MAY-2020,810,INE542B01011,
AKSHOPTFBR,EQ,4.4,4.5,4.3,4.4,4.45,4.4,101015,446206,20-MAY-2020,213,INE523B01011,
AKZOINDIA,EQ,1778.8,1830,1765,1806.9,1795,1778.8,5902,10557269.25,20-MAY-2020,1332,INE133A01011,
ALANKIT,EQ,14.2,14.9,14,14.2,14.1,14.65,56822,807478.95,20-MAY-2020,357,INE914E01040,
ALBERTDAVD,EQ,475.1,500,475,491.05,490,479,43613,21397097.65,20-MAY-2020,2723,INE155C01010,
ALCHEM,BE,3.75,3.75,3.75,3.75,3.75,3.6,6650,24937.5,20-MAY-2020,13,INE964B01033,
ALEMBICLTD,EQ,52.05,53.5,51.5,51.8,51.6,52.05,446848,23393725.9,20-MAY-2020,6092,INE426A01027,
ALICON,EQ,203.9,206.95,198,203.65,206.95,202.05,1246,251553.8,20-MAY-2020,79,INE062D01024,
ALKALI,EQ,40.15,46.25,37.55,44.25,43.1,38.9,67009,2898687.7,20-MAY-2020,998,INE773I01017,
ALKEM,EQ,2384,2445,2361.05,2433.65,2440,2372.85,53335,128287777.2,20-MAY-2020,7050,INE540L01014,
ALKYLAMINE,EQ,1740,1774.65,1730.15,1750.5,1764,1721.55,23792,41624739.3,20-MAY-2020,3480,INE150B01021,
ALLCARGO,EQ,64.5,67.4,64.5,65.95,65.75,65.55,50928,3364503.45,20-MAY-2020,1160,INE418H01029,
ALLSEC,EQ,164.1,169.9,162.1,168.1,168.2,163.1,5908,984723.6,20-MAY-2020,257,INE835G01018,
ALMONDZ,EQ,10.95,10.95,10.65,10.95,10.95,11.2,221,2360.1,20-MAY-2020,10,INE326B01027,
ALOKINDS,EQ,13.3,13.3,12.1,13.3,13.3,12.7,58166209,734450372.05,20-MAY-2020,51047,INE270A01029,
ALPA,EQ,17.45,17.7,16.8,16.95,16.8,17.45,16393,278682.6,20-MAY-2020,177,INE385I01010,
ALPHAGEO,EQ,148,150.35,147.05,150.05,150,147.7,5387,803350,20-MAY-2020,388,INE137C01018,
ALPSINDUS,BE,0.8,0.8,0.75,0.75,0.8,0.75,11863,9481.25,20-MAY-2020,28,INE093B01015,
AMARAJABAT,EQ,560.05,572,551.2,569,565.25,564.9,1485073,838325209.1,20-MAY-2020,28188,INE885A01032,
AMBER,EQ,1125.3,1201,1120,1182.25,1179.8,1125.3,83774,97854233.8,20-MAY-2020,7857,INE371P01015,
AMBIKCO,EQ,649.6,649.6,636.1,644.75,643,647.95,638,410982.9,20-MAY-2020,207,INE540G01014,
AMBUJACEM,EQ,174.5,181.55,172.35,179.65,179.85,174.6,2833520,502856936.95,20-MAY-2020,35330,INE079A01024,
AMDIND,EQ,11.25,11.8,11.1,11.5,11.5,11.5,2213,24995.8,20-MAY-2020,24,INE005I01014,
AMJLAND,EQ,14.85,15,14.65,14.9,15,14.45,1695,25216.1,20-MAY-2020,15,INE606A01024,
AMJUMBO,SM,11.2,11.4,10.45,10.45,10.45,11,48000,518000,20-MAY-2020,6,INE749Y01014,
AMRUTANJAN,EQ,337.25,343.5,327,335.35,335.05,341.75,133287,44385522.05,20-MAY-2020,4616,INE098F01031,
ANANTRAJ,EQ,15.15,15.15,14.35,14.75,15,14.65,66791,978554.5,20-MAY-2020,246,INE242C01024,
ANDHRACEMT,BE,3.8,3.8,3.8,3.8,3.8,3.65,196694,747437.2,20-MAY-2020,284,INE666E01012,
ANDHRAPAP,EQ,170.9,170.9,161,166.25,167,163.4,4783,791884.45,20-MAY-2020,145,INE435A01028,
ANDHRSUGAR,EQ,202.8,206.85,197.05,203.3,204,197,19092,3873380.3,20-MAY-2020,549,INE715B01013,
ANIKINDS,BE,10.8,10.8,9.9,10.6,10.75,10.4,3646,36854.4,20-MAY-2020,27,INE087B01017,
ANKITMETAL,EQ,0.35,0.35,0.35,0.35,0.35,0.35,6276,2196.6,20-MAY-2020,7,INE106I01010,
ANSALAPI,BE,5.15,5.4,5,5.25,5.4,5.2,15465,79593.2,20-MAY-2020,39,INE436A01026,
ANSALHSG,EQ,3.05,3.05,2.9,3,3,3,16007,47565.35,20-MAY-2020,58,INE880B01015,
ANUP,EQ,268.05,270.85,261,267.7,270,268,6191,1634375.9,20-MAY-2020,296,INE294Z01018,
APARINDS,EQ,293.3,298.7,292.95,295.35,295,295.45,2538,750061.35,20-MAY-2020,171,INE372A01015,
APCL,EQ,108.4,108.4,100,104.3,103.55,109.55,4715,491410.95,20-MAY-2020,192,INE071F01012,
APCOTEXIND,EQ,98.3,98.55,95,96.35,96,96.55,26970,2623469.8,20-MAY-2020,508,INE116A01032,
APEX,EQ,174.9,178.05,173,176.2,177,173.35,133983,23473798.05,20-MAY-2020,3369,INE346W01013,
APLAPOLLO,EQ,1267.35,1335,1251.05,1315.1,1320,1264.8,43074,55990141.9,20-MAY-2020,5024,INE702C01019,
APLLTD,EQ,867.8,882,856.65,870.3,871.75,862,112008,97696160.55,20-MAY-2020,5090,INE901L01018,
APOLLO,EQ,89.8,89.8,83.1,85.1,83.1,88.3,186283,16065846.7,20-MAY-2020,4028,INE713T01010,
APOLLOHOSP,EQ,1274.9,1298.95,1270.1,1288.45,1287,1274.25,532117,685872936.95,20-MAY-2020,35728,INE437A01024,
APOLLOPIPE,EQ,297,304.8,291.3,298,296.25,296.95,22962,6863291.25,20-MAY-2020,825,INE126J01016,
APOLLOTYRE,EQ,93.5,94.4,89,90.35,90.7,91.8,19650762,1794709325.45,20-MAY-2020,77445,INE438A01022,
APOLSINHOT,EQ,408.1,435,408.05,423.55,435,420,653,274543.45,20-MAY-2020,418,INE451F01024,
APTECHT,EQ,96.7,99.65,96.7,99,99.05,98.5,46134,4554890.2,20-MAY-2020,832,INE266F01018,
ARCHIDPLY,EQ,18.4,19,17.6,18.5,18.5,18.5,5216,95074.7,20-MAY-2020,97,INE877I01016,
ARCHIES,BE,10.5,10.95,10.2,10.45,10.5,10.7,9119,94227.9,20-MAY-2020,64,INE731A01020,
ARCOTECH,BE,2.05,2.05,1.95,1.95,1.95,2.05,21929,43419.95,20-MAY-2020,34,INE574I01035,
ARENTERP,EQ,8.6,8.9,8.6,8.9,8.9,9.05,39,346.8,20-MAY-2020,3,INE610C01014,
ARIES,EQ,53.35,54.8,53.3,54.5,54.2,53.8,9131,494906.15,20-MAY-2020,164,INE298I01015,
ARIHANT,EQ,14.65,15.6,13.7,15.2,14.3,14.2,3560,53430.3,20-MAY-2020,31,INE413D01011,
ARIHANTSUP,EQ,16.2,17.2,15.75,17.1,17.2,16.4,13858,230621.65,20-MAY-2020,131,INE643K01018,
ARMANFIN,EQ,314.2,340,314.15,329.15,329,327.05,10245,3343494.85,20-MAY-2020,465,INE109C01017,
AROGRANITE,EQ,20.35,20.95,19.65,20.4,20.5,20.5,3226,65836.5,20-MAY-2020,67,INE210C01013,
ARROWGREEN,BE,33.5,34.85,33.05,34.2,34.2,33.5,1020,33909.45,20-MAY-2020,13,INE570D01018,
ARSHIYA,BE,9.75,9.75,9.75,9.75,9.75,10.25,9269,90372.75,20-MAY-2020,26,INE968D01022,
