SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
3IINFOTECH,EQ,239,239,230,232.7,233.4,229.55,238317,55377825.3,21-MAR-2007,
3MINDIA,EQ,1510.05,1530,1505,1516.1,1506.2,1513.8,125,189465.55,21-MAR-2007,
AARTIDRUGS,EQ,63.95,64.9,63.5,63.6,63.55,64,9305,595376.05,21-MAR-2007,
AARTIIND,EQ,24,24.1,23.6,23.7,23.6,23.9,15530,369159.7,21-MAR-2007,
AARVEEDEN,EQ,110,114,107.85,113.15,113.05,111,80839,8957417,21-MAR-2007,
ABAN,EQ,1802,1820,1780,1814.5,1819.95,1800.15,37055,67041846.35,21-MAR-2007,
ABB,EQ,3574.95,3589.9,3482,3498.35,3490.3,3541.55,77549,271612627.85,21-MAR-2007,
ABIRLANUVO,EQ,1036,1041,1024,1038.05,1040,1034.9,16902,17492372.4,21-MAR-2007,
ABSHEKINDS,EQ,19.95,20.4,19.65,20.15,20.3,19.8,98221,1968153.15,21-MAR-2007,
ACC,EQ,752,762,737.1,752.75,748,749.2,1695976,1269205330.3,21-MAR-2007,
ACE,EQ,200,202,197,200.65,201.25,202.3,39604,7891218.3,21-MAR-2007,
ADANIENT,EQ,195.9,198.75,193,197.6,198,194.2,408790,80179229.65,21-MAR-2007,
ADHUNIK,EQ,33.55,34.9,33.55,34.6,34.7,34.05,32765,1126996.65,21-MAR-2007,
ADLABSFILM,EQ,431.7,442.8,429.6,432.3,433,426.75,127095,55475162.2,21-MAR-2007,
ADORWELD,EQ,188.5,190,188.5,189.75,189.95,189.35,10344,1961546.95,21-MAR-2007,
AEGISCHEM,EQ,115.5,115.6,112.6,114.45,113.9,116.25,6115,700406.6,21-MAR-2007,
AFL,BE,60,61,57.5,57.95,57.5,59.85,106917,6320877.3,21-MAR-2007,
AFTEK,EQ,70.5,72.2,69.3,71.5,71.35,70.15,741290,52488569.55,21-MAR-2007,
AGRODUTCH,EQ,25.5,26.35,25.4,26.15,26.1,25.8,12079,314599.9,21-MAR-2007,
AHMEDFORGE,EQ,231.55,238.95,231.5,235.15,235,230.15,8834,2097446.1,21-MAR-2007,
AIAENG,EQ,1224,1249,1190,1216.7,1200,1224.05,76774,94428340.85,21-MAR-2007,
AICHAMP,EQ,168.25,168.25,152.2,152.2,152.2,160.2,113040,17902885.4,21-MAR-2007,
AIRDECCAN,EQ,102,103.1,97.55,98.45,98,100.5,248390,24928284.35,21-MAR-2007,
AJANTPHARM,EQ,78,78.5,76.1,76.4,76.4,77.4,3157,243408.9,21-MAR-2007,
AKRUTI,EQ,423.25,427.95,417.05,420.9,421,421.35,207801,87594295.35,21-MAR-2007,
AKSHOPTFBR,EQ,44.2,48.45,44.2,48.1,48,48.65,36492,1726627.85,21-MAR-2007,
ALBK,EQ,75,76.85,74.5,75.8,75.8,75,247475,18811503.55,21-MAR-2007,
ALCHEMIST,EQ,8.5,9.35,8.5,9.05,9,9.15,122142,1119967.1,21-MAR-2007,
ALEMBICLTD,EQ,56,57.4,56,56.5,56.5,56.65,14523,821739,21-MAR-2007,
ALFALAVAL,EQ,850,854,846.15,850.25,850.05,851.05,12916,11008181.15,21-MAR-2007,
ALLCARGO,EQ,1024,1040,1017,1020.3,1018,1045.3,2581,2654254.95,21-MAR-2007,
ALLSEC,EQ,278,278,265,266.05,265,278.5,37937,10138988.05,21-MAR-2007,
ALOKTEXT,EQ,54.4,57.6,54.2,56.6,57.25,54.3,675378,38311870.8,21-MAR-2007,
ALPSINDUS,EQ,60.7,60.7,55.1,58.1,58.3,57.8,286271,16697346.6,21-MAR-2007,
AMAR,EQ,34.8,35.2,34.3,34.55,34.7,34.7,42488,1474475.75,21-MAR-2007,
AMARAJABAT,EQ,335.7,335.7,330.15,331.75,330.5,330.55,14097,4694926.55,21-MAR-2007,
AMBICAAGAR,EQ,9.9,9.9,9,9.15,9.15,9.55,15241,138793.6,21-MAR-2007,
AMDMET,EQ,82.8,83.3,78.2,79.1,79.35,81.65,2345510,189314939.35,21-MAR-2007,
AML,EQ,88.55,88.55,78,78.7,79.3,87.05,482250,39357774.65,21-MAR-2007,
AMTEKAUTO,EQ,368.5,378,361.15,371.65,370,364.65,283386,104371896.15,21-MAR-2007,
AMTEKINDIA,EQ,156,156,145.1,148.95,149,146.35,82339,12238742.5,21-MAR-2007,
ANANTRAJ,EQ,950,989.95,950,989.95,989.95,942.8,3980,3901647.6,21-MAR-2007,
ANDHRABANK,EQ,77.6,79.4,76.55,78.5,78.5,78,296898,23320977.35,21-MAR-2007,
ANDHRSUGAR,EQ,82,82.9,80.3,81.75,81.95,82.7,22046,1804518.65,21-MAR-2007,
ANGAUTO,EQ,272,278,266,266,266,276.8,300,82170,21-MAR-2007,
ANSALHSG,EQ,269,281.05,266.15,278.75,279,270.75,19856,5455415.2,21-MAR-2007,
ANSALINFRA,EQ,506,525,506,517.6,519,518.8,78792,40562771.5,21-MAR-2007,
ANTGRAPHIC,EQ,0.35,0.4,0.35,0.35,0.4,0.35,57328,20772.9,21-MAR-2007,
APARINDS,EQ,130,131,128,130.4,130.25,128.9,11837,1526812.2,21-MAR-2007,
APCOTEXIND,EQ,36.3,37,36,36.75,36.75,37.4,884,32152.55,21-MAR-2007,
APIL,EQ,403.7,406,395,402.8,403,401.55,63234,25426118.8,21-MAR-2007,
APOLLOHOSP,EQ,500,500,492.1,499.75,497,498.15,14468,7222792.05,21-MAR-2007,
APOLLOTYRE,EQ,273.6,273.6,268,269.35,268.05,271.85,4632,1251399.35,21-MAR-2007,
APPAPER,EQ,94,94,92,93,93,92.95,1635,151729.25,21-MAR-2007,
APTECHT,EQ,216.7,216.8,211.25,212.75,212.5,214.55,686078,146793869.85,21-MAR-2007,
ARCHIES,EQ,132.9,132.9,126.1,126.95,127.5,131.3,12852,1657924.7,21-MAR-2007,
ARIHANT,EQ,355.1,380,355.1,365,369,355,827,300635,21-MAR-2007,
ARL,EQ,1.5,1.55,1.5,1.55,1.55,1.5,207176,312566.85,21-MAR-2007,
ARSBONDS,N1,96.8,97.25,96.55,96.55,96.55,96.78,23755,2306895.25,21-MAR-2007,
ARVINDMILL,EQ,44.75,45.75,44.3,45.3,45.2,44.75,633172,28682261.85,21-MAR-2007,
ASAHIINDIA,EQ,118,122.45,118,120.4,122,121.8,24267,2919246.35,21-MAR-2007,
ASAL,EQ,90,95.5,89.5,90.35,90,90,6055,545953,21-MAR-2007,
ASHAPURMIN,EQ,215,216,210.35,214.95,215,211.75,4884,1039774.35,21-MAR-2007,
ASHIMASYN,EQ,8.75,8.85,8.7,8.7,8.7,8.7,6001,52695.85,21-MAR-2007,
ASHOKLEY,EQ,39.95,41,39.55,40.85,40.85,39.7,3154982,127378610.7,21-MAR-2007,
ASIANELEC,EQ,489.9,503,477.2,496.25,502,475.15,107441,53329936.8,21-MAR-2007,
ASIANHOTEL,EQ,691.5,720.25,691.5,707.25,703.05,715,3016,2147860.85,21-MAR-2007,
ASIANPAINT,EQ,705,709,692.55,707,707.75,710,3739,2624516.25,21-MAR-2007,
ASIL,EQ,6.6,7.2,6.55,6.6,6.6,6.6,1501,10014.8,21-MAR-2007,
ASSAMCO,EQ,16.9,16.9,16.4,16.45,16.45,16.7,86826,1436039.25,21-MAR-2007,
ASTRAIDL,EQ,610,613.8,601.1,609.25,609,609.5,279,169505.2,21-MAR-2007,
ASTRAL,EQ,105,107.55,97.7,98.9,100,105.35,1233419,126739301.45,21-MAR-2007,
ASTRAMICRO,EQ,136.05,137.7,135.7,136.3,136.05,136.7,12913,1765302.1,21-MAR-2007,
ATFL,EQ,75,78.4,74,76.8,76.55,74.65,37752,2880893,21-MAR-2007,
ATLANTA,EQ,366.45,366.45,366.45,366.45,366.45,385.7,892,326873.4,21-MAR-2007,
ATLASCYCLE,EQ,110.5,111,109.25,110.25,111,114.45,1273,139929.15,21-MAR-2007,
ATNINTER,EQ,1.9,1.9,1.85,1.85,1.85,1.9,8302,15373.8,21-MAR-2007,
ATUL,EQ,86,88,85,85.55,87.9,86,78695,6769891.7,21-MAR-2007,
AURIONPRO,EQ,238,249.5,236.05,244.9,246,246.3,1036,250168.85,21-MAR-2007,
AUROPHARMA,EQ,605,611,601,608.25,608,603.65,24185,14662969.7,21-MAR-2007,
AUTOAXLES,EQ,593.85,596.95,570.1,575.75,570.1,597,330,192101.25,21-MAR-2007,
AUTOIND,EQ,228,229.9,224,226.75,227.5,227,62712,14219029.35,21-MAR-2007,
AVAYAGCL,EQ,272.5,285,272.5,278.5,279,278.25,12495,3501027.9,21-MAR-2007,
AVENTIS,EQ,1260,1291.95,1250.15,1282.65,1289.9,1257.95,1643,2097313.7,21-MAR-2007,
AVTNPL,EQ,95,104.7,95,102.4,102,103.6,742,75700,21-MAR-2007,
AXIS-IT&T,EQ,11.9,11.9,11.25,11.35,11.35,11.8,3658,41400.85,21-MAR-2007,
AZTECSOFT,EQ,119.8,121,118,120,119.25,119.35,10005,1195415.65,21-MAR-2007,
BAGFILMS,BE,29.55,29.65,28.4,28.65,29,29.9,201203,5772232.95,21-MAR-2007,
BAJAJAUTO,EQ,2510,2525,2480,2498.85,2499.95,2501.2,119672,298410547.75,21-MAR-2007,
BAJAJHIND,EQ,162.15,165.5,160.05,164.55,165.1,162.9,901412,147013482.35,21-MAR-2007,
BAJAUTOFIN,EQ,425,432,409.85,425.35,427,425,4777,2025417.7,21-MAR-2007,
BALAJITELE,EQ,117.5,117.5,115.5,116.95,116.75,117.2,87878,10250912.5,21-MAR-2007,
BALASPONGE,EQ,60,60.9,59.1,60.75,60,59.2,43050,2595233.8,21-MAR-2007,
BALASTEELS,EQ,20,20.45,19.5,20.05,19.55,20.1,36577,731768.05,21-MAR-2007,
BALKRISIND,EQ,455,455.05,435.7,443.4,442.8,441.95,1634,739620.4,21-MAR-2007,
BALMLAWRIE,EQ,419,424,415,422.65,423,416.55,901,380358.8,21-MAR-2007,
BALPHARMA,EQ,28,28,27.3,27.3,27.3,28,560,15585,21-MAR-2007,
BALRAMCHIN,EQ,60,60.15,58.8,59.8,60.1,59.6,910866,54253927.55,21-MAR-2007,
BANARISUG,EQ,632,649.8,630,640.95,640,640.2,327,210551.55,21-MAR-2007,
BANCOINDIA,EQ,266,274,266,268,268,263.95,750,201390,21-MAR-2007,
BANKBARODA,EQ,208.9,214.8,197,212.9,213.8,199.7,962355,200870440.9,21-MAR-2007,
BANKBEES,EQ,526,533,519,533,533,499,152,79996,21-MAR-2007,
BANKINDIA,EQ,153.95,158,152.3,156.55,157,151.95,2115724,330497867.45,21-MAR-2007,
BANKRAJAS,EQ,38.5,39.75,38.1,39.05,39.2,38.2,403566,15777314.85,21-MAR-2007,
BARTRONICS,EQ,116.1,119,114.55,118.4,119,116.25,44982,5279147.15,21-MAR-2007,
BASF,EQ,192,192,188.95,190.1,191,191.15,9187,1744858.8,21-MAR-2007,
BASML,EQ,86.3,86.4,84.2,85.5,85.2,86.9,19599,1688835.95,21-MAR-2007,
BATAINDIA,EQ,137.3,138.9,135,136.1,136.05,137.8,206879,28225741.45,21-MAR-2007,
BATLIBOI,EQ,87.55,91.95,86.1,89.55,91.85,87.85,2329,206979.8,21-MAR-2007,
BBL,EQ,1166,1166,1131.1,1144.25,1131.1,1165.1,433,496029.9,21-MAR-2007,
BBTC,EQ,287,313.95,287,296.4,292.7,308.65,3081,930540.5,21-MAR-2007,
BCCL,EQ,43.6,44,43.5,43.6,43.95,43.6,2872,125310.65,21-MAR-2007,
BEL,EQ,1530,1534.4,1488,1503.25,1500.5,1523.35,73788,111114447.45,21-MAR-2007,
BELCERAMIC,EQ,12.3,12.45,11.6,12,11.95,12.15,17951,213340.5,21-MAR-2007,
BEML,EQ,1063.95,1065,1041,1053.15,1050.05,1057.85,12991,13684178.4,21-MAR-2007,
BEPL,EQ,21.5,22.85,21.5,22.85,22.85,22.6,160,3468.5,21-MAR-2007,
BERGEPAINT,EQ,37.9,38,36.5,36.7,36.75,37.75,34790,1292029.35,21-MAR-2007,
BHAGYNAGAR,EQ,35.2,36.2,35.2,35.85,35.85,35.95,27679,989758.6,21-MAR-2007,
BHARATFORG,EQ,311,312.55,307.1,311.3,312.5,311.5,375812,116590513.45,21-MAR-2007,
BHARATGEAR,EQ,60.05,61.35,58.25,59.1,60,60.5,2983,176893.25,21-MAR-2007,
BHARATRAS,EQ,52.75,56,52.75,52.75,52.75,54.5,710,38402.5,21-MAR-2007,
BHARTIARTL,EQ,744,768.9,732.2,761.6,760.5,737.55,1201187,898311637.35,21-MAR-2007,
BHARTISHIP,EQ,332.5,332.5,322,327.25,325.25,321,6888,2242190.25,21-MAR-2007,
BHEL,EQ,2059.8,2119.8,2031.25,2108.15,2119.8,2048.5,498111,1036275836.55,21-MAR-2007,
BHUSANSTL,EQ,500,500,494,497.7,495.25,499.05,85923,42678887.8,21-MAR-2007,
BIL,EQ,125,128,125,127.5,127.5,125.05,2030,256779,21-MAR-2007,
BILPOWER,EQ,152,152,147.6,148.9,150,152.75,1265,190221,21-MAR-2007,
BILT,EQ,106.5,109.15,106.3,107.1,108,106.7,279199,29997252.1,21-MAR-2007,
BINANIIND,EQ,238.7,238.9,229.05,233.05,233,234.7,53414,12295787.35,21-MAR-2007,
BINDALAGRO,EQ,35.05,35.4,32.05,35,34.8,35.05,662735,22233105.6,21-MAR-2007,
BIOCON,EQ,467.5,474.8,462,465.45,465.9,466.35,93656,43770621.3,21-MAR-2007,
BIRLAERIC,EQ,18.3,18.5,18.05,18.3,18.35,18.3,16573,303023.35,21-MAR-2007,
BIRLAJUTE,EQ,209.9,209.9,198.05,200.05,200,207.2,163732,33193069.9,21-MAR-2007,
BLBLIMITED,EQ,10.9,11.3,10.9,11.3,11.3,11.55,783,8676.65,21-MAR-2007,
BLKASHYAP,EQ,1076,1220,1076,1195.4,1208.9,1100.65,1713,1990890.25,21-MAR-2007,
BLUEBIRD,EQ,64.5,64.9,62.7,62.9,63.1,63.95,24601,1561267,21-MAR-2007,
BLUECHIP,EQ,1.1,1.1,1.1,1.1,1.1,1.15,22300,24530,21-MAR-2007,
BLUEDART,EQ,430.2,448,430.2,431.3,431.25,439.1,90,39059.75,21-MAR-2007,
BLUESTARCO,EQ,213.05,219,205.4,208.75,207,214.3,18714,3984315.5,21-MAR-2007,
BLUESTINFO,EQ,89,96,89,95,95,95.15,1608,149986.5,21-MAR-2007,
