SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
AARTIDRUGS,EQ,15.35,15.35,15.35,15.35,15.35,14.9,100,1535,22-JUL-1998,
AARTIIND,EQ,27.5,27.5,27.5,27.5,27.5,27.95,100,2750,22-JUL-1998,
ABANLLOYD,EQ,36.05,36.5,34.85,35,35,34.7,13000,455800,22-JUL-1998,
ABB,EQ,442,445,442,443.95,444.9,446.8,1200,531372.5,22-JUL-1998,
ABBOTTLAB,EQ,295,295,285,285,285,295,100,29000,22-JUL-1998,
ABGHEAVY,EQ,28.4,29.45,28.4,29.45,29.45,28.5,1700,49165,22-JUL-1998,
ACC,EQ,1355,1369,1330.05,1338.3,1341,1361.3,252735,339928343.75,22-JUL-1998,
ACELAB,EQ,12.5,12.5,12.35,12.5,12.5,12.3,4300,53705,22-JUL-1998,
ADANIEXPO,EQ,320,323,320,323,323,320,200,64300,22-JUL-1998,
ADVANIORLI,EQ,18.3,18.3,17.35,17.95,17.95,18.1,11500,204860,22-JUL-1998,
AEC,EQ,3,3.5,3,3.5,3.5,3.5,400,1350,22-JUL-1998,
AEGISCHEM,EQ,11.3,11.3,11,11.15,11.15,10.5,1200,13380,22-JUL-1998,
AGRODUTCH,EQ,6,6,6,6,6,6,1000,6000,22-JUL-1998,
AHMEDELEC,EQ,54,56.5,54,55.5,55.5,54.65,1000,55675,22-JUL-1998,
AKARLAMIN,EQ,2.5,2.5,2.3,2.3,2.3,2.5,200,480,22-JUL-1998,
AKGACOUST,EQ,2.9,2.9,2.9,2.9,2.9,3,100,290,22-JUL-1998,
ALBRMORARJ,EQ,230,230,218,221.25,221.25,217.35,1750,391140,22-JUL-1998,
ALFALAVAL,EQ,137.5,137.5,132.6,132.6,132.6,135.75,450,60810,22-JUL-1998,
ALKYLAMINE,EQ,20.5,20.5,20.5,20.5,20.5,20.65,50,1025,22-JUL-1998,
ALLIEDRES,EQ,4,4.75,4,4.75,4.75,5.2,800,3575,22-JUL-1998,
ALMBICHEM,EQ,1194,1290,1194,1290,1290,1204,15,18670,22-JUL-1998,
ALOKTEXT,EQ,13,13.15,13,13.1,13.1,13.05,400,5225,22-JUL-1998,
ALPHADRUG,EQ,9.75,10,9.75,10,10,9.65,1100,10760,22-JUL-1998,
ALPICFIN,EQ,25.1,25.8,25.1,25.8,25.8,26.5,200,5090,22-JUL-1998,
ALTOS,EQ,10.35,10.8,10.25,10.55,10.6,10.1,3900,41140,22-JUL-1998,
AMARAJABAT,EQ,138.5,139.7,135.6,136.3,136.15,136.8,71500,9785805,22-JUL-1998,
AMBASARABH,EQ,6.5,6.6,6.5,6.55,6.5,6.5,2400,15655,22-JUL-1998,
AMERICADRY,EQ,4,4,4,4,4,4.2,200,800,22-JUL-1998,
AMFORGEIND,EQ,5.9,5.95,5.9,5.9,5.9,6,1700,10040,22-JUL-1998,
AMITSPIN,EQ,3.5,3.75,3.5,3.75,3.75,3.4,300,1075,22-JUL-1998,
AMTEKAUTO,EQ,17.75,17.8,17.75,17.75,17.8,17.2,1000,17760,22-JUL-1998,
AMTREXAPPL,EQ,21.35,21.7,20.65,21.35,21.35,21.75,3800,80940,22-JUL-1998,
ANAGRAMFIN,EQ,13.55,14.25,13.55,13.8,13.8,13.8,1900,26635,22-JUL-1998,
ANDHRAPET,EQ,5.5,5.5,2.8,3.2,3.25,2.75,131800,678020,22-JUL-1998,
ANDHRSUGAR,EQ,30,30,30,30,30,30,400,12000,22-JUL-1998,
ANDRAVALLY,EQ,77.95,80.2,77.5,79.5,79.5,78.25,3250,255752.5,22-JUL-1998,
ANSALHOUS,EQ,10,10.15,10,10,10,9.9,1400,14025,22-JUL-1998,
ANSALPROP,EQ,13.75,13.8,13.3,13.65,13.3,13.95,2700,36905,22-JUL-1998,
ANTFRIBEAR,EQ,20,20.5,20,20.5,20.5,19.95,400,8150,22-JUL-1998,
APCOTEXLAT,EQ,43.05,43.05,43.05,43.05,43.05,39.85,6200,266910,22-JUL-1998,
APOLLOHOSP,EQ,25,25,25,25,25,26.25,500,12500,22-JUL-1998,
APOLLOTYRE,EQ,82.5,83.65,76.35,76.6,76.35,82.95,145950,11628542.5,22-JUL-1998,
APOWERTOOL,EQ,2.5,2.5,2.45,2.45,2.5,2.5,8400,20750,22-JUL-1998,
APPLECREDT,EQ,16,16,15,15,15,15.2,800,12245,22-JUL-1998,
APPLEIND,EQ,10,10,10,10,10,10.05,5300,53000,22-JUL-1998,
APRAYON,EQ,26.25,26.25,24.75,24.75,24.75,26.35,4550,116155,22-JUL-1998,
APTECH,BE,525,525,525,525,525,505,2,1050,22-JUL-1998,
APTECH,EQ,574.5,574.5,542,545.3,549.95,550.35,19600,10876950,22-JUL-1998,
ARAVALIIND,EQ,3.9,4.25,3.75,4.25,4.25,3.9,5800,22050,22-JUL-1998,
ARENTERP,EQ,6,6,6,6,6,3.9,100,600,22-JUL-1998,
ARIHANTCRE,EQ,2.75,2.75,2.75,2.75,2.75,3.5,300,825,22-JUL-1998,
ARVINDMILL,AE,40.25,40.25,39.55,39.75,39.75,41,1100,43985,22-JUL-1998,
ARVINDMILL,EQ,40.55,41.45,39,39.85,40,40.9,296250,11832525,22-JUL-1998,
ARVINDPOLY,EQ,9.15,9.5,8.8,8.9,8.9,9.5,4600,41955,22-JUL-1998,
ASHAPURMIN,EQ,77,77,77,77,77,77.2,100,7700,22-JUL-1998,
ASHIMASYN,EQ,34,34,33.05,34,34,34,1400,47445,22-JUL-1998,
ASHKLEYFIN,EQ,33,34,33,33.25,33.25,33.1,5600,189070,22-JUL-1998,
ASHOKLEY,EQ,35,35,34.25,34.55,34.75,34.65,8850,306332.5,22-JUL-1998,
ASIANCOFFE,EQ,19.15,19.5,19,19.1,19.5,19,700,13375,22-JUL-1998,
ASIANELEC,EQ,119,121,119,121,121,121.55,1650,197945,22-JUL-1998,
ASIANHOTEL,EQ,152.2,155.9,150,155.55,155.9,154.95,10900,1680787.5,22-JUL-1998,
ASIANPAINT,EQ,283,283,271,275.4,275.3,285,7650,2108702.5,22-JUL-1998,
ASSAMCO,EQ,37.5,39.9,37,38.25,39.9,37.15,2600,98985,22-JUL-1998,
ASSAMFRONT,EQ,148,152,148,152,152,145,400,60000,22-JUL-1998,
ATCOIND,EQ,16.5,16.5,16.05,16.25,16.25,16.1,600,9755,22-JUL-1998,
ATLANTSPG,EQ,5.75,6,5.75,6,6,6,400,2325,22-JUL-1998,
ATLASCOPCO,EQ,145,152.1,144.55,152.1,152.1,140.8,6650,978752.5,22-JUL-1998,
ATLASCYCLE,EQ,48,48,48,48,48,49,100,4800,22-JUL-1998,
ATULPROD,EQ,18.3,18.3,18,18,18,19,400,7255,22-JUL-1998,
ATVPETRO,EQ,2,2.4,2,2.4,2.4,1.9,1100,2240,22-JUL-1998,
AUROPHARMA,EQ,259,265,258,260.7,261,257.8,27200,7087780,22-JUL-1998,
AUTOAXLES,EQ,17,17,17,17,17,17.25,2000,34000,22-JUL-1998,
AUTOCORP,EQ,19.5,20,19.1,20,20,19.9,850,16430,22-JUL-1998,
