SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
AARTIDRUGS,EQ,79.9,82.5,77.9,78.2,77.9,79.55,19026,1530259.55,23-FEB-2004,
AARTIIND,EQ,218,224.8,206,210,206,214.35,39412,8520367.3,23-FEB-2004,
ABANLLOYD,EQ,375,396.75,371.25,396.15,396.75,377.85,24099,9450059.6,23-FEB-2004,
ABB,EQ,674.9,675,665,670.15,666.05,668.45,20464,13701635.45,23-FEB-2004,
ABSHEKINDS,EQ,15.4,15.4,14.4,14.55,14.5,14.65,53372,778269.25,23-FEB-2004,
ABSIND,EQ,103.05,103.5,101,101.8,101.9,103.1,3276,334578.85,23-FEB-2004,
ACC,EQ,261,263,251.15,252.3,251.8,260.65,2170783,557144671.2,23-FEB-2004,
ADANIEXPO,EQ,362.95,363,349,352.4,352,357.75,36033,12664709.5,23-FEB-2004,
ADLABSFILM,EQ,109.9,111.95,105.05,105.9,105.05,108.55,64016,6917358.35,23-FEB-2004,
ADVANIORLI,EQ,32.5,32.5,32.1,32.2,32.2,32.65,1550,49957,23-FEB-2004,
AEGISCHEM,EQ,18.8,18.8,17.55,17.9,17.55,18.7,4228,77595.35,23-FEB-2004,
AFTEKINFO,EQ,68.35,69.45,62.55,63.25,63.95,66.85,177152,11579930.15,23-FEB-2004,
AGEEGOLD,EQ,32,32.4,30,30,30,30,4500,135705,23-FEB-2004,
AGRODUTCH,EQ,33.1,33.1,32.25,32.45,32.5,33.25,27870,906276,23-FEB-2004,
AHMEDELEC,EQ,101.95,101.95,97,97.25,97,99.4,14378,1415025.3,23-FEB-2004,
AHMEDFORGE,EQ,82.2,82.2,80.6,80.6,80.6,82.2,5900,479902.5,23-FEB-2004,
AJANTPHARM,EQ,49.3,52,49.1,49.55,49.8,50,22199,1121796.2,23-FEB-2004,
AKSHOPTFBR,EQ,17.45,17.8,17.15,17.6,17.65,17.8,11751,204500,23-FEB-2004,
ALBK,EQ,28.9,30,28,28.1,28,28.25,575777,16450518.7,23-FEB-2004,
ALEMBICLTD,EQ,509.75,529,500.1,503.5,500.1,512.35,85679,44095179.25,23-FEB-2004,
ALFALAVAL,EQ,534.95,534.95,519.9,521.2,521,529.9,1347,705621.15,23-FEB-2004,
ALOKTEXT,EQ,57,58.8,53.45,53.8,54,56.1,219240,12207824.4,23-FEB-2004,
ALPSINDUS,EQ,44.3,47.05,44.05,44.35,44.7,44.8,11092,503806.1,23-FEB-2004,
AMARAJABAT,EQ,69.4,69.4,65.2,65.45,65.6,66.15,7512,493348.65,23-FEB-2004,
AMBUJARAJN,EQ,5.75,5.85,5.55,5.55,5.55,5.7,57676,327189.85,23-FEB-2004,
AMITSPIN,EQ,3.25,3.25,3,3.25,3.25,3.25,3500,11189.7,23-FEB-2004,
AMTEKAUTO,EQ,433.6,435.75,420.1,428.5,420.15,426.1,11480,4950523.7,23-FEB-2004,
AMTREXAPPL,EQ,25.55,25.55,24.6,25.1,25.1,25.6,12128,306267.6,23-FEB-2004,
ANDHRABANK,EQ,49,49.1,46.55,46.75,46.6,48.65,1576792,74461120.15,23-FEB-2004,
ANDHRSUGAR,EQ,56.75,58.15,55.05,55.75,56,57.35,17521,988674.9,23-FEB-2004,
ANTGRAPHIC,EQ,2.75,2.9,2.75,2.9,2.9,2.75,4997,14161.3,23-FEB-2004,
