SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20MICRONS,EQ,16.35,16.35,15.5,16,16.05,16.25,17318,274372.7,24-DEC-2008,
3IINFOTECH,EQ,38.9,38.9,36.1,36.45,36.8,38.45,471750,17535974.9,24-DEC-2008,
3MINDIA,EQ,910.1,954.35,910.1,953.95,953.95,925.45,57,53220.55,24-DEC-2008,
AARTIDRUGS,EQ,37,38.1,37,37.5,37.4,37.9,1289,48348.5,24-DEC-2008,
AARTIIND,EQ,30.1,32.7,30.1,31.25,31.25,31.4,2701,85146.45,24-DEC-2008,
AARVEEDEN,EQ,26.5,26.5,26.5,26.5,26.5,25.2,1,26.5,24-DEC-2008,
ABAN,EQ,714.9,725,701.1,704.8,702,709.35,250610,178475840.45,24-DEC-2008,
ABB,EQ,459.9,459.9,440.1,445.05,447,458.15,400735,178425520.9,24-DEC-2008,
ABGSHIP,EQ,97.9,101,93.65,96,98.6,94.15,93044,8871564.45,24-DEC-2008,
ABHISHEK,EQ,17,17.15,16.85,16.85,16.85,17.7,3017,50987.1,24-DEC-2008,
ABIRLANUVO,EQ,587,599,561.25,576.25,568.05,582.1,60947,34900758.8,24-DEC-2008,
ABSHEKINDS,BE,7.3,7.9,7.3,7.3,7.3,7.65,9408,68861.25,24-DEC-2008,
ACC,EQ,487.1,491.95,460.6,465.3,464,485.9,582657,276132366.1,24-DEC-2008,
ACE,EQ,16.5,16.5,16,16.05,16.15,16.8,39581,637148.2,24-DEC-2008,
ADANIENT,EQ,300,309,295.05,300.1,300,303.2,25720,7792646.75,24-DEC-2008,
ADHUNIK,EQ,28.2,31.2,28.2,29.75,29.5,30.15,82041,2466448.95,24-DEC-2008,
ADLABSFILM,EQ,172.95,174.05,169.1,170.8,170.4,175.65,451422,77457517.5,24-DEC-2008,
ADORWELD,EQ,108.95,108.95,93.25,96.2,96.55,97.05,1182,113580.15,24-DEC-2008,
ADSL,EQ,384.95,384.95,350.1,353.75,351.25,372.1,7759,2856870.85,24-DEC-2008,
ADVANIHOTR,EQ,31,31,30.95,30.95,30.95,30.9,350,10845,24-DEC-2008,
