SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 24-Sep-2024"," 112.10"," 117.70"," 117.70"," 111.90"," 112.00"," 112.00"," 112.03"," 2999"," 3.36"," 17"," 2999"," 100.00"
20MICRONS," EQ"," 24-Sep-2024"," 299.05"," 301.00"," 310.00"," 300.00"," 301.60"," 300.70"," 304.54"," 188515"," 574.10"," 6376"," 56267"," 29.85"
21STCENMGM," BE"," 24-Sep-2024"," 118.40"," 116.03"," 116.03"," 116.03"," 116.03"," 116.03"," 116.03"," 2202"," 2.55"," 47"," -"," -"
360ONE," EQ"," 24-Sep-2024"," 1074.00"," 1074.00"," 1088.00"," 1065.20"," 1080.20"," 1078.55"," 1073.16"," 288547"," 3096.57"," 28969"," 199216"," 69.04"
3IINFOLTD," EQ"," 24-Sep-2024"," 32.70"," 32.87"," 32.87"," 32.30"," 32.48"," 32.50"," 32.61"," 410829"," 133.98"," 3366"," 216466"," 52.69"
3MINDIA," EQ"," 24-Sep-2024"," 35489.00"," 35600.00"," 35878.00"," 35051.10"," 35200.00"," 35223.00"," 35432.84"," 2832"," 1003.46"," 1771"," 1433"," 50.60"
3PLAND," BE"," 24-Sep-2024"," 40.25"," 39.52"," 40.00"," 38.25"," 39.25"," 39.00"," 38.86"," 11211"," 4.36"," 189"," -"," -"
574GS2026," GS"," 24-Sep-2024"," 100.00"," 98.92"," 99.90"," 98.92"," 99.90"," 99.90"," 99.39"," 982"," 0.98"," 8"," 982"," 100.00"
5PAISA," EQ"," 24-Sep-2024"," 558.80"," 570.00"," 570.00"," 540.95"," 554.00"," 554.05"," 553.07"," 78446"," 433.86"," 7064"," 38691"," 49.32"
63MOONS," EQ"," 24-Sep-2024"," 405.40"," 406.30"," 416.00"," 401.00"," 409.00"," 406.50"," 409.77"," 240085"," 983.79"," 5370"," 119657"," 49.84"
654GS2032," GS"," 24-Sep-2024"," 98.85"," 99.00"," 100.00"," 99.00"," 100.00"," 100.00"," 99.91"," 11"," 0.01"," 2"," 11"," 100.00"
667GS2035," GS"," 24-Sep-2024"," 100.85"," 99.00"," 99.00"," 99.00"," 99.00"," 99.00"," 99.00"," 3000"," 2.97"," 1"," 3000"," 100.00"
667GS2050," GS"," 24-Sep-2024"," 99.88"," 99.88"," 99.88"," 99.88"," 99.88"," 99.88"," 99.88"," 12"," 0.01"," 1"," 12"," 100.00"
68GS2060," GS"," 24-Sep-2024"," 99.60"," 102.09"," 102.09"," 99.95"," 99.95"," 99.95"," 99.96"," 420"," 0.42"," 6"," 420"," 100.00"
695GS2061," GS"," 24-Sep-2024"," 101.50"," 101.50"," 101.50"," 99.30"," 100.95"," 100.95"," 100.96"," 10103"," 10.20"," 12"," 10097"," 99.94"
697GR2034," GS"," 24-Sep-2024"," 99.75"," 99.60"," 104.00"," 99.60"," 104.00"," 104.00"," 101.80"," 2"," 0.00"," 2"," 1"," 50.00"
699GS2026," GS"," 24-Sep-2024"," 103.46"," 103.10"," 103.10"," 103.10"," 103.10"," 103.10"," 103.10"," 100"," 0.10"," 1"," 100"," 100.00"
699GS2051," GS"," 24-Sep-2024"," 102.00"," 102.25"," 102.25"," 102.00"," 102.00"," 102.00"," 102.03"," 957"," 0.98"," 11"," 957"," 100.00"
702GS2027," GS"," 24-Sep-2024"," 102.90"," 102.26"," 102.90"," 102.26"," 102.90"," 102.89"," 102.72"," 361"," 0.37"," 6"," 261"," 72.30"
702GS2031," GS"," 24-Sep-2024"," 103.00"," 104.39"," 104.39"," 102.20"," 103.47"," 103.47"," 104.30"," 7105"," 7.41"," 10"," 7005"," 98.59"
704GS2029," GS"," 24-Sep-2024"," 102.35"," 102.36"," 102.37"," 102.36"," 102.37"," 102.37"," 102.36"," 14241"," 14.58"," 5"," 14241"," 100.00"
706GS2028," GS"," 24-Sep-2024"," 104.24"," 103.70"," 104.00"," 103.70"," 103.75"," 103.75"," 103.71"," 6586"," 6.83"," 6"," 6586"," 100.00"
709GS2054," GS"," 24-Sep-2024"," 103.25"," 102.96"," 102.96"," 102.95"," 102.96"," 102.95"," 102.96"," 1900"," 1.96"," 3"," 1900"," 100.00"
710GS2029," GS"," 24-Sep-2024"," 104.60"," 104.70"," 104.79"," 104.00"," 104.68"," 104.68"," 104.63"," 42730"," 44.71"," 29"," 42730"," 100.00"
716GS2050," GS"," 24-Sep-2024"," 103.00"," 103.50"," 103.50"," 103.50"," 103.50"," 103.50"," 103.50"," 10"," 0.01"," 1"," 10"," 100.00"
717GS2030," GS"," 24-Sep-2024"," 104.80"," 104.00"," 104.50"," 104.00"," 104.50"," 104.20"," 104.05"," 10158"," 10.57"," 5"," 10158"," 100.00"
718GS2033," GS"," 24-Sep-2024"," 103.80"," 103.00"," 103.00"," 103.00"," 103.00"," 103.00"," 103.00"," 200"," 0.21"," 2"," 200"," 100.00"
718GS2037," GS"," 24-Sep-2024"," 104.24"," 103.71"," 104.30"," 103.71"," 104.30"," 104.30"," 103.91"," 24487"," 25.45"," 10"," 24487"," 100.00"
71GS2034," GS"," 24-Sep-2024"," 104.35"," 104.36"," 105.15"," 104.35"," 105.00"," 105.00"," 104.57"," 2800"," 2.93"," 14"," 2800"," 100.00"
725GS2063," GS"," 24-Sep-2024"," 106.18"," 106.20"," 106.20"," 106.00"," 106.12"," 106.12"," 106.15"," 6921"," 7.35"," 10"," 6911"," 99.86"
726GS2032," GS"," 24-Sep-2024"," 103.60"," 104.00"," 104.00"," 103.00"," 103.41"," 103.41"," 103.37"," 49575"," 51.25"," 37"," 49570"," 99.99"
732GS2030," GS"," 24-Sep-2024"," 104.25"," 104.25"," 104.25"," 104.25"," 104.25"," 104.25"," 104.25"," 600"," 0.63"," 3"," 600"," 100.00"
733GS2026," GS"," 24-Sep-2024"," 103.95"," 103.25"," 104.20"," 103.25"," 104.20"," 104.20"," 103.29"," 2550"," 2.63"," 7"," 2450"," 96.08"
734GS2064," GS"," 24-Sep-2024"," 108.85"," 108.75"," 108.75"," 107.70"," 108.30"," 108.30"," 108.20"," 2821"," 3.05"," 18"," 2820"," 99.96"
737GS2028," GS"," 24-Sep-2024"," 104.60"," 104.55"," 104.55"," 104.55"," 104.55"," 104.55"," 104.55"," 700"," 0.73"," 5"," 700"," 100.00"
738GS2027," GS"," 24-Sep-2024"," 103.59"," 103.50"," 103.75"," 103.50"," 103.74"," 103.71"," 103.63"," 125715"," 130.27"," 38"," 98251"," 78.15"
73GS2053," GS"," 24-Sep-2024"," 107.20"," 107.20"," 107.20"," 106.50"," 106.80"," 106.80"," 106.56"," 645599"," 687.93"," 22"," 639999"," 99.13"
741GS2036," GS"," 24-Sep-2024"," 106.59"," 105.25"," 105.25"," 105.25"," 105.25"," 105.25"," 105.25"," 4000"," 4.21"," 1"," 4000"," 100.00"
746GS2073," GS"," 24-Sep-2024"," 110.00"," 110.00"," 110.50"," 110.00"," 110.00"," 110.00"," 110.02"," 31338"," 34.48"," 12"," 31338"," 100.00"
74GS2062," GS"," 24-Sep-2024"," 106.90"," 110.00"," 110.00"," 110.00"," 110.00"," 110.00"," 110.00"," 1"," 0.00"," 1"," 1"," 100.00"
754GS2036," GS"," 24-Sep-2024"," 109.13"," 109.50"," 109.50"," 108.50"," 109.25"," 108.96"," 109.17"," 521895"," 569.76"," 141"," 502193"," 96.22"
759GS2026," GS"," 24-Sep-2024"," 104.32"," 102.00"," 102.00"," 101.50"," 101.51"," 101.51"," 101.52"," 50001"," 50.76"," 12"," 50001"," 100.00"
762GS2039," GS"," 24-Sep-2024"," 107.50"," 107.50"," 107.50"," 107.50"," 107.50"," 107.50"," 107.50"," 953"," 1.02"," 1"," 953"," 100.00"
813GS2045," GS"," 24-Sep-2024"," 115.00"," 115.00"," 115.00"," 114.45"," 114.45"," 114.45"," 114.97"," 799"," 0.92"," 2"," 799"," 100.00"
824GS2027," GS"," 24-Sep-2024"," 104.79"," 104.90"," 104.90"," 104.00"," 104.00"," 104.00"," 104.01"," 364063"," 378.65"," 22"," 364052"," 100.00"
83GS2040," GS"," 24-Sep-2024"," 115.00"," 114.20"," 114.20"," 114.20"," 114.20"," 114.20"," 114.20"," 1171"," 1.34"," 6"," 1171"," 100.00"
883GS2041," GS"," 24-Sep-2024"," 125.00"," 125.00"," 125.00"," 125.00"," 125.00"," 125.00"," 125.00"," 761"," 0.95"," 3"," 761"," 100.00"
92GS2030," GS"," 24-Sep-2024"," 117.38"," 117.69"," 117.69"," 117.37"," 117.37"," 117.37"," 117.54"," 1853"," 2.18"," 3"," 1853"," 100.00"
A2ZINFRA," BE"," 24-Sep-2024"," 17.42"," 17.76"," 17.76"," 17.76"," 17.76"," 17.76"," 17.76"," 38363"," 6.81"," 61"," -"," -"
AAATECH," EQ"," 24-Sep-2024"," 143.67"," 141.70"," 145.87"," 138.03"," 140.05"," 141.00"," 141.62"," 75125"," 106.39"," 1744"," 44033"," 58.61"
AADHARHFC," EQ"," 24-Sep-2024"," 498.90"," 500.80"," 516.80"," 494.40"," 510.00"," 510.45"," 506.48"," 3160160"," 16005.64"," 80737"," 1454639"," 46.03"
AAKASH," BE"," 24-Sep-2024"," 12.20"," 12.03"," 12.34"," 12.02"," 12.20"," 12.26"," 12.13"," 143947"," 17.46"," 699"," -"," -"
