SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20THCENFIN,EQ,39.8,40,39,39.4,0.0,39.6,900,35452.5,26-AUG-1996,
21STCENMGM,EQ,12.5,12.5,12.5,12.5,0.0,12.75,100,1250,26-AUG-1996,
AARTIIND,EQ,25,25,25,25,0.0,27,100,2500,26-AUG-1996,
ABB,EQ,800,800,786.1,787.7,0.0,800.25,3150,2498897.5,26-AUG-1996,
ABGHEAVY,EQ,24.9,27.7,24.9,27.2,0.0,27.45,2900,76450,26-AUG-1996,
ABSIND,EQ,55,56,55,55.5,0.0,53.75,300,16600,26-AUG-1996,
ACC,EQ,2100,2140,2100,2116.1,0.0,2114.35,47945,101848980.25,26-AUG-1996,
ADANIEXPO,EQ,598,606,594.5,600,0.0,589.25,3800,2281975,26-AUG-1996,
ADITYASPIN,EQ,2.25,2.3,2.25,2.25,0.0,2.25,500,1130,26-AUG-1996,
ADVANIORLI,EQ,134,134,134,134,0.0,132.15,200,26800,26-AUG-1996,
AEC,EQ,17.1,17.1,17,17,0.0,17.15,300,5120,26-AUG-1996,
AEGISCHEM,EQ,25.75,26.5,25.75,26.5,0.0,26,1200,31125,26-AUG-1996,
AGRODUTCH,EQ,6,6,6,6,0.0,6,100,600,26-AUG-1996,
AHMEDELEC,EQ,69.95,73,69.95,71.05,0.0,69.6,2300,165232.5,26-AUG-1996,
AHMEDFORGE,EQ,61,61,60,60,0.0,59.15,900,54260,26-AUG-1996,
AIMCOPEST,EQ,18,18,18,18,0.0,17,100,1800,26-AUG-1996,
AKAIMPEX,EQ,8.1,9.5,8.1,9.5,0.0,8.65,1200,10735,26-AUG-1996,
AKARLAMIN,EQ,7.55,7.9,7.5,7.9,0.0,7.55,2000,15360,26-AUG-1996,
AKGACOUST,EQ,17.5,17.5,17.5,17.5,0.0,17.25,200,3500,26-AUG-1996,
ALBRMORARJ,EQ,195.25,195.25,195,195,0.0,200,150,29262.5,26-AUG-1996,
ALFALAVAL,EQ,220,226,220,220.05,0.0,220,250,55307.5,26-AUG-1996,
ALMBICHEM,EQ,1060,1060,1020,1020,0.0,1020,265,270500,26-AUG-1996,
ALPHADRUG,EQ,6.5,6.75,6.3,6.75,0.0,6.45,7800,50695,26-AUG-1996,
ALPICFIN,EQ,54.1,54.7,54,54.1,0.0,54,3900,212620,26-AUG-1996,
ALPINEIND,EQ,19.25,20,19.25,19.85,0.0,19.6,2100,41560,26-AUG-1996,
ALPSINDUS,EQ,50.25,50.75,50.25,50.75,0.0,52,200,10100,26-AUG-1996,
ALSAMARINE,EQ,8,8.15,8,8.15,0.0,8,500,4045,26-AUG-1996,
ALTOS,EQ,33.9,34.25,33.6,34.1,0.0,33.8,2400,81520,26-AUG-1996,
AMARAJABAT,EQ,74.65,76.5,74.65,76.05,0.0,74.7,84700,6429990,26-AUG-1996,
AMBASARABH,EQ,14.65,14.7,14.4,14.7,0.0,14.5,8750,128137.5,26-AUG-1996,
AMBUJELCST,EQ,6,6,6,6,0.0,6.5,200,1200,26-AUG-1996,
