SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,30.75,30.75,30.2,30.7,30.75,30.5,121890,3714205.3,26-JUL-2013,151,INE144J01027,
3IINFOTECH,EQ,4.55,4.65,4.35,4.4,4.45,4.5,754879,3363963.3,26-JUL-2013,870,INE748C01020,
3MINDIA,EQ,3450,3455,3440,3447.35,3447,3446.95,292,1004904.4,26-JUL-2013,24,INE470A01017,
A2ZMES,EQ,11,11,10.1,10.35,10.4,10.9,51550,549529,26-JUL-2013,449,INE619I01012,
AANJANEYA,EQ,39,40,36,36,36,40,53143,1947383.2,26-JUL-2013,654,INE928K01013,
AARTIDRUGS,EQ,228,230,212,213.75,213,230.85,11351,2480657.65,26-JUL-2013,606,INE767A01016,
AARTIIND,EQ,80,80.75,76,78,79.1,78.85,22759,1781606,26-JUL-2013,5545,INE769A01020,
AARVEEDEN,EQ,36.45,37.75,36,36.55,36.7,36.4,6906,254119.5,26-JUL-2013,52,INE273D01019,
ABAN,EQ,237.1,239.9,231,233.85,234,239,126597,29711786.15,26-JUL-2013,4665,INE421A01028,
ABB,EQ,547,551,535,538.65,539,545.7,24037,13045366.05,26-JUL-2013,1563,INE117A01022,
ABBOTINDIA,EQ,1429,1430,1382.5,1414.95,1416,1406.3,2048,2873107.45,26-JUL-2013,257,INE358A01014,
ABCIL,EQ,73,74,71.85,72,72,73.6,1090,78860.35,26-JUL-2013,34,INE605B01016,
ABGSHIP,EQ,269.55,272,264,269.05,265.15,268.05,7360,1980068.95,26-JUL-2013,382,INE067H01016,
ABIRLANUVO,EQ,1154.9,1160,1126.2,1139.75,1138.1,1141.5,120288,136989552.45,26-JUL-2013,14797,INE069A01017,
ACC,EQ,1196.1,1222.4,1185,1211.9,1216,1195.25,144561,174510306.4,26-JUL-2013,7440,INE012A01025,
ACCELYA,EQ,570,574.95,518.4,544.2,542.45,570.1,22943,12506141.8,26-JUL-2013,1594,INE793A01012,
