SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,
20MICRONS,EQ,17.25,17.65,16.55,16.8,16.9,17.05,11130,188687.05,26-NOV-2008,
3IINFOTECH,EQ,33,34,32.55,33.7,33.95,33.65,83079,2756504.1,26-NOV-2008,
3MINDIA,EQ,980,980,912,927.5,927.5,933.3,146,137461.5,26-NOV-2008,
AARTIDRUGS,EQ,37,37.5,36.05,37.15,37.15,37,4851,178564.3,26-NOV-2008,
AARTIIND,BE,27.05,28.1,27.05,28,28,27.7,5134,141535.3,26-NOV-2008,
ABAN,EQ,719.95,724.8,675.8,707.6,704.05,708.1,456741,316982200.85,26-NOV-2008,
ABB,EQ,435,451,429,446.25,442,430.4,444511,195294406.95,26-NOV-2008,
ABGSHIP,EQ,98.5,98.5,92.2,94,94.8,95.9,30924,2907445.6,26-NOV-2008,
ABHISHEK,EQ,15,16,15,15.8,15.8,15.4,927,14168.1,26-NOV-2008,
ABIRLANUVO,EQ,465.65,485,458,470.05,461.3,470.35,86299,40625797.45,26-NOV-2008,
ABSHEKINDS,EQ,6.75,7,6.4,6.5,6.45,6.8,46469,304350.1,26-NOV-2008,
ACC,EQ,401.8,407,387.1,403.2,400.1,397.1,290392,115285762.5,26-NOV-2008,
ACE,EQ,16,16,15.6,15.9,15.9,15.85,15747,249774.15,26-NOV-2008,
ADANIENT,EQ,306,306.9,294,297.15,305.05,301.55,51524,15339599.2,26-NOV-2008,
ADHUNIK,EQ,28.5,29.65,24.65,25.55,25.1,29.5,348676,8942931.6,26-NOV-2008,
ADLABSFILM,EQ,150,157,147,155.75,156.25,149,577227,88436067.7,26-NOV-2008,
ADORWELD,EQ,85,85,83.85,84.5,84.5,86.8,2217,188295.05,26-NOV-2008,
ADSL,EQ,229,258.4,229,251.85,255.7,240.05,1210,293974.2,26-NOV-2008,
ADVANIHOTR,EQ,28.65,28.65,28.65,28.65,28.65,28.65,55,1575.75,26-NOV-2008,
ADVANTA,EQ,498.95,498.95,475,486.45,493,493.6,26,12584.55,26-NOV-2008,
AEGISCHEM,EQ,50.05,59,50.05,53.95,53.7,53.15,4546,247057.35,26-NOV-2008,
AFL,EQ,45.5,50,45.5,49.5,49.5,45.35,2778,128794.25,26-NOV-2008,
AFTEK,EQ,12.2,12.5,11.6,11.9,11.95,12.2,150289,1784547.15,26-NOV-2008,
AGRODUTCH,EQ,9.5,10.2,9.5,9.85,10.2,9.85,17135,167752,26-NOV-2008,
AHMEDFORGE,EQ,21,21.95,20.6,21.95,21.95,20.9,17810,388652.05,26-NOV-2008,
AIAENG,EQ,125.5,125.5,120,122.05,122,126.1,62507,7678132.4,26-NOV-2008,
AICHAMP,BE,15.5,15.5,14.55,14.55,14.55,15,40,582.95,26-NOV-2008,
AJANTPHARM,EQ,53.55,53.55,50.3,50.9,50.65,54.1,4038,206473.15,26-NOV-2008,
AKRUTI,EQ,649.95,678,640,673.25,668.8,650.2,135208,90520560.2,26-NOV-2008,
AKSHOPTFBR,EQ,13.15,13.5,12.55,12.8,12.75,12.6,107280,1393814.5,26-NOV-2008,
ALBK,EQ,47,48.8,46.55,48.1,48.45,46.95,146858,6942090.35,26-NOV-2008,
ALCHEM,EQ,51,51.45,49.55,50.4,50.4,48.9,109625,5534391,26-NOV-2008,
ALEMBICLTD,EQ,30.8,32.4,30.1,30.5,30.4,30.1,33858,1039805.75,26-NOV-2008,
ALFALAVAL,EQ,870,880,870,876.7,878,880.5,1330,1162982.1,26-NOV-2008,
ALKALI,EQ,187,203,185.4,200.05,197.05,189,1052221,206353316.65,26-NOV-2008,
ALLCARGO,EQ,423.3,444.9,423.3,437.15,433.1,445.55,4903,2080195.45,26-NOV-2008,
ALLSEC,EQ,19,20.3,18.15,19.7,19.5,20,3065,61146.65,26-NOV-2008,
ALMONDZ,EQ,9,10.5,9,9.15,9.15,9.5,587,5493.25,26-NOV-2008,
ALOKTEXT,EQ,14.7,14.9,14.25,14.65,14.55,14.55,690683,10038617.05,26-NOV-2008,
ALPA,EQ,9,9,8.15,8.35,8.45,8.85,9312,79645.85,26-NOV-2008,
ALPHAGEO,EQ,97,104.7,95,95.3,96.55,97.2,3045,299882.35,26-NOV-2008,
ALPSINDUS,EQ,11,11,10.6,10.8,10.95,11,42545,459572.75,26-NOV-2008,
AMAR,EQ,17.75,17.75,16.55,17,17,17.8,5902,100455.9,26-NOV-2008,
AMARAJABAT,EQ,41.85,41.85,40.2,40.9,41.5,41.35,80639,3326310.25,26-NOV-2008,
AMBICAAGAR,EQ,9,9.75,8.7,8.9,9,9.05,5328,47453.35,26-NOV-2008,
AMBUJACEM,EQ,52,55,50.25,54.4,53.75,51.85,1737476,92204098.75,26-NOV-2008,
AMDIND,EQ,14,14.25,13.8,14,14,14.2,1109,15585.8,26-NOV-2008,
AMTEKAUTO,EQ,43.8,50.85,43.4,49.05,50.45,43.75,208699,9988076.2,26-NOV-2008,
AMTEKINDIA,EQ,20.5,21.65,19.15,21.25,21.5,19.65,107535,2228326.5,26-NOV-2008,
ANANTRAJ,EQ,46,47,42.55,44.45,44,46.55,4229,191453.55,26-NOV-2008,
