SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
0IHFL26,YR,920,920,920,920,920,930.6,10,9200,27-MAY-2024,1,INE148I07SF0,,,
0MOFSL26,N1,988,988,860,960,960,999.9,530,480112.5,27-MAY-2024,9,INE338I07156,,,
1003ICCL28,NX,949,949,949,949,949,949.9,1,949,27-MAY-2024,1,INE244L07556,,,
1003ISFL28,N4,995.89,995.89,995.35,995.35,995.35,994,160,159322.08,27-MAY-2024,6,INE413U07269,,,
1013DLSL24,NF,999.75,999.75,999.75,999.75,999.75,995,7,6998.25,27-MAY-2024,1,INE614X07183,,,
1015ECL29,NR,1000.6,1001.9,1000.25,1000.73,1000.25,1003,322,322224.65,27-MAY-2024,11,INE804IA7014,,,
1018GS2026,GS,112,115,112,115,115,112,1113,124961.9,27-MAY-2024,7,IN0020010081,,1112,99.91
1025IHF34,Z8,977.03,977.03,977.03,977.03,977.03,977.03,391,382018.73,27-MAY-2024,6,INE148I07SQ7,,,
1025NFL25,N5,999.8,999.8,999.8,999.8,999.8,999.9,12,11997.6,27-MAY-2024,1,INE342T07379,,,
1035UCL26,NA,930,930,930,930,930,906,11,10230,27-MAY-2024,2,INE583D07448,,,
1050NFL26,N7,996,1009,996,1009,1009,996,210,209290,27-MAY-2024,2,INE342T07387,,,
105IIFL29,N7,965,980,945.1,980,980,974,288,276561.29,27-MAY-2024,10,INE866I08295,,,
1060ECL29,NS,1198,1198,1001,1005.4,1003.5,1001.11,360,380517.01,27-MAY-2024,10,INE804IA7022,,,
1061DLSL24,NG,1093,1094,1080.5,1088,1088,1092.98,532,580511,27-MAY-2024,7,INE614X07191,,,
1065NFL27,NC,1004.4,1004.4,1004.4,1004.4,1004.4,1000.99,60,60264,27-MAY-2024,3,INE342T07460,,,
10CAGL27,N5,1015,1020,1015,1020,1020,1019.95,347,353124.7,27-MAY-2024,9,INE741K07496,,,
10IIFL28,N4,997,998,997,997.02,997,997.59,1460,1455951.5,27-MAY-2024,16,INE477L08147,,,
10IIFL28A,NE,943,943,940.99,941,941,943,351,330818.99,27-MAY-2024,9,INE530B08094,,,
10NFL25,N9,1000,1000,981,997,997,990.5,21,20780,27-MAY-2024,3,INE342T07478,,,
10NIDO26,N6,1055,1055,1052,1054.82,1052,1055,520,548540,27-MAY-2024,9,INE530L07228,,,
182D010824,TB,98.45,98.75,98.19,98.75,98.75,98.41,2800,275908,27-MAY-2024,5,IN002023Y458,,,
182D011124,TB,97.55,97.55,97.55,97.55,97.55,97.25,200,19510,27-MAY-2024,1,IN002024Y050,,,
182D031024,TB,97.4,97.4,97.4,97.4,97.4,97.4,100,9740,27-MAY-2024,1,IN002024Y019,,,
