SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 28-Jan-2025"," 109.60"," 109.25"," 109.25"," 109.25"," 109.25"," 109.25"," 109.25"," 50"," 0.05"," 1"," 50"," 100.00"
20MICRONS," EQ"," 28-Jan-2025"," 188.89"," 191.70"," 191.70"," 178.20"," 185.00"," 185.35"," 183.46"," 203266"," 372.91"," 5957"," 111280"," 54.75"
21STCENMGM," BE"," 28-Jan-2025"," 82.81"," 81.15"," 81.15"," 81.15"," 81.15"," 81.15"," 81.15"," 838"," 0.68"," 26"," -"," -"
360ONE," EQ"," 28-Jan-2025"," 1076.55"," 1059.90"," 1059.90"," 945.00"," 1015.00"," 1013.05"," 996.89"," 2328267"," 23210.23"," 120751"," 970601"," 41.69"
3IINFOLTD," EQ"," 28-Jan-2025"," 26.28"," 26.28"," 26.60"," 25.05"," 25.87"," 25.80"," 25.71"," 629822"," 161.93"," 3620"," 335168"," 53.22"
3MINDIA," EQ"," 28-Jan-2025"," 29210.50"," 29211.00"," 29466.20"," 28652.35"," 29419.80"," 29396.45"," 29103.06"," 3295"," 958.95"," 1882"," 1408"," 42.73"
3PLAND," BE"," 28-Jan-2025"," 50.48"," 50.48"," 51.99"," 47.95"," 49.95"," 48.93"," 48.23"," 7373"," 3.56"," 137"," -"," -"
515GS2025," GS"," 28-Jan-2025"," 98.33"," 99.47"," 99.47"," 99.47"," 99.47"," 99.47"," 99.47"," 2"," 0.00"," 2"," 0"," 0.00"
563GS2026," GS"," 28-Jan-2025"," 101.50"," 99.73"," 99.73"," 99.60"," 99.60"," 99.60"," 99.66"," 189"," 0.19"," 3"," 95"," 50.26"
574GS2026," GS"," 28-Jan-2025"," 99.70"," 99.75"," 99.75"," 99.00"," 99.00"," 99.00"," 99.00"," 1069"," 1.06"," 4"," 1063"," 99.44"
5PAISA," EQ"," 28-Jan-2025"," 391.35"," 385.55"," 420.00"," 374.00"," 381.30"," 380.00"," 385.16"," 40907"," 157.56"," 4017"," 16063"," 39.27"
63MOONS," EQ"," 28-Jan-2025"," 724.20"," 710.00"," 733.10"," 688.00"," 710.05"," 708.40"," 704.44"," 275762"," 1942.58"," 6767"," 127892"," 46.38"
654GS2032," GS"," 28-Jan-2025"," 99.20"," 99.15"," 99.65"," 99.15"," 99.65"," 99.65"," 99.57"," 5998"," 5.97"," 3"," 5998"," 100.00"
667GS2035," GS"," 28-Jan-2025"," 98.60"," 98.65"," 98.65"," 98.60"," 98.60"," 98.60"," 98.63"," 4"," 0.00"," 2"," 0"," 0.00"
