SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
20MICRONS,EQ,59.7,60.55,56.8,57.9,58.25,59.5,110743,6454595.2,28-SEP-2021,1865,INE144J01027,,72370,65.35
21STCENMGM,EQ,46.45,46.45,46.45,46.45,46.45,45.55,9055,420604.75,28-SEP-2021,32,INE253B01015,,9055,100.00
3MINDIA,EQ,25190,25270,24571,24747.6,24742,25131.7,1346,33412256.25,28-SEP-2021,1019,INE470A01017,,567,42.12
3PLAND,BE,13.75,13.75,13.15,13.55,13.6,13.75,2239,30336.15,28-SEP-2021,23,INE105C01023,,-,-
515GS2025,GS,105,105,105,105,105,100,10,1050,28-SEP-2021,1,IN0020200278,,10,100.00
585GS2030,GS,103,103,101.95,101.95,101.95,98.75,15,1539.75,28-SEP-2021,2,IN0020200294,,15,100.00
5PAISA,EQ,446.15,470,446.15,450.85,450.05,449.65,31373,14250357.45,28-SEP-2021,1600,INE618L01018,,12145,38.71
63MOONS,EQ,94,94.95,92.05,93.75,93.85,93.6,40527,3793660.9,28-SEP-2021,802,INE111B01023,,23839,58.82
667GS2035,GS,100.2,100.2,100.2,100.2,100.2,100,74,7414.8,28-SEP-2021,1,IN0020210152,,74,100.00
667GS2050,GS,98.9,99.47,98.5,98.5,98.5,98.67,2360,233422.42,28-SEP-2021,17,IN0020200252,,2304,97.63
676GS2061,GS,99.39,99.39,98.5,98.73,98.5,98.05,121,11975.29,28-SEP-2021,11,IN0020200401,,99,81.82
68GS2060,GS,103,103,103,103,103,103,1,103,28-SEP-2021,1,IN0020200187,,1,100.00
716GS2050,GS,110,110,108.35,110,110,114,702,77203.5,28-SEP-2021,4,IN0020200054,,702,100.00
719GS2060,GS,108,112,108,110,110,108,149,16192,28-SEP-2021,7,IN0020200039,,149,100.00
772GS2049,GS,114.05,114.05,114.01,114.01,114.01,120,10,1140.3,28-SEP-2021,2,IN0020190032,,10,100.00
772GS2055,GS,115.7,115.7,115.7,115.7,115.7,115.7,99,11454.3,28-SEP-2021,3,IN0020150077,,99,100.00
A2ZINFRA,EQ,4.3,4.3,4.1,4.15,4.15,4.25,325524,1365976.85,28-SEP-2021,327,INE619I01012,,264363,81.21
AAKASH,EQ,251.8,251.8,242.25,245.7,242.25,247.3,282986,69570503.1,28-SEP-2021,999,INE087Z01016,,107627,38.03
AAREYDRUGS,EQ,36,36.85,35.5,35.8,36.15,36.2,41718,1500086.25,28-SEP-2021,353,INE198H01019,,35361,84.76
AARON,EQ,104,104.5,97.55,98.7,98,102.5,11240,1122938.75,28-SEP-2021,200,INE721Z01010,,9781,87.02
AARTIDRUGS,EQ,614,614.5,605.05,609,609.9,609.6,147659,89867432.85,28-SEP-2021,8147,INE767A01016,,75499,51.13
AARTIIND,EQ,941,948.5,924.1,932.5,932,934.2,1106444,1037314614.3,28-SEP-2021,33507,INE769A01020,,434799,39.30
AARTISURF,EQ,1476,1519.95,1453.45,1471.6,1469,1476.25,19476,28822852.2,28-SEP-2021,5916,INE09EO01013,,5888,30.23
AARVEEDEN,EQ,20.5,21.15,20.5,21.15,21.15,20.15,14951,314317.9,28-SEP-2021,59,INE273D01019,,13147,87.93
AARVI,EQ,59.2,59.2,56,56.4,56.1,57.45,9731,557643.9,28-SEP-2021,168,INE754X01016,,6378,65.54
AAVAS,EQ,2540,2648.95,2521,2609.2,2615,2539.65,98737,258303812.35,28-SEP-2021,18695,INE216P01012,,40941,41.46
ABAN,EQ,43.1,44.4,42.5,43.4,43.3,42.75,298137,12934369.3,28-SEP-2021,2786,INE421A01028,,114686,38.47
ABB,EQ,1869.9,1869.9,1790,1800.65,1809,1855,87735,159793072.95,28-SEP-2021,12140,INE117A01022,,47161,53.75
ABBOTINDIA,EQ,21237,21378.35,20821.1,21010.8,20940,21183.4,21415,455558378.6,28-SEP-2021,3005,INE358A01014,,17503,81.73
ABCAPITAL,EQ,117.6,117.65,113.3,113.8,114.15,117,3425104,392911007.8,28-SEP-2021,24655,INE674K01013,,1460233,42.63
ABFRL,EQ,225.85,229.5,220.55,223.5,223.3,225.85,2133572,481253835.85,28-SEP-2021,23247,INE647O01011,,494947,23.20
ABMINTLLTD,EQ,103,103.5,103,103.5,103.5,94.1,2107,217759.5,28-SEP-2021,56,INE251C01025,,1798,85.33
ABSLBANETF,EQ,381.31,381.31,371.8,377.8,377.72,379.16,25981,9755279.21,28-SEP-2021,134,INF209KB1O58,,25764,99.16
ABSLNN50ET,EQ,441,441,430,432.2,432.2,435,725,315014.15,28-SEP-2021,44,INF209KB1B87,,656,90.48
ACC,EQ,2334,2357.9,2286.05,2300.25,2298,2331.85,304307,707653932.35,28-SEP-2021,17894,INE012A01025,,98388,32.33
ACCELYA,EQ,1317.55,1331.85,1265,1288.8,1292,1314.8,27445,35571386.05,28-SEP-2021,3802,INE793A01012,,12793,46.61
ACCORD,SM,21.9,21.9,21.9,21.9,21.9,20.9,4000,87600,28-SEP-2021,2,INE113X01015,,4000,100.00
ACCURACY,EQ,133.95,134.95,130.5,133.9,134,133.95,73141,9729872.85,28-SEP-2021,7295,INE648Z01015,,20495,28.02
ACE,EQ,256.05,261.55,251.5,254.65,254,254.75,1029245,262748082.5,28-SEP-2021,24904,INE731H01025,,428610,41.64
ACRYSIL,EQ,789.9,792.8,751,769,767.7,785.15,97687,75325956.7,28-SEP-2021,8553,INE482D01024,,56303,57.64
ADANIENT,EQ,1557,1557.9,1475,1487.3,1481.85,1531.25,3547971,5354813980.65,28-SEP-2021,81357,INE423A01024,,775435,21.86
ADANIGREEN,EQ,1158,1160,1132.25,1144.5,1134,1153.45,3469774,3984699056,28-SEP-2021,38443,INE364U01010,,2169067,62.51
ADANIPORTS,EQ,754,756.9,733,738.7,737,750.25,3748173,2788078252.1,28-SEP-2021,59682,INE742F01042,,1156974,30.87
ADANIPOWER,EQ,97.45,97.75,95.15,96,96,97,3445198,331887824.55,28-SEP-2021,31672,INE814H01011,,1850492,53.71
ADANITRANS,BE,1590,1590,1539.95,1549.9,1540.25,1578.4,294035,458500763.95,28-SEP-2021,8424,INE931S01010,,-,-
ADFFOODS,EQ,913,913,883.1,901.85,905,898.65,9173,8225513.65,28-SEP-2021,1066,INE982B01019,,5781,63.02
ADL,BE,41.15,43,41.1,43,43,43.05,1197,50280,28-SEP-2021,15,INE0CHO01012,,-,-
ADORWELD,EQ,685.7,692.25,680.85,685.4,685,685.7,4003,2741692.35,28-SEP-2021,409,INE045A01017,,2624,65.55
ADROITINFO,BE,10.4,10.4,9.55,9.95,9.8,9.95,13245,132259.75,28-SEP-2021,70,INE737B01033,,-,-
ADSL,EQ,68.5,72.25,67.75,70.4,70.4,68.55,197330,13678556.95,28-SEP-2021,1708,INE102I01027,,117140,59.36
ADVANIHOTR,EQ,85.95,87.65,83.05,84.75,85.05,85.8,57812,4938562.8,28-SEP-2021,1344,INE199C01026,,29214,50.53
ADVENZYMES,EQ,386,391,383.5,384.8,384.95,385.45,260605,100771441.9,28-SEP-2021,8061,INE837H01020,,126896,48.69
AEGISCHEM,EQ,243.55,244.5,235.75,236.6,236.25,243.5,561497,134847990,28-SEP-2021,11532,INE208C01025,,363784,64.79
AFFLE,EQ,5393.4,5400,5225,5289.75,5299,5343.5,70409,373278081.95,28-SEP-2021,16134,INE00WC01019,,45520,64.65
AGARIND,EQ,318,332.15,312.2,332,332.15,316.35,121631,39969509.45,28-SEP-2021,2005,INE204E01012,,95971,78.90
AGCNET,BE,1060,1060,1010,1020.3,1030,1037.55,2096,2143618.1,28-SEP-2021,163,INE676A01019,,-,-
AGRITECH,BE,71.75,72.95,70,72.95,72.95,69.5,17085,1241339,28-SEP-2021,129,INE449G01018,,-,-
AGROPHOS,EQ,15.8,16.3,15.3,15.65,15.55,15.7,64108,1008856.7,28-SEP-2021,299,INE740V01019,,40868,63.75
AHLADA,EQ,134.9,134.9,128.5,133.75,133.5,133.2,17428,2310905.95,28-SEP-2021,492,INE00PV01013,,12575,72.15
AHLEAST,EQ,181.8,192.9,181.55,189.65,189.1,183.3,159654,29574295.1,28-SEP-2021,2133,INE926K01017,,117477,73.58
