SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,,DELIV_QTY,DELIV_PER
20MICRONS,EQ,83.3,85.5,80.1,81,80.15,83,130365,10781032.8,29-APR-2022,3304,INE144J01027,,63910,49.02
21STCENMGM,EQ,28.3,28.7,27.85,28.45,28.45,28.15,8784,250700.35,29-APR-2022,139,INE253B01015,,5909,67.27
3IINFOLTD,EQ,58,58.75,57.05,57.75,58,57.4,405748,23509813.1,29-APR-2022,5052,INE748C01038,,225931,55.68
3MINDIA,EQ,20190,20250,19831,19964.55,20020,20016.95,1191,23825742.45,29-APR-2022,930,INE470A01017,,842,70.70
3PLAND,BE,16,17.1,15.7,15.7,16,16.45,6015,96811.15,29-APR-2022,49,INE105C01023,,-,-
5PAISA,EQ,371.1,371.2,357.8,360.5,362,365.95,44215,16158107.6,29-APR-2022,1910,INE618L01018,,14863,33.62
63MOONS,BE,220.95,220.95,220.95,220.95,220.95,232.55,17121,3782884.95,29-APR-2022,353,INE111B01023,,-,-
667GS2035,GS,97,97,97,97,97,97,7110,689670,29-APR-2022,2,IN0020210152,,7110,100.00
667GS2050,GS,94.99,95,94.91,94.99,94.99,94,23182,2202039.93,29-APR-2022,15,IN0020200252,,23182,100.00
676GS2061,GS,94.01,94.01,94,94,94,94.9,4841,455054.01,29-APR-2022,22,IN0020200401,,4841,100.00
68GS2060,GS,97.5,97.5,94,94.23,97,94,15,1420,29-APR-2022,5,IN0020200187,,15,100.00
699GS2051,GS,98.5,98.5,98,98.44,98.44,97.8,294,28833.82,29-APR-2022,7,IN0020210194,,294,100.00
716GS2050,GS,104,104,104,104,104,104,100,10400,29-APR-2022,1,IN0020200054,,100,100.00
772GS2055,GS,109,109,107,107,107,109.25,520,55686,29-APR-2022,5,IN0020150077,,520,100.00
A2ZINFRA,EQ,13.65,14.1,13.35,13.6,13.5,13.65,434475,5999827,29-APR-2022,1052,INE619I01012,,239318,55.08
AAKASH,EQ,29.95,29.95,28.5,29.55,29.25,29.7,797272,23244538.95,29-APR-2022,660,INE087Z01024,,353900,44.39
