SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,29.95,30,28.65,29.05,29,29.3,38288,1128305.85,30-APR-2020,281,INE144J01027,
21STCENMGM,EQ,11,11,11,11,11,11.2,10,110,30-APR-2020,1,INE253B01015,
3IINFOTECH,EQ,1.7,1.75,1.6,1.6,1.6,1.65,3782040,6323329.2,30-APR-2020,1811,INE748C01020,
3MINDIA,EQ,19559.15,19957,19200.3,19400.2,19255,19544.6,5403,106769818.2,30-APR-2020,2613,INE470A01017,
3PLAND,EQ,7.2,7.2,7.15,7.15,7.15,7.2,3062,22021.4,30-APR-2020,11,INE105C01023,
5PAISA,EQ,156,174.5,155.8,157.8,157.2,155.95,12063,1946147.95,30-APR-2020,333,INE618L01018,
617GS2021,GS,96.96,96.96,96.96,96.96,96.96,92.35,504,48867.84,30-APR-2020,7,IN0020190099,
618GS2024,GS,95,95,95,95,95,95.05,100,9500,30-APR-2020,3,IN0020190396,
63MOONS,BE,58,59.2,57.75,58.9,59,57.15,36630,2153682.4,30-APR-2020,2068,INE111B01023,
706GS2046,GS,109,109,109,109,109,104.2,5,545,30-APR-2020,1,IN0020160068,
726GS2029,GS,104.97,104.97,104.97,104.97,104.97,102.5,100,10497,30-APR-2020,1,IN0020180454,
75GS2034,GS,117,117,117,117,117,112,5,585,30-APR-2020,1,IN0020040039,
769GS2043,GS,126,126,126,126,126,120,170,21420,30-APR-2020,2,IN0020190040,
772GS2049,GS,96.93,107.08,96.93,107.08,107.08,102,700,71911,30-APR-2020,25,IN0020190032,
813GS2045,GS,88.2,88.2,84,84,84,84,500,42420,30-APR-2020,2,IN0020150044,
A2ZINFRA,EQ,3.7,3.9,3.7,3.8,3.8,3.75,607400,2334173.25,30-APR-2020,457,INE619I01012,
AAKASH,SM,20,20,20,20,20,21.05,3000,60000,30-APR-2020,1,INE087Z01016,
AARTIDRUGS,EQ,745,745,706.1,715.2,713,731.1,41668,29927645.9,30-APR-2020,3559,INE767A01016,
AARTIIND,EQ,1128,1137,1082,1102.4,1102.55,1108.9,534833,593684920.5,30-APR-2020,38378,INE769A01020,
AARVEEDEN,EQ,9.35,9.35,9.1,9.2,9.1,9.25,3205,29817.5,30-APR-2020,36,INE273D01019,
AAVAS,EQ,1209.65,1237,1175.1,1188,1183,1209.65,29052,34967120.9,30-APR-2020,6849,INE216P01012,
ABAN,BE,20.9,20.9,19.6,20.45,20.65,19.95,49134,1002182.6,30-APR-2020,348,INE421A01028,
ABB,EQ,900,913.15,890.1,900.55,904,880.15,145626,131654747.65,30-APR-2020,5060,INE117A01022,
ABBOTINDIA,EQ,18050,18200,17520.05,17730.75,17599,17992.1,44054,787867861.3,30-APR-2020,13795,INE358A01014,
ABCAPITAL,EQ,51,51.75,49.8,49.95,50,49.9,2392050,121227276.3,30-APR-2020,21483,INE674K01013,
ABFRL,EQ,112.85,126,112.2,115.6,115.85,112,7529919,906451248.95,30-APR-2020,49987,INE647O01011,
ABMINTLTD,BE,13,13,13,13,13,13,537,6981,30-APR-2020,1,INE251C01017,
ABSLBANETF,EQ,216.3,233.85,216.3,230,230,216.3,46,10035.85,30-APR-2020,3,INF209KB1O58,
ABSLNN50ET,EQ,239,283,233.07,266.35,255,233,4796,1269814.08,30-APR-2020,422,INF209KB1B87,
ABSLRIF6RG,MF,5.16,5.16,5.15,5.15,5.15,5.45,10000,51550,30-APR-2020,2,INF209KB1LL4,
