SYMBOL," SERIES"," DATE1"," PREV_CLOSE"," OPEN_PRICE"," HIGH_PRICE"," LOW_PRICE"," LAST_PRICE"," CLOSE_PRICE"," AVG_PRICE"," TTL_TRD_QNTY"," TURNOVER_LACS"," NO_OF_TRADES"," DELIV_QTY"," DELIV_PER"
1018GS2026," GS"," 30-Oct-2024"," 108.99"," 111.89"," 111.89"," 109.00"," 109.15"," 109.14"," 110.06"," 12445"," 13.70"," 15"," 12445"," 100.00"
20MICRONS," BE"," 30-Oct-2024"," 277.15"," 271.60"," 271.60"," 271.60"," 271.60"," 271.60"," 271.60"," 21682"," 58.89"," 386"," -"," -"
21STCENMGM," BE"," 30-Oct-2024"," 106.49"," 104.36"," 108.61"," 104.36"," 108.61"," 108.61"," 106.06"," 17384"," 18.44"," 160"," -"," -"
360ONE," EQ"," 30-Oct-2024"," 1025.20"," 1025.50"," 1070.00"," 1024.85"," 1063.40"," 1061.35"," 1054.67"," 331634"," 3497.63"," 24180"," 170946"," 51.55"
3IINFOLTD," EQ"," 30-Oct-2024"," 26.90"," 27.10"," 27.81"," 26.97"," 27.79"," 27.51"," 27.34"," 659143"," 180.21"," 2707"," 391263"," 59.36"
3MINDIA," EQ"," 30-Oct-2024"," 33521.00"," 33742.50"," 34900.65"," 33742.50"," 34410.10"," 34601.65"," 34562.02"," 6014"," 2078.56"," 3399"," 1928"," 32.06"
3PLAND," BE"," 30-Oct-2024"," 38.41"," 38.41"," 40.00"," 38.00"," 39.00"," 39.00"," 38.76"," 5686"," 2.20"," 65"," -"," -"
515GS2025," GS"," 30-Oct-2024"," 86.80"," 91.14"," 91.14"," 91.14"," 91.14"," 91.14"," 91.14"," 8"," 0.01"," 1"," 8"," 100.00"
574GS2026," GS"," 30-Oct-2024"," 99.43"," 100.85"," 100.85"," 99.71"," 99.71"," 99.71"," 100.52"," 7"," 0.01"," 2"," 5"," 71.43"
5PAISA," EQ"," 30-Oct-2024"," 499.80"," 496.30"," 516.00"," 496.30"," 514.00"," 513.85"," 510.71"," 45257"," 231.13"," 2763"," 17810"," 39.35"
619GS2034," GS"," 30-Oct-2024"," 93.35"," 96.00"," 96.00"," 94.27"," 94.50"," 94.50"," 94.92"," 3"," 0.00"," 3"," 2"," 66.67"
63MOONS," EQ"," 30-Oct-2024"," 505.90"," 513.00"," 531.80"," 506.70"," 519.90"," 520.70"," 521.32"," 556122"," 2899.18"," 14025"," 184605"," 33.20"
654GS2032," GS"," 30-Oct-2024"," 100.00"," 100.39"," 100.39"," 100.39"," 100.39"," 100.39"," 100.39"," 413"," 0.41"," 3"," 413"," 100.00"
667GS2035," GS"," 30-Oct-2024"," 101.35"," 101.35"," 101.35"," 100.99"," 100.99"," 100.99"," 101.05"," 6"," 0.01"," 2"," 6"," 100.00"
679GS2034," GS"," 30-Oct-2024"," 100.11"," 100.70"," 100.70"," 100.70"," 100.70"," 100.70"," 100.70"," 11000"," 11.08"," 2"," 11000"," 100.00"
68GS2060," GS"," 30-Oct-2024"," 100.90"," 100.90"," 100.90"," 100.90"," 100.90"," 100.90"," 100.90"," 2"," 0.00"," 1"," 2"," 100.00"
699GS2026," GS"," 30-Oct-2024"," 99.80"," 100.70"," 100.70"," 100.70"," 100.70"," 100.70"," 100.70"," 2000"," 2.01"," 2"," 2000"," 100.00"
699GS2051," GS"," 30-Oct-2024"," 101.01"," 102.06"," 102.06"," 102.06"," 102.06"," 102.06"," 102.06"," 100"," 0.10"," 1"," 100"," 100.00"
702GS2027," GS"," 30-Oct-2024"," 104.00"," 103.00"," 103.00"," 103.00"," 103.00"," 103.00"," 103.00"," 800"," 0.82"," 2"," 800"," 100.00"
702GS2031," GS"," 30-Oct-2024"," 102.05"," 102.16"," 104.00"," 102.16"," 102.36"," 102.36"," 102.56"," 801"," 0.82"," 8"," 801"," 100.00"
704GS2029," GS"," 30-Oct-2024"," 103.75"," 103.15"," 103.50"," 103.15"," 103.50"," 103.50"," 103.27"," 600"," 0.62"," 2"," 600"," 100.00"
709GS2054," GS"," 30-Oct-2024"," 102.50"," 103.45"," 103.45"," 103.45"," 103.45"," 103.45"," 103.45"," 500"," 0.52"," 1"," 500"," 100.00"
710GS2029," GS"," 30-Oct-2024"," 101.50"," 101.15"," 101.50"," 101.15"," 101.35"," 101.38"," 101.45"," 2822"," 2.86"," 10"," 2822"," 100.00"
716GS2050," GS"," 30-Oct-2024"," 102.45"," 100.22"," 103.05"," 100.22"," 103.05"," 103.05"," 100.25"," 810"," 0.81"," 2"," 800"," 98.77"
717GS2030," GS"," 30-Oct-2024"," 101.30"," 102.10"," 102.10"," 101.13"," 101.21"," 101.21"," 101.80"," 16700"," 17.00"," 13"," 15300"," 91.62"
718GS2033," GS"," 30-Oct-2024"," 103.00"," 102.77"," 103.84"," 102.77"," 103.84"," 103.84"," 103.82"," 10200"," 10.59"," 3"," 10000"," 98.04"
718GS2037," GS"," 30-Oct-2024"," 104.09"," 103.75"," 104.60"," 103.75"," 104.60"," 104.52"," 104.35"," 13432"," 14.02"," 13"," 7323"," 54.52"
71GS2034," GS"," 30-Oct-2024"," 102.00"," 101.65"," 102.65"," 101.65"," 101.70"," 101.70"," 102.31"," 875"," 0.90"," 4"," 875"," 100.00"
726GS2032," GS"," 30-Oct-2024"," 103.25"," 104.45"," 104.45"," 102.92"," 103.41"," 103.42"," 103.21"," 34513"," 35.62"," 22"," 29000"," 84.03"
733GS2026," GS"," 30-Oct-2024"," 100.36"," 100.36"," 102.25"," 100.36"," 100.71"," 100.71"," 100.73"," 26601"," 26.80"," 14"," 25400"," 95.49"
734GS2064," GS"," 30-Oct-2024"," 105.34"," 105.00"," 107.00"," 105.00"," 105.90"," 105.90"," 105.37"," 164"," 0.17"," 7"," 164"," 100.00"
736GS2052," GS"," 30-Oct-2024"," 103.35"," 105.40"," 105.40"," 105.40"," 105.40"," 105.40"," 105.40"," 1000"," 1.05"," 1"," 1000"," 100.00"
737GS2028," GS"," 30-Oct-2024"," 101.84"," 101.81"," 102.30"," 101.81"," 102.30"," 102.30"," 102.15"," 897"," 0.92"," 5"," 800"," 89.19"
738GS2027," GS"," 30-Oct-2024"," 104.15"," 103.91"," 104.20"," 103.90"," 104.19"," 104.19"," 104.19"," 114603"," 119.41"," 38"," 114603"," 100.00"
73GS2053," GS"," 30-Oct-2024"," 105.64"," 106.50"," 106.50"," 106.21"," 106.21"," 106.49"," 106.47"," 8801"," 9.37"," 11"," 8601"," 97.73"
740IIFCL33," N1"," 30-Oct-2024"," 1175.01"," 1180.00"," 1180.00"," 1180.00"," 1180.00"," 1180.00"," 1180.00"," 168"," 1.98"," 3"," 168"," 100.00"
741GS2036," GS"," 30-Oct-2024"," 106.29"," 105.55"," 107.15"," 105.51"," 106.90"," 106.87"," 106.22"," 28089"," 29.84"," 17"," 27977"," 99.60"
746GS2073," GS"," 30-Oct-2024"," 110.38"," 108.88"," 110.25"," 108.88"," 110.25"," 110.25"," 109.85"," 990"," 1.09"," 6"," 990"," 100.00"
754GS2036," GS"," 30-Oct-2024"," 108.22"," 108.85"," 108.85"," 108.10"," 108.30"," 108.25"," 108.22"," 277420"," 300.22"," 93"," 272414"," 98.20"
759GS2026," GS"," 30-Oct-2024"," 103.50"," 103.50"," 103.50"," 103.50"," 103.50"," 103.50"," 103.50"," 12"," 0.01"," 2"," 12"," 100.00"
772GS2049," GS"," 30-Oct-2024"," 111.00"," 105.45"," 105.45"," 105.45"," 105.45"," 105.45"," 105.45"," 1"," 0.00"," 1"," 1"," 100.00"
795GS2032," GS"," 30-Oct-2024"," 106.29"," 106.45"," 106.45"," 106.45"," 106.45"," 106.45"," 106.45"," 23"," 0.02"," 2"," 23"," 100.00"
833GS2036," GS"," 30-Oct-2024"," 114.75"," 114.75"," 114.75"," 114.75"," 114.75"," 114.75"," 114.75"," 4750"," 5.45"," 5"," 4750"," 100.00"
92GS2030," GS"," 30-Oct-2024"," 113.00"," 113.79"," 113.90"," 113.68"," 113.90"," 113.90"," 113.72"," 11705"," 13.31"," 9"," 11705"," 100.00"
A2ZINFRA," EQ"," 30-Oct-2024"," 16.28"," 16.56"," 16.80"," 16.17"," 16.70"," 16.67"," 16.64"," 226858"," 37.75"," 728"," 132740"," 58.51"
AAATECH," EQ"," 30-Oct-2024"," 119.85"," 119.15"," 123.39"," 119.00"," 121.00"," 121.14"," 121.09"," 22095"," 26.75"," 1055"," 10059"," 45.53"
AADHARHFC," EQ"," 30-Oct-2024"," 450.40"," 445.30"," 463.20"," 445.30"," 452.65"," 452.60"," 457.31"," 738542"," 3377.43"," 27595"," 366745"," 49.66"
AAKASH," EQ"," 30-Oct-2024"," 10.64"," 10.65"," 11.17"," 10.64"," 11.10"," 11.12"," 10.93"," 129309"," 14.14"," 671"," 86384"," 66.80"
AAREYDRUGS," BE"," 30-Oct-2024"," 57.53"," 57.75"," 59.27"," 57.61"," 58.70"," 58.71"," 58.25"," 7016"," 4.09"," 81"," -"," -"
AARON," EQ"," 30-Oct-2024"," 267.85"," 268.00"," 270.00"," 265.30"," 268.00"," 267.30"," 268.42"," 6568"," 17.63"," 601"," 3629"," 55.25"
AARTECH," EQ"," 30-Oct-2024"," 60.62"," 60.99"," 61.77"," 59.81"," 61.60"," 61.51"," 61.34"," 47652"," 29.23"," 797"," 29543"," 62.00"
AARTIDRUGS," EQ"," 30-Oct-2024"," 484.05"," 486.60"," 491.70"," 480.15"," 485.00"," 484.70"," 486.48"," 62594"," 304.51"," 7103"," 29453"," 47.05"
AARTIIND," EQ"," 30-Oct-2024"," 514.85"," 514.85"," 519.75"," 510.05"," 512.55"," 512.55"," 515.87"," 846325"," 4365.96"," 22300"," 325210"," 38.43"
AARTIPHARM," EQ"," 30-Oct-2024"," 608.85"," 610.90"," 630.70"," 607.00"," 624.00"," 622.50"," 623.28"," 171605"," 1069.58"," 14273"," 72852"," 42.45"
AARTISURF," BE"," 30-Oct-2024"," 716.20"," 720.00"," 749.90"," 707.10"," 745.00"," 736.35"," 732.94"," 3275"," 24.00"," 252"," -"," -"
AARVEEDEN," BE"," 30-Oct-2024"," 45.79"," 45.79"," 48.07"," 45.79"," 48.07"," 48.07"," 48.02"," 41824"," 20.08"," 91"," -"," -"
AARVI," EQ"," 30-Oct-2024"," 145.07"," 146.00"," 148.89"," 142.50"," 145.26"," 145.91"," 146.15"," 18588"," 27.17"," 1270"," 5990"," 32.23"
AATMAJ," SM"," 30-Oct-2024"," 25.35"," 25.35"," 25.35"," 25.05"," 25.10"," 25.10"," 25.17"," 6000"," 1.51"," 3"," 6000"," 100.00"
AAVAS," EQ"," 30-Oct-2024"," 1656.00"," 1635.00"," 1684.65"," 1635.00"," 1670.85"," 1668.75"," 1670.11"," 77769"," 1298.83"," 14676"," 35430"," 45.56"
ABAN," EQ"," 30-Oct-2024"," 64.93"," 64.93"," 67.26"," 64.91"," 66.05"," 65.98"," 66.12"," 52300"," 34.58"," 711"," 39249"," 75.05"
ABB," EQ"," 30-Oct-2024"," 7492.50"," 7503.45"," 7531.30"," 7390.00"," 7458.10"," 7426.90"," 7440.97"," 262509"," 19533.23"," 39830"," 98717"," 37.61"
ABBOTINDIA," EQ"," 30-Oct-2024"," 28473.05"," 28400.00"," 28679.95"," 28224.05"," 28439.95"," 28406.90"," 28484.94"," 3118"," 888.16"," 2047"," 809"," 25.95"
ABCAPITAL," EQ"," 30-Oct-2024"," 204.51"," 205.87"," 218.81"," 203.99"," 214.90"," 215.37"," 212.09"," 29299209"," 62140.03"," 108691"," 8144584"," 27.80"
ABCOTS," ST"," 30-Oct-2024"," 373.00"," 373.00"," 373.00"," 373.00"," 373.00"," 373.00"," 373.00"," 500"," 1.87"," 1"," 500"," 100.00"
ABDL," EQ"," 30-Oct-2024"," 329.95"," 336.00"," 337.40"," 317.00"," 328.00"," 328.85"," 330.38"," 3487032"," 11520.32"," 43470"," 1187866"," 34.07"
ABFRL," EQ"," 30-Oct-2024"," 306.05"," 306.05"," 312.50"," 302.10"," 306.35"," 306.65"," 308.18"," 2733312"," 8423.54"," 30592"," 930877"," 34.06"
ABGSEC," EQ"," 30-Oct-2024"," 102.97"," 103.48"," 103.48"," 103.05"," 103.06"," 103.06"," 103.18"," 95"," 0.10"," 5"," 90"," 94.74"
ABINFRA," ST"," 30-Oct-2024"," 96.00"," 94.10"," 94.10"," 94.10"," 94.10"," 94.10"," 94.10"," 4000"," 3.76"," 2"," 4000"," 100.00"
ABMINTLLTD," EQ"," 30-Oct-2024"," 100.35"," 105.36"," 105.36"," 105.36"," 105.36"," 105.36"," 105.36"," 1703"," 1.79"," 20"," 1703"," 100.00"
ABREL," EQ"," 30-Oct-2024"," 2735.60"," 2750.00"," 2750.00"," 2675.00"," 2700.00"," 2695.25"," 2707.74"," 117948"," 3193.72"," 17618"," 53673"," 45.51"
ABSLAMC," EQ"," 30-Oct-2024"," 787.85"," 790.75"," 795.00"," 765.10"," 771.10"," 770.85"," 775.44"," 338491"," 2624.79"," 20348"," 140434"," 41.49"
ABSLBANETF," EQ"," 30-Oct-2024"," 53.08"," 53.95"," 53.95"," 52.26"," 53.13"," 52.74"," 52.79"," 24393"," 12.88"," 311"," 13205"," 54.13"
ABSLLIQUID," EQ"," 30-Oct-2024"," 1000.00"," 1000.00"," 1000.01"," 999.99"," 1000.00"," 1000.00"," 999.99"," 15623"," 156.23"," 24"," 13554"," 86.76"
ABSLNN50ET," EQ"," 30-Oct-2024"," 73.25"," 73.69"," 73.69"," 72.62"," 73.49"," 72.97"," 73.24"," 25955"," 19.01"," 518"," 23591"," 90.89"
